#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eunuch;Eunuch;Eunuque;Eunuch;;Eunuco;;;;;;;;;x
EVTOPTBLoR.211;I will never give up my faith!;Jamais je ne renierai ma foi !;Ich werde meinen Glauben niemals aufgeben!;;¡Nunca abandonaré mi fe!;;;;;;;;;x
EVTNAMELoR.400;An Innocent Proposal;Une Proposition innocente;Ein Unschuldiger Antrag;;Una Propuesta Inocente;;;;;;;;;x
EVTDESCLoR.400;One day in the Imperial Palace, while surrounded by shouting advisors waving decrees and edicts that demand your signature, a small man approaches claiming to be a representative of the Venetoi - the "Blues," one of the two major chariot teams racing in Constantinople. They no longer have the political influence they enjoyed in the days of Justinian the Great, but they are still popular with the broad masses. You wave your advisors away and decide to hear him out.\n\nThe man introduces himself as Anaximandros and explains that he has a proposal for you. If you race for the Blues in the grand chariot race next week, he and his associates will make certain you win. You both stand to gain from this, with the glorious [Root.GetTitle] winning as a champion of the great Blue team.;Un jour, au Palais impérial, alors que vous êtes entouré de conseillers parlant à tue-tête et agitant sous votre nez maints décrets et édits que vous devez signer, un petit homme approche, affirmant qu'il est un représentant des Venetoi - les «Bleus», l'une des deux plus importantes équipes de course de chars à Constantinople. Ses membres n'ont plus l'influence politique dont ils jouissaient lors du règne de Justinien le Grand, mais ils sont encore populaires auprès des foules. Vous demandez à vos conseillez de quitter la salle et décidez d'écouter l'homme. \n\nCelui-ci se présente comme Anaximandre et il souhaite vous soumettre une proposition. Si vous acceptez de courir pour les Bleus lors de la grande course se tenant la semaine prochaine, lui et ses associés s'assureront de votre victoire. Vous avez tous deux à y gagner, dans cette affaire, le glorieux [Root.GetTitle] remportant la victoire avec les champions de l'équipe des Bleus.;Eines Tages nähert sich Euch im Kaiserpalast, umgeben von laut rufenden Ratgebern, die mit Beschlüssen und Erlassen wedeln, die Eure Unterschrift benötigen, ein kleiner Mann, der angibt, ein Repräsentant der Venetoi zu sein – jener sogenannten "Blauen", e;;Un día en el Palacio Imperial, mientras estás rodeado de consejeros chillones agitando decretos y edictos que requieren de tu afirmación, un hombre pequeño se acerca afirmando ser un representante de la Venetoi  - "los Azules", uno de los dos principales equipos de carreras de carros en Constantinopla. Ya no tienen la influencia política que disfrutaban en la época de Justiniano el Grande, pero siguen siendo populares para la mayoría de la gente. Tú te deshaces de tus asesores y decides escuchar al representante de los Azules.\n\nEl hombre se presenta como Anaximandros y te explica que tiene una propuesta para ti. Si compites para los Azules en la gran carrera de carros la semana que viene, él y sus compañeros se asegurarán de que lo ganes. Ambos os beneficiaréis de esto, con el glorioso [Root.GetTitle] ganando como campeón del gran equipo Azul.;;;;;;;;;x
EVTOPTALoR.400;An intriguing proposal... count me in.;Une proposition intéressante... Vous pouvez compter sur moi.;Ein verführerischer Vorschlag … ich bin dabei.;;Una propuesta intrigante ... Cuenta conmigo.;;;;;;;;;x
EVTOPTBLoR.400;By cheating? No thanks.;En trichant ? Non merci.;Den Sieg erschwindeln? Nicht mit mir.;;¿Hacer trampas? No, gracias.;;;;;;;;;x
hippodrome_refuse;You refuse to take part in this scheme.;Vous refusez de prendre part à cette magouille.;Ihr lehnt es ab, bei solch einer Verschwörung mitzumachen.;;Tu rehúsas formar parte de este plan.;;;;;;;;;x
EVTTOOLTIPLoR.401;You practise chariot racing.;Vous vous entraînez à la course de chars.;Ihr übt Euch im Wagenrennen.;;Tú practicas carreras de carros.;;;;;;;;;x
EVTNAMELoR.401;Practise Makes Perfect;L'Entraînement mène à la réussite;Übung macht den Meister;;La Práctica Hace al Maestro;;;;;;;;;x
EVTDESCLoR.401;You practise hard at chariot racing to better prepare for the upcoming event at the Hippodrome. Despite managing well enough and only falling off the chariot a handful of times, you simply cannot see how you are supposed to beat the other professional racers. When you mention this to Anaximandros, the little gnome of a man smiles and tells you not to worry. He assures you that the Greens, your main opponents, will not be a problem, and the other Blue racers have been instructed to let you win.\n\n"You had better be right about this," you tell Anaximandros. "If I am made to look the fool, I swear I will not be the only one to suffer.";Vous vous entraînez ardemment à la course de chars pour être fin prêt en vue de la prochaine course à l'Hippodrome. Vous vous en tirez bien et n'êtes tombé de votre char qu'un nombre minime de fois. Malgré cela, vous n'imaginez pas possible de battre des ;Ihr übt hart in der Disziplin des Wagenrennens, um für die kommenden Ereignisse im Hippodrom vorbereitet zu sein. Auch wenn Ihr Euch wacker schlagt und nur einige Male vom Streitwagen fallt, so fällt es Euch doch recht schwer zu glauben, dass Ihr die ande;;Estás entrenando duro en las carreras de carros para prepararte mejor para el próximo espectáculo en el Hipódromo. A pesar de conducir bastante bien, sólo habiendo caído del carro un par de veces, te preguntas cómo se supone que debes vencer a los corredores profesionales. Cuando mencionas ésto a Anaximandros, el pequeño hombre-gnomo sonríe y te dice que no tienes que preocuparte por este asunto. Él te asegura que “los Verdes”, tus principales rivales, no serán un problema, y los otros corredores los Azules han recibido instrucciones para dejar que ganes tú.\n\n“Mejor que estés en lo cierto”, dices a Anaximandros. "Si me dejas en ridículo, te juro que no seré el único que sufrirá.";;;;;;;;;x
EVTOPTALoR.401;Let us get this over with.;Allons, finissons-en.;Lasst es uns hinter uns bringen.;;Vamos a terminar con esto.;;;;;;;;;x
hippodrome_tooltip;To the Hippodrome!;À l'Hippodrome !;Auf zum Hippodrom!;;¡Al Hipódromo!;;;;;;;;;x
EVTNAMELoR.402;The Day of the Race;Le Jour de la Course;Der Tag des Rennens;;El Dia de la Carrera;;;;;;;;;x
EVTDESCLoR.402;It is a fine day for racing and the Hippodrome is packed with people wanting to see their [Root.GetTitle] conquer... or fail miserably in the attempt. Spyridon, the star of the Greens, looks at you with scorn as your chariots line up. "I shall endeavour not to embarrass you too much, Your Imperial Majesty," he says through clenched teeth.\n\nThe trumpets blow, and the race begins! One by one, the Green chariots fall apart and topple over, giving you a clear path. Only Spyridon's armored chariot remains of the Green team, but as your Blue allies move to block him, their chariots disintegrate as well. It seems both teams had the same idea. Still, you skillfully navigate through the wreckage and manage to hold off Spyridon long enough to win the race!;C'est un beau jour pour faire la course et l'Hippodrome est plein de spectateurs venus voir [Root.GetTitle] gagner... ou échouer misérablement. Spyridon, la vedette des Verts, vous regarde avec mépris alors que vous placez vos chars sur la ligne de départ;Welch ein großartiger Tag für ein Rennen, das Hippodrom ist vollgestopft mit Menschen, die ihrem [Root.GetTitle] beim glorreichen Sieg … oder der miserablen Niederlage zusehen wollen. Spyridon, der Star der Grünen, schaut Euch voller Verachtung an, als Ih;;Es un magnífico día para las carreras y el Hipódromo está lleno de gente que quiere ver a su [Root.GetTitle] conquistar ... o fracasar miserablemente en el intento. Spyridon, la estrella de los Verdes, te mira con desprecio cuando tus carros se preparan. "Trataré de no avergonzarle demasiado, Su Majestad Imperial", él te dice entre dientes. \n\nSuenan las trompetas, y comienza la competición. Uno a uno, los carros Verdes se desmoronán, pierden el equilibrio y se caen, dejándote vía libre. Del equipo Verde solamente queda el carro con armadura de Spyridon, pero a medida que tus aliados Azules se mueven para bloquearle, sus carros también se van desmoronando y cayendo. Parece que ambos equipos tuvieron la misma idea. Aún así, con gran habilidad puedes sortear los escombros y lograr mantener suficientemente a raya a Spyridon como para ganar la carrera!;;;;;;;;;x
EVTOPTALoR.402;Victory, but not thanks to Anaximandros!;Victoire, mais pas grâce à Anaximandre !;Der Sieg ist Euer, jedoch mitnichten dank Anaximandros!;;¡Victoria, pero no gracias a Anaximandros!;;;;;;;;;x
EVTNAMELoR.403;The Day of the Race;Le Jour de la Course;Der Tag des Rennens;;El día de la Competición;;;;;;;;;x
EVTDESCLoR.403;It is a fine day for racing and the Hippodrome is packed with people wanting to see their [Root.GetTitle] conquer... or fail miserably in the attempt. Spyridon, the star of the Greens, looks at you with scorn as your chariots line up. "I shall endeavour not to embarrass you too much, Your Imperial Majesty," he says through clenched teeth.\n\nThe trumpets blow, and the race begins! One by one, the Green chariots fall apart and topple over, giving you a clear path. Only Spyridon's armored chariot remains of the Green team, but as your Blue allies move to block him, their chariots disintegrate as well. It seems both teams had the same idea. Without their aid, Spyridon steers his chariot past you and wins the race!;C'est un beau jour pour courser et l'Hippodrome est plein de gens venus pour voir [Root.GetTitle] gagner... ou échouer misérablement. Spyridon, la vedette des Verts, vous regarde avec mépris alors que les chars sont en file. ''Je devrais m'efforcer de ne ;Welch ein großartiger Tag für ein Rennen, der Hippodrom ist vollgestopft mit Menschen, die ihrem [Root.GetTitle] beim glorreichen Sieg … oder der miserablen Niederlage zusehen wollen. Spyridon, der Star der Grünen, schaut Euch voller Verachtung an, als Ih;;"Es un magnífico día para las carreras y el Hipódromo está lleno de gente que quiere ver a su [Root.GetTitle] conquistar ... o fracasar miserablemente en el intento. Spyridon, la estrella de los Verdes, te mira con desprecio cuando tus carros se preparan. "No voy a tratar de avergonzarle a usted demasiado, Su Majestad Imperial", él te dice entre dientes. \n\nSuenan las trompetas, y comienza la competición! Uno a uno, los carros Verdes se desmoronán, pierden el equilibrio y se caen, dejándote vía libre. Del equipo Verde solamente queda el carro con armadura de Spyridon, pero a medida que tus aliados Azules se mueven para bloquearle, sus carros también se van desmoronando y cayendo. Parece que ambos equipos tuvieron la misma idea. ¡Sin ayuda de los demás, Spyridon conduce su carro, dejándote atrás y gana la carrera!";;;;;;;;;x
EVTOPTALoR.403;Defeat! Anaximandros will pay!;Défait ! Anaximandre va le payer !;Vernichtend geschlagen! Anaximandros wird dafür büßen!;;¡Derrota! ¡Anaximandros pagará por ello!;;;;;;;;;x
EVTNAMELoR.404;The Day of the Race;Le Jour de la Course;Der Tag des Rennens;;El día de la Competición;;;;;;;;;x
EVTDESCLoR.404;It is a fine day for racing and the Hippodrome is packed with people wanting to see their [Root.GetTitle] conquer... or fail miserably in the attempt. Spyridon, the star of the Greens, looks at you with scorn as your chariots line up. "I shall endeavour not to embarrass you too much, Your Imperial Majesty," he says through clenched teeth.\n\nThe trumpets blow, and the race begins! One by one, the Green chariots fall apart and topple over, giving you a clear path. Only Spyridon's armored chariot remains of the Green team, but as your Blue allies move to block him, their chariots disintegrate as well. It seems both teams had the same idea. The furious crowds storm the arena in disgust at this blatant attempt by both teams to cheat!;C'est un beau jour pour faire la course et l'Hippodrome est plein de spectateurs venus voir [Root.GetTitle] gagner... ou échouer misérablement. Spyridon, la vedette des Verts, vous regarde avec mépris alors que les chars sont en file. ''Je devrais m'effor;Welch ein großartiger Tag für ein Rennen, der Hippodrom ist vollgestopft mit Menschen, die ihrem [Root.GetTitle] beim glorreichen Sieg … oder der miserablen Niederlage zusehen wollen. Spyridon, der Star der Grünen, schaut Euch voller Verachtung an, als Ih;;Es un magnífico día para las carreras y el Hipódromo está lleno de gente que quiere ver a su [Root.GetTitle] conquistar ... o fracasar miserablemente en el intento. Spyridon, la estrella de los Verdes, te mira con desprecio cuando tus carros se preparan. "No voy a tratar de avergonzarle a usted demasiado, Su Majestad Imperial", él te dice entre dientes. \n\nSuenan las trompetas, y comienza la competición! Uno a uno, los carros Verdes pierden el equilibrio y se caen, dejándote vía libre. Del equipo Verde solamente queda el carro con armadura de Spyridon, pero a medida que tus aliados Azules se mueven para bloquearle, sus carros también van cayendo. Parece que ambos equipos tuvieron la misma idea. ¡El gran público está furioso e irrumpe en la arena por la indignación frente a estos flagrantes intentos, de ambos equipos, de hacer trampa!;;;;;;;;;x
EVTOPTALoR.404;Back! Back, I say!;Arrière ! Arrière, vous dis-je !;Bleibt zurück! Zurückbleiben, sage ich!;;¡Atrás! ¡Atrás, te digo yo!;;;;;;;;;x
EVTTOOLTIPLoR.405;The chariot race has concluded.;La course de chars est terminée.;Das Wagenrennen ist zum Abschluss gekommen.;;La carrera de carros ha concluido.;;;;;;;;;x
EVTNAMELoR.405;Another Proposal...;Une autre proposition...;Ein weiterer Vorschlag …;;Otra propuesta ...;;;;;;;;;x
EVTDESCLoR.405;As you walk at a brisk pace through an empty corridor in the Imperial Palace, on your way to another tiring meeting with your advisors, you hear a faint whisper from one of the window curtains. After readying your dagger you pull the curtains aside to reveal Anaximandros, the gnome-man who recruited you into chariot racing!\n\n"You! I should have you drawn and quartered," you hiss at the man. "The entire Blue team had their chariots fall out from under them!" Anaximandros smiles at you, and speaks: "Calm yourself, Majesty. Your chariot held together, did it not? I have a new and cunning plan for the next race - one that cannot fail. Your epic victory will be celebrated for centuries to come.";Comme vous traversez à vive allure un couloir vide du Palais impérial, en chemin pour une nouvelle et épuisante réunion avec vos conseillers, un murmure en provenance des rideaux attire votre attention. Vous sortez votre poignard de son fourreau, puis tir;Als Ihr flinken Schrittes durch einen leeren Korridor des Kaiserpalastes eilt, auf Eurem Weg zu einem weiteren ermüdenden Treffen mit Euren Ratgebern, hört Ihr auf einmal ein schwaches Flüstern hinter einem der Fenster-Vorhänge. Den Dolch griffbereit, zie;;Te diriges hacia otra pesada reunión con tus consejeros, y mientras caminas a paso ligero a través de un pasillo vacío del Palacio Imperial, oyes un débil susurro proveniente de una de las cortinas de la ventana. Después de preparar tu daga, corres las cortinas para desvelar Anaximandros, el hombre gnomo que te reclutó en la carrera de carros!n\n“¡Tú! Debería haberte desfigurado y descuartizado,” siseas al hombre. "Todo el equipo Azul cayó de los carros! " Anaximandros  te sonríe y dice: "Cálmese, Su Majestad, su carro se mantuvo unido ¿verdad? Tengo un nuevo e ingenioso plan para la próxima carrera – uno que no fallará. Su victoria épica va a ser celebrada durante los siglos venideros.";;;;;;;;;x
EVTOPTALoR.405;I may regret this, but I will join this scheme.;Je vais peut-être le regretter, mais je vais rejoindre ce complot.;Ich werde das noch bereuen, aber ich mache mit.;;Puede que me arrepienta, pero voy a  participar en esta conspiración.;;;;;;;;;x
EVTOPTBLoR.405;Not interested. Guards, haul this wretched creature away!;Pas intéressé. Gardes, jetez cette misérable créature hors d'ici !;Kein Interesse. Wachen, entfernt diese hinterhältige Kreatur aus meinen Augen!;;No me interesa. ¡Guardias! ¡Transporta a esta miserable criatura  lejos!;;;;;;;;;x
hippodrome_refuse_second;Anaximandros is thrown into the dungeons and you put this vile scheme behind you for good.;Anaximandre est jeté au cachot et vous oubliez pour de bon ce maudit complot.;Anaximandros wird in den Kerker geworfen und Ihr lasst diese abartigen Machenschaften endgültig hinter Euch.;;Anaximandros es arrojado a las mazmorras y tú olvidas esta horrible idea para siempre.;;;;;;;;;x
EVTTOOLTIPLoR.406;You resume your training.;Vous reprenez votre entraînement.;Ihr fahrt mit Eurem Training fort.;;Reanudas tu entrenamiento.;;;;;;;;;x
EVTNAMELoR.406;Training Resumes;Reprise de l'entraînement;Das Training geht weiter;;Entrenamiento Reanudado;;;;;;;;;x
EVTDESCLoR.406;You resume your chariot training and although you are an even better racer now, it still may not be enough to best the other competitors, many of whom have been driving chariots since early childhood. Anaximandros approaches to tell you of his new scheme.\n\n"Behold, Majesty," he says, and produces a small bottle from within his cloak. "One drop of this concoction, which my associates and I only acquired at great cost I might add, is enough to send a man running for the latrines within minutes. Each member of the Green team will be offered some spiced wine by their quartermaster - a man in our employ - just before the race is about to begin. I think you can see where I am going with this, Your Grace...";Vous reprenez votre entraînement à la course de chars mais, même si vos progrès sont indéniables, ils ne suffiront sans doute pas à battre vos adversaires qui, pour une majorité, pilotent un char depuis leur plus jeune âge. Anaximandre approche pour vous ;Ihr trainiert weiter mit Eurem Streitwagen und auch wenn Ihr nun ein besserer Rennfahrer seid, so reicht dies wahrscheinlich nicht aus im Wettstreit gegen die anderen Wettkämpfer, von denen viele schon seit ihrer Kindheit Streitwagen fahren. Anaximandros ;;Reanudas tu entrenamiento de carros y aunque ahora eres un corredor mucho mejor, todavía no será suficiente para vencer a los otros competidores, muchos de ellos han conducido carros desde la más tierna infancia. Anaximandros se acerca para hablarte de su nuevo plan.\n\n"Mirad, su Majestad" te dice, y saca una pequeña botella de debajo de su capa. "Una  gota de este brebaje, que mis colaboradores y yo solamente conseguimos a un alto coste, es suficiente para enviar a un hombre para las letrinas en cuestión de minutos”. El intendente del equipo Verde –que es empleado nuestro- ofrecerá una copa de vino especiado a cada miembro del equipo Verde justo antes de que comience la carrera. Creo que ya puede ver a dónde voy con esto, Su Gracia ...";;;;;;;;;x
EVTOPTALoR.406;Good. This might actually work!;Bien. Ça va probablement marcher !;Gut! Das könnte sogar funktionieren!;;Bien. ¡Esto realmente puede funcionar!;;;;;;;;;x
EVTNAMELoR.407;The Day of the Second Race;Le Jour de la Seconde Course;Der Tag des Zweiten Rennens;;El Día de la Segunda Competición;;;;;;;;;x
EVTDESCLoR.407;Once again you ride into the Hippodrome in your chariot to the cheers of the people. It looks like nearly all of Constantinople has turned up for this momentous race. Spyridon, your old nemesis, is instructing the rest of the Green team when their quartermaster offers them a sip of wine to fortify their resolve. All accept this offer, except Spyridon. Instead, he loudly proclaims, he will offer his wine to the Blue team who need it more. Before you can object, the other Blue racers happily share the wine between them...\n\nThe trumpets blare and the race begins. Within seconds the first few racers leap off their chariots, sprinting for the latrines. Soon only you and Spyridon remain. Fortune favours you, however, as Spyridon collides with the last racer to abandon his chariot. This delays him enough to grant you victory!;Une fois de plus, vous conduisez votre char à l'Hippodrome sous les acclamations de la foule. Il semble que presque toute la cité de Constantinople s'est retrouvée ici pour cette course mémorable. Spyridon, votre pire cauchemar, donne ses instructions aux;Ein weiteres Mal lenkt Ihr Euren Streitwagen unter dem Jubel der Massen ins Hippodrom. Scheinbar ist fast ganz Konstantinopel zu diesem Spektakel erschienen. Spyridon, Euer alter Erzfeind, gibt gerade letzte Anweisungen an seine Mannschaftskameraden der g;;Una vez más, con ovaciones de la gente, entras en el Hipódromo montado en tu carro. Parece que casi toda Constantinopla haya acudido para esta memorable carrera. Spyridon, tu antiguo enemigo, está dando instrucciones al resto del equipo Verde cuando su intendente les ofrece un sorbito de vino para fortalecer su determinación. Todos aceptan esta oferta, excepto Spyridon que, en vez de ello, proclama con voz bien alta que ofrecerá el vino al equipo Azul, que es el que  más lo necesita. Antes de que puedas oponerte, los demás corredores Azules comparten felizmente el vino...\n\nLa carrera comienza al estruendo de las trompetas. En cuestión de segundos los primeros corredores saltan de sus carruajes y corren a toda velocidad hacia las letrinas. Pronto solamente quedáis tú y Spyridon. Sin embargo, la suerte te sonríe cuando Spyridon colisiona con el último corredor que abandona su carruaje. ¡Esto le retrasa lo suficiente como para otorgarte la victoria a tí!;;;;;;;;;x
EVTOPTALoR.407;Victory, but no thanks to Anaximandros!;Victoire, mais pas grâce à Anaximandre !;Der Sieg ist Euer, jedoch mitnichten dank Anaximandros!;;¡Victoria! ¡Pero no gracias a Anaximandros!;;;;;;;;;x
EVTNAMELoR.408;The Day of the Second Race;Le Jour de la Seconde Course;Der Tag des Zweiten Rennens;;El Día de la Segunda Competición;;;;;;;;;x
EVTDESCLoR.408;Once again you ride into the Hippodrome in your chariot to the cheers of the people. It looks like nearly all of Constantinople has turned up for this momentous race. Spyridon, your old nemesis, is instructing the rest of the Green team when their quartermaster offers them a sip of wine to fortify their resolve. All accept this offer, except Spyridon. Instead, he loudly proclaims, he will offer his wine to the Blue team who need it more. Before you can object, the other Blue racers happily share the wine between them...\n\nThe trumpets blare and the race begins. Within seconds the first few racers leap off their chariots, sprinting for the latrines. Soon only you and Spyridon remain and sadly for you, he proves to be the better chariot racer. He overtakes you in the final lap and rides his chariot to victory.;Une fois de plus, vous conduisez votre char à l'Hippodrome sous les acclamations de la foule. Il semble que presque toute la cité de Constantinople s'est retrouvée ici pour cette course mémorable. Spyridon, votre pire cauchemar, donne ses instructions aux;Ein weiteres Mal lenkt Ihr Euren Streitwagen unter dem Jubel der Massen ins Hippodrom. Scheinbar ist fast ganz Konstantinopel zu diesem Spektakel erschienen. Spyridon, Euer alter Erzfeind, gibt gerade letzte Anweisungen an seine Mannschaftskameraden der g;;Una vez más, con ovaciones de la gente, entras en el Hipódromo montado en tu carro. Parece que casi toda Constantinopla haya acudido para esta memorable carrera. Spyridon, tu antiguo enemigo, está dando instrucciones al resto del equipo Verde cuando su intendente les ofrece un sorbito de vino para fortalecer su determinación. Todos aceptan esta oferta, excepto Spyridon que, en vez de ello, proclama con voz bien alta que ofrecerá el vino al equipo Azul, que es el que  más lo necesita. Antes de que puedas oponerte, los demás corredores azules comparten felizmente el vino...\n\nLa carrera comienza al estruendo de las trompetas. En cuestión de segundos los primeros corredores saltan de sus carruajes y corren a toda velocidad hacia las letrinas. Pronto solamente quedáis tú y Spyridon y, por desgracia tuya, él demuestra ser el mejor corredor de carros. Te adelanta en la última vuelta y dirige su carro hacia la victoria.;;;;;;;;;x
EVTOPTALoR.408;Confound it all!;Consternation totale !;Verflixt nochmal!;;¡Todo confuso!;;;;;;;;;x
EVTNAMELoR.409;The Day of the Second Race;Le Jour de la Seconde Course;Der Tag des Zweiten Rennens;;El Día de la Segunda Competición;;;;;;;;;x
EVTDESCLoR.409;Once again you ride into the Hippodrome in your chariot to the cheers of the people. It looks like nearly all of Constantinople has turned up for this momentous race. Spyridon, your old nemesis, is instructing the rest of the Green team when their quartermaster offers them a sip of wine to fortify their resolve. All accept this offer, except Spyridon. Instead, he loudly proclaims, he will offer his wine to the Blue team who need it more. Before you can object, the other Blue racers happily share the wine between them...\n\nThe trumpets blare and the race begins. Within seconds the first few racers leap off their chariots, sprinting for the latrines. Soon only you and Spyridon remain, but the crowd is up in arms over this disgraceful display. It is obvious to all that foul play is involved. They jump into the arena!;Une fois de plus, vous conduisez votre char à l'Hippodrome sous les acclamations de la foule. Il semble que presque toute la cité de Constantinople s'est retrouvée ici pour cette course mémorable. Spyridon, votre pire cauchemar, donne ses instructions aux;Ein weiteres Mal lenkt Ihr Euren Streitwagen unter dem Jubel der Massen ins Hippodrom. Scheinbar ist fast ganz Konstantinopel zu diesem Spektakel erschienen. Spyridon, Euer alter Erzfeind, gibt gerade letzte Anweisungen an seine Mannschaftskameraden der g;;Una vez más, entre ovaciones, entras en el Hipódromo montado en tu carro. Parece que casi toda Constantinopla haya acudido para esta memorable carrera. Spyridon, tu antiguo enemigo, está dando instrucciones al resto del equipo Verde cuando su intendente les ofrece un sorbito de vino para fortalecer su determinación. Todos aceptan esta oferta, excepto Spyridon que, en vez de ello, proclama con voz bien alta que ofrecerá el vino al equipo Azul, que es el que  más lo necesita. Antes de que puedas oponerte, los demás corredores Azules comparten felizmente el vino...\n\nLa carrera comienza al estruendo de las trompetas. En cuestión de segundos los primeros corredores saltan de sus carruajes y corren a toda velocidad hacia las letrinas. Pronto solamente quedáis tú y Spyridon. La multitud está furiosa con este vergonzoso espectáculo, es obvio que hay juego sucio... ¡El público salta a la arena!;;;;;;;;;x
EVTOPTALoR.409;Back, knaves!;Arrière, fripons !;Zurück, ihr Gesindel!;;¡Atrás, bellacos!;;;;;;;;;x
EVTNAMELoR.410;One Sunny Afternoon...;Un après-midi ensoleillé...;Eines sonnigen Nachmittags …;;Una tarde soleada ...;;;;;;;;;x
EVTDESCLoR.410;You enjoy a quiet moment away from your advisors under the shade of a tree in the palatial garden. A sound from above catches your attention, and as you look up you spot Anaximandros, the chariot gnome, hiding on a branch. "Your Grace," he whispers with a smile. "Before I suffer your wrath, I ask that you hear me out."\n\nHe scurries down from the tree and gives you his new offer. "Fate may have conspired against us in the past, Majesty, but this time my plan is foolproof." He flashes a toothless grin, the closest he can manage to a winning smile. "Third time's the charm, eh, Your Majesty? What do you say?";Vous profitez d'un moment tranquille loin de vos conseillers, à l'ombre d'un arbre dans le jardin du palais. Votre attention est attirée par un son au-dessus de votre tête. En levant les yeux, vous découvrez Anaximandre, le gnome des chars, caché sur une ;Ihr genießt einen stillen Moment, fern Eurer Ratgeber in den Schatten eines Baumes im Palastgarten. Ein Geräusch von oberhalb zieht Eure Aufmerksamkeit auf sich und als Ihr aufschaut, erblickt Ihr Anaximandros, den Streitwagen-Gnom, wie er sich in den Zwe;;Disfrutas de un momento de tranquilidad lejos de tus asesores y bajo la sombra de un árbol en el jardín del palacio. Un sonido proviniente de arriba llama tu atención, y cuando miras hacia arriba descubres a  Anaximandros, el gnomo del carro, escondiéndose en una rama. "Su Gracia", susurra con una sonrisa. "Antes de sufrir tu ira, te pido que me escuches."\n\nÉl se escurre por el árbol y te ofrece su nueva propuesta. "Puede que el destino haya conspirado contra nosotros en el pasado,  Su Majestad, pero esta vez mis planes son infalibles." Y a continuación esboza una desdentada sonrisa burlona, lo más cercano a una sonrisa de ganador, que él es capaz de hacer. "A la tercera va la vencida, ¿No es así, Su Majestad? ¿Qué dice?";;;;;;;;;x
EVTOPTALoR.410;It had better be. I am in.;Cette fois est mieux d'être la bonne. J'embarque.;Das rate ich Euch. Ich mache mit.;;Debe ser que éste sucederá. Seguiré la propuesta.;;;;;;;;;x
EVTOPTBLoR.410;You must be joking. Guards!;Vous voulez rire ? Gardes !;Ihr macht wohl Witze. Wachen!;;¡Debés estar bromeando. Guardias!;;;;;;;;;x
EVTNAMELoR.411;The Chariot;Le Char;Der Streitwagen;;El Carro;;;;;;;;;x
EVTDESCLoR.411;Anaximandros brings you to a small workshop in one of the seedier districts of Constantinople. Here, he explains, they will weaponize your chariot. While you watch, the craftsmen install a pair of extendable metal blades into its chassis, intended to shred the wheels of any chariot adjacent to yours.\n\nYou train extensively with the new chariot until you have mastered its new weapons. As you are about to leave for the Hippodrome on the eve of the race, Anaximandros hands you a flanged mace. "For good measure," he explains.;Anaximandre vous emmène dans un petit atelier dans l'un des quartiers les plus miteux de Constantinople. Ici, explique-t-il, on va armer votre char. Vous regardez les artisans installer une paire de lames télescopiques sur le châssis, celles-ci permettron;Anaximandros bringt Euch in eine kleine Werkstatt in einer der schäbigeren Distrikte von Konstantinopel. Hier, so erklärt er Euch, wird man Euren Streitwagen bewaffnen. Unter Euren Augen installieren die Handwerker ein Paar ausfahrbahrer Metallklingen in ;;Anaximandros te lleva a un pequeño taller en uno de los barrios más sórdidos de Constantinopla. Aquí, explica, van a poner armas en tu carruaje. Mientras miras, los artesanos instalan un par de cuchillas metálicas extensibles en el chasis de tu carro. Con ellas quedarán destruidas las ruedas de cualquier carro que se te aproxime. \n\nAhora tienes que entrenar mucho con el nuevo carro con el fin de llegues a dominar sus nuevas armas. Cuando en la víspera de la carrera estás a punto de partir hacia el Hipódromo, Anaximandros te da una maza. "Por si acaso", te dice.;;;;;;;;;x
EVTOPTALoR.411;Let us hope it does not come to that.;Espérons que je n'aurai pas à l'utiliser.;Soweit sollte es besser nicht kommen.;;Esperemos no llegar a eso.;;;;;;;;;x
EVTNAMELoR.412;The Day of the Third Race;Le Jour de la Troisième Course;Der Tag des Dritten Rennens;;El Día de la Tercera Competición;;;;;;;;;x
