BM_HUNGARY;Hungary-Croatia;;;;Hungría-Croacia;;;;;x
BM_NAPLES_DESC;In the bloody aftermath of the Sicilian Vespers, a war in which the Aragonese King attempted to assert his claim to the Kingdom of Sicily, the southern Italian peninsula is divided. The Kingdom of Trinacria has been proclaimed on the island of Sicily, with the brother of the Aragonese King ruling, and claiming rights to the entirety of the kingdom. On the mainland, the old king of Sicily, now absent his title's namesake, has instead crowned himself the King of Naples, and looks with jealousy on the island that should by rights be his. Both sides of the conflict have powerful allies, the king of Trinacria protected by the Kings of Aragon and Castille, and the king of Naples supported by Hungary-Croatia--a new war will noy be an easy one. Also on the Iberian peninsula, Philippe IV Capet has come to inherit the Kingdom of Navarra, and can likewise be counted in the Iberian struggle. Who will move when, and what will they move against?;;;;Tras las sangrientas secuelas de las Vísperas Sicilanas, una guerra en la que el rey aragonés trató de hacer valer su reclamación al Reino de Sicilia, el sur de la península italiana se encuentra dividido. Se ha proclamado el Reino de Tinacria en la isla de Sicilia, donde gobierna el hermano del rey aragonés, y trata de imponerse sobre el resto del reino. En el continente, el anterior rey de Sicilia, con su título perdido, se ha coronado en cambio Rey de Nápoles, y mira con envidia la isla que debería haber sido suya. Ambos bandos cuentan con poderosos aliados, el rey de Tinacria protegido por los reyes de Castilla y Aragón, y el rey de Nápoles apoyado por Hungría-Croacia – la próxima guerra no será fácil. Además, en la península ibérica, Felipe IV Capeto ha llegado a heredar el Reino de Navarra, un nuevo actor en el conflicto ibérico. ¿Quién será el primero en mover pieza, y contra quién?;;;;;x
BM_ILKHANATE;The Ilkhanate Converts!;;;;¡El ilkanato se convierte!;;;;;x
BM_ILKHANATE_DESC;The Ilkhanate's Khan has converted to Shia Islam!;;;;¡El Kan del ilkanato se ha convertido al Islam Chií!;;;;;x
BM_POLAND;The Polish-Bohemian Union;;;;La Unión polaca-bohemia;;;;;x
BM_POLAND_DESC;Due to the untimely death of the Polish monarch without a favorable heir, Vaclav II Premyslid of Bohemia has been crowned king in place of another Piast. This gives Vaclav--heir to Ottokar, and all the desire for revenge against the von Hohenstauffens that comes with being his son--a great deal of power in Europe. If Vaclav is given time to consolidate and expand it is unlikely the Holy Roman Empire will ever be able to reassert its authority over Bohemia, with its control of the Italian peninsula already crumbling. The time to move is now!;;;;Debido a la prematura muerte del monarca polaco sin un heredero válido, Vaclav II Premyslid de Bohemia ha sido coronado rey en lugar de otro Piast. Esto otorga a Vaclav – heredero de Ottokar, y de los deseos de venganza contra los von Hohenstauffens – una posición interesante en Europa. Si Vaclav consigue tiempo para consolidar su poder, será poco probable que el Sacro Imperio Romano vuelva a ejercer su autoridad en Bohemia, con el control de la península italiana desmoronándose como está. ¡Es hora de actuar!;;;;;x
BM_GH;The Golden Horde Converts!;;;;¡La Horda Dorada se convierte!;;;;;x
BM_GH_DESC;The Khan of the Golden Horde has converted to Sunni Islam!;;;;¡El Kan de la Horda Dorada se ha convertido al Islam Chií!;;;;;x
BM_LITHUANIA_FORMED;Lithuania Unites!;;;;¡Lituania unida!;;;;;x
BM_LITHUANIA_FORMED_DESC;With the Teutonic Order occupying their historic lands in the West and the Golden Horde destroying the Rurikovich to the East, the myriad tribes of Lithuania have finally seen fit to unite under one king for their better protection, by necessity. Mindaugas I is a strong ruler, but his kingdom is not. Lacking many of his historic lands, those having been usurped by the Teutonic Order, and being only a few petty duchies away from a full border with the Golden Horde, his fitness will be tested in the coming days. Not only does Lithuania have a vassalage of mixed religions, some Romuva and some Catholic, Mindaugas's own children are divided in their worship even from his own faith, with his son and heir Vaisvilkas an Orthodox Christian and his second son Daumantas a Romuvan. To secure his lands and carve a future for the Lithuanian people, Mindaugas must calm the religious tension in his realm while seeking alliances to help him in recovering his people's ancestral land. For Lietuva!;;;;Con la Orden Teutónica ocupando sus tierras históricas por el Oeste, y la Horda Dorada destrozando a los Rurikovich por el Este, la miríada de tribus lituanas finalmente se han visto obligadas a unirse bajo un mismo rey, por pura necesidad de protección. Mindaugas I es un líder fuerte, pero su reino no. Faltando muchas de sus tierras en manos de los teutones y con la Horda Dorada a escasos ducados de distancia, su valía se probará en los próximos días. Lituania no sólo tiene vasallos de varias religiones, algunos Romuvitas y otros Católicos, sino que incluso los propios hijos de Mindaugas se dividen en su fe, siendo el primogénito Vaisvilkas un cristiano ortodoxo y el segundo hijo Daumantas un romuvita. Para asegurar sus tierras y labrar un futuro, Mindaugas tendrá que calmar la tensión religiosa mientras busca aliados para recuperar la tierra ancestral de su gente. ¡Por Lietuva!;;;;;x
BM_MONGOL_SPLIT;The Golden Horde and Ilkhanate;;;;La Horda Dorada y el Ilkanato;;;;;x
BM_MONGOL_SPLIT_DESC;Following the death of the great Khan Ghengis, his realm has split between his heirs. His grandson Batu rules in the north as the Golden Horde, while his youngest son Tolui rules in the south as the Ilkhanate. Although the division of these realms may well make the Mongol menace weaker on the offensive, their dynastic alliance will certainly make what lands they have already claimed nigh-impenetrable….;;;;Tras la muerte del gran Gengis Kan, su reino se ha dividido entre sus herederos. Su nieto Batu gobierna al norte la Horda Dorada, mientras su hijo menor Tolui gobierna el Ilkanato al sur. Aunque esta división ha reducido algo la amenaza de ataque, su alianza dinástica ciertamente les proporciona una defensa impenetrable.;;;;;x
BM_TWO_ERIKS;The War of the Two Eriks;;;;La Guerra de los dos Eriks;;;;;x
BM_TWO_ERIKS_DESC;On the death of King Stenkil I, his son Erik ascended the throne of Sweden as Erik II. As soon as the young Erik II ascended the throne, Erik III of Uppland declared a war to place himself, youngest--and bastard--son of King Emundr I, on the throne in a conflict which would come to be known as the War of the Two Eriks. Erik II is Catholic, whereas Erik III is Norse, one of the last living remnants of the old faith. Can Erik III restore the Norse religion and the rule of his house to a land that has abandoned both?;;;;A la muerte del Rey Stenkil I, su hijo Erik ascendió al trono de Suecia como Erik II. Al mismo tiempo, Erik III de Uplandia declaró una guerra para colocarse él mismo, el más joven – y bastardo – hijo del Rey Emundr I, en el trono, un conflicto que más tarde se conocería como la Guerra de los dos Eriks. Erik II es católico, mientras que Erik III es nórdico, uno de los últimos en seguir a los antiguos dioses. ¿Podrá Erik III restaurar la religión nórdica y el mandato de su casa en una tierra que ha abandonado ambos?;;;;;x
BM_SARTAQ_KHAN;Sartaq Khan the Nestorian;;;;Sartak Kan el Nestoriano;;;;;x
BM_SARTAQ_KHAN_DESC;Sartaq Khan has become Khagan of the Golden Horde, but his reign is unstable and almost certainly doomed to fail. Sartaq is a Nestorian Christian, a heathen to his fellow Mongols and a heretic to his Orthodox vassals. There is minimal support for his reign throughout the Golden Horde… but perhaps there need not be. Realms that have been battered by warfare, either by the Horde itself or other Muslims, will inevitably look toward Sartaq's ascension--heretic or not--as a beacon in a time of darkness. If Sartaq can retain his rule long enough to form marriage ties with strong European realms, his rule and his faith might be beaten into his reluctant vassals.;;;;Sartak Kan se ha convertido en el Gran Kan de la Horda Dorada, pero su reino es inestable y casi seguro condenado a fracasar. Sartak es un cristiano nestoriano, pagano para sus hermanos mongoles y hereje para sus vasallos ortodoxos. El apoyo a su reinado en la Horda Dorada es mínimo... pero quizás no haga falta más. Los reinos que han sido abatidos por la guerra, por la Horda misma o por otros musulmanes, inevitablemente verán el ascenso de Sartak – hereje o no – como un faro en un tiempo de oscuridad. Si Sartak puede mantener su reinado el tiempo suficiente para establecer lazos con reinos europeos fuertes, su mandato y su fe se podrá derrotar a sus reluctantes vasallos.;;;;;x
