#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOLD_ELECTION_EFFECT;An election is held in $TITLE$.\n;Élection en $TITLE$.\n;Eine Wahl wird gehalten in $TITLE$.\n;;Elección en $TITLE$.\n;;;;;;;;;x
REQUEST_ANSWER_MAYBE;§YThis Request might be Accepted§!;Cette demand pourrait être accepté;Dieses Anspruch wird vielleicht akzeptiert;;Esta solicitud podría ser aceptada;;;;;;;;;x
REQUEST_ANSWER_NO;§RThis Request would be Denied§!;Cette demand serait refusée;Dieses Anspruch wurde abgelehnt werden;;Esta solicitud será denegada;;;;;;;;;x
HymnsOfAbrahamDLC;Hymns of Abraham;Hymnes d'Abraham;Die Hymnen von Abraham;;Himnos de Abraham;;;;;;;;;x
WoFUPDLC;Warriors of Faith Unit Pack;Pack d'Unites Guerriers de la Foi;Einheitenpack Krieger des Glaubens;;Pack de Unidades Guerreros de la Fe;;;;;;;;;x
MOUPDLC;Military Orders Unit Pack;Pack d'Unites Ordres Militaires;Einheitenpack Ritterorden;;Pack de Unidades Ordenes Militares;;;;;;;;;x
REVOKE_TITLE_TOOLTIP;Revoke the title of §Y$TITLE$§! from §Y$HOLDER$§!;Annuler le titre de §Y$TITLE$§! de §Y$HOLDER$§!;Der Titel von §Y$TITLE$§! von §Y$HOLDER$§! entziehen;;Revocar el título de §Y$TITLE$§! de §Y$HOLDER$§!;;;;;;;;;x
DESTROY_TITLE_TOOPTIP;Destroy the title of §Y$TITLE$§!;Détruir le titre de §Y$TITLE$§!;Der Titel von §Y$TITLE$§! vernichten;;Destruir el título de §Y$TITLE$§!;;;;;;;;;x
TITLE_DESTROY_TOOLTIP_IS_NOT_PRIMARY;Title is not the Primary Title;Le titre non est le titre principal;Der Titel ist nicht der Haupttitel;;El título no es el título principal;;;;;;;;;x
TITLE_DESTROY_TOOLTIP_CAN_AFFORD;Can afford to lose §Y$PRESTIGE$§! Prestige;Dispose d'assez de prestige pour en perdre §Y$PRESTIGE$§!;Kann es sich leisten, §Y$PRESTIGE$§! Prestige zu verlieren;;Puede permitirse perder §Y$PRESTIGE$§! prestigio;;;;;;;;;x
TITLE_DESTROY_IS_NOT_GAVELKIND;Succession type is not Gavelkind;Droit de successions non est Partage Salique;Nachfolge ist nicht Gavelkind;;Tipo de sucesión no es Partes Iguales;;;;;;;;;x
temple_baron_jewish_group;Rabbi;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_count_jewish_group;Kohen;Kohen;Kohen;;Kohen;;;;;;;;;x
temple_duke_jewish_group;Rabban;Rabban;Rabban;;Rabban;;;;;;;;;x
temple_king_jewish_group;Nasi;Nassi;Nasi;;Nasi;;;;;;;;;x
