#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
hold_divination;Hold a divination!;Tenir une divination;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x
EVTDESCancrel.0040;Your spouse, [From.GetTitledFirstName], is dragged in the middle of the grove as the vates readie his weapon. In a last desperate effort to save  [From.GetHerselfHimself], [From.GetFirstName] calls out to you for mercy. I have always loved you, [Root.GetFirstName]... and I always will.;Les gardes traînent [From.GetTitledFirstName], votre époux/épouse, jusqu'à la potence en face du temple et lui passent la corde au cou. Dans un ultime effort désespéré pour sauver sa vie, [From.GetFirstName] demande grâce en criant. 'Je vous ai toujours aimé(e), [Root.GetFirstName]... et je vous aimerai toujours.';Euer Ehepartner, [From.GetTitledFirstName], wird aus Eurem Verlies zum Galgen vor dem Tempel gebracht und die Wachen legen eine Schlinge um [From.GetHerHis] Hals. In einem letzten, verzweifelten Aufbegehren, [From.GetHerselfHimself] zu retten, fleht [From.GetFirstName] Euch um Gnade an. 'Ich habe Euch immer geliebt, [Root.GetFirstName]... und ich werde Euch immer lieben.';;Tu esposa, [From.GetTitledFirstName], es arrastrada a la horca delante del templo y los guardias le ponen la soga alrededor de [From.GetHerHis] cuello. En un último esfuerzo por salvarse a [From.GetHerselfHimself], [From.GetFirstName] te pide misericordia. “Siempre te he querido, [Root.GetFirstName]... y siempre te querré”;;;;;;;;;x
EVTOPTAancrel.0040;Forgive me then, my love, but this is how it must be.;Dans ce cas, pardonne-moi, mon amour, il ne peut en être autrement.;Vergebt mir, meine Liebe, doch dies ist unvermeidlich.;;Perdóname entonces, mi amor, pero es lo que tiene que ser.;;;;;;;;;x
EVTOPTBancrel.0040;No, this is too much... I can't permit it.;Non, ça va trop loin... Je ne peux pas permettre ça.;Nein, das ist zuviel… Ich kann das nicht zulassen.;;No, esto es demasiado… No puedo permitirlo.;;;;;;;;;x
EVTDESCancrel.0041;From deep within your dungeons, your guards bring out [From.GetTitledFirstName], your Skræling prisoner. As they drag [From.GetHerHim] to the front of the grove and the druid sprinkles [From.GetHerHis] face with blood, the Skræling shouts something in [From.GetHerHis] own language and stares at you defiantly.;Depuis les profondeurs de vos cachots, vos gardent sortent [From.GetTitledFirstName], votre prisonnier skræling. Pendant qu'ils le traînent en face du temple et lui passent la corde au cou, le Skræling hurle quelque chose dans sa langue et vous envoie un regard provocateur.   ;Aus den Tiefen Eures Verlieses bringen die Wachen [From.GetTitledFirstName], Euren Skræling-Gefangenen. Als sie [From.GetHerHim] vor den Tempel zerren und die Schlinge um [From.GetHerHis] Hals legen, ruft der Skræling etwas in [From.GetHerHis] eigenen Sprache und starrt Euch verächtlich an.;;Desde lo profundo de tus calabozos, los guardias traen a [From.GetTitledFirstName], tu prisionero Skraeling. Mientras le arrastran a [From.GetHerHim] al frente del templo y ponen la soga alrededor de [From.GetHerHis] cuello, el Skraeling grita algo en [From.GetHerHis] idioma y te mira desafiante.;;;;;;;;;x
EVTOPTAancrel.0041;Let us show you how a proper human sacrifice is done.;Nous allons vous montrer comment on sacrifie un humain.;Lasst uns zeigen, wie ein richtiges Menschenopfer aussieht.;;Déjanos enseñarte como se hace un verdadero sacrificio humano.;;;;;;;;;x
EVTOPTBancrel.0041;No, this brave Skræling shall live to see another day.;Non, ce brave Skræling verra le soleil se lever demain.;Nein, dieser tapfere Skræling soll leben.;;No, este valiente Skraeling tiene que vivir para ver otro día.;;;;;;;;;x
EVTDESCancrel.0042;[FromFrom.GetTitledFirstName] is dragged to the great oak in the middle of the grove and forced to [FromFrom.GetHerHis] knees. Soon [FromFrom.GetFirstName]'s body lies limply on the cold ground.;On traîne [FromFrom.GetTitledFirstName] jusqu'au gros chêne en face du temple et on lui passe la corde autour du cou. Bientôt, son corps pendouille mollement à l'une des branches de l'arbre, oscillant au gré du vent.;[FromFrom.GetTitledFirstName] wird zu der großen Eiche vor dem Tempel gezerrt und eine Schlinge wird um [FromFrom.GetHerHis] Hals gelegt. Schon bald schwingt [FromFrom.GetFirstName]s Körper leblos in der kalten Brise von einer der Astgabeln.;;[FromFrom.GetTitledFirstName] es arrastrado al gran roble enfrente del templo y le ponen la soga alrededor de [FromFrom.GetHerHis] cuello. Pronto, el cuerpo de [FromFrom.GetFirstName] cuelga sin fuerza en la brisa desde una de las ramas del árbol.;;;;;;;;;x
EVTOPTAancrel.0042;This should please the gods!;Cela devrait plaire aux dieux !;Das sollte die Götter zufrieden stellen!;;¡Esto le gustará a los dioses!;;;;;;;;;x
EVTDESCancrel.0043;Your liege's guards have brought a Christian, [FromFrom.GetTitledFirstName], to the big oak in the middle of the grove. As the druid slowly circles [FromFrom.GetHerHim], [FromFrom.GetSheHe] continues to prattle on about the Holy Spirit and how we shall all suffer in Hell for our sins... but soon [FromFrom.GetSheHe] speaks no more.;Les gardes de votre seigneur ont amené un chrétien, [FromFrom.GetTitledFirstName], sous le grand chêne en face du temple. Alors qu'on lui passe la corde au cou, [FromFrom.GetSheHe] continue à débattre à propos du Saint-Esprit et du fait que nos péchés nous mèneront droit en Enfer... puis [FromFrom.GetSheHe] se tait à jamais.;Die Wachen Eures Lehnsherren haben einen Christen, [FromFrom.GetTitledFirstName], zur großen Eiche vor dem Tempel gebracht. Selbst als die Schlinge um [FromFrom.GetHerHis] Hals gelegt wird, brabbelt er weiter vom Heiligen Geist und dass wir alle für unsere Sünden in der Hölle schmoren werden... doch schon bald verstummt [FromFrom.GetTitledFirstName].;;Los guardias de tu señor han traído a un Cristiano, [FromFrom.GetTitledFirstName], al gran roble delante del templo. Mientras ponen la soga alrededor de [FromFrom.GetHerHis] cuello, [FromFrom.GetSheHe] sigue balbuceando sobre el Espíritu Santo y cómo todos sufriremos  en el Infierno por nuestros pecados… pero pronto [FromFrom.GetSheHe] ya no habla más.;;;;;;;;;x
EVTDESCancrel.0044;[FromFrom.GetTitledFirstName], a Mohammedan from your liege's dungeons, has been brought to the grove and will now be sacrificed to the gods. As [FromFrom.GetSheHe] is forced to [FromFrom.GetHerHis] knees in front of a small pond, [FromFrom.GetSheHe] quotes a passage from their holy book right up until the vates plunge [FromFrom.GetHerHis] head in the water.;[FromFrom.GetTitledFirstName], un mahométan sorti des cachots de votre seigneur, a été conduit au temple et sera sacrifié aux dieux.  Alors qu'on lui passe la corde au cou, [FromFrom.GetSheHe] cite un passage de son livre sacré jusqu'à ce que le noeud se resserre et que ses pieds quittent le sol.;[FromFrom.GetTitledFirstName], ein Mohammedaner aus dem Kerker Eures Lehnsherren, wurde vor den Tempel gebracht und wird jetzt den Göttern geopfert. Als die Schlinge um [FromFrom.GetHerHis] Nacken gelegt wird, zitiert  [FromFrom.GetSheHe] einen Passus aus der Heiligen Schrift, bis sich das Seil straff spannt und [FromFrom.GetHerHis] Füße in der Luft baumeln.;;[FromFrom.GetTitledFirstName], un Mahometano de las mazmorras de tu señor, ha sido llevado al templo y será sacrificado a los dioses. Mientras le ponen la soga alrededor de [FromFrom.GetHerHis] cuello, [FromFrom.GetSheHe] cita un pasaje de su libro sagrado hasta que la cuerda se aprieta y [FromFrom.GetHerHis] pies se levantan del suelo.;;;;;;;;;x
EVTDESCancrel.0045;Your liege has told [From.GetHerHis] men to fetch [FromFrom.GetTitledFirstName], [From.GetHerHis] own brother, from the dungeons. [From.GetFirstName] betrays no emotion as [FromFrom.GetFirstName] is brought down to his knees in the middle of the grove, and soon his severed head can be seen rolling on the ground.;Votre seigneur a demandé à ses hommes de ramener des cachots [FromFrom.GetTitledFirstName], son propre frère. [From.GetFirstName] ne montre aucune émotion alors que [FromFrom.GetFirstName] est conduit à la potence dressée face au temple. Peu de temps après, on peut voir son cadavre se balancer lentement au gré du vent.;Euer Lehnsherr hat [From.GetHerHis] Männern befohlen, [FromFrom.GetTitledFirstName], [From.GetHerHis] eigenen Bruder aus dem Kerker zu holen. [From.GetFirstName] zeigt keine Regung, als [FromFrom.GetFirstName] zu den Galgen vor dem Tempel gebracht wird und schon bald schwingt eine schlaffe Leiche im Wind.;;Tu señor le ha dicho a [From.GetHerHis] hombres que busquen a [FromFrom.GetTitledFirstName], [From.GetHerHis] propio hermano, en las mazmorras. [From.GetFirstName] no muestra ninguna emoción mientras llevan a [FromFrom.GetFirstName] a la horca delante del templo, y pronto se puede ver su cuerpo meciéndose alante y atrás en el viento.;;;;;;;;;x
EVTDESCancrel.0046;It seems your liege has decided to sacrifice [FromFrom.GetTitledFirstName], [From.GetHerHis] own sister, to the gods. She has been brought out from [From.GetFirstName]'s dark dungeons, and while she squints her eyes in the unfamiliar daylight, the vates force her to her knees. Moments later her eyes are forever dead and listless.;Il semble que votre seigneur ait décidé de sacrifier aux dieux [FromFrom.GetTitledFirstName], sa propre soeur. On la sort des sombres cachots de [From.GetFirstName] et elle a à peine le temps de s'habituer à la lumière du jour que les gardes lui ont déjà passé la corde au cou. Quelques instants plus tard, ses yeux sont figés pour l'éternité.;Euer Lehnsherr hat beschlossen [FromFrom.GetTitledFirstName], [From.GetHerHis] eigene Schwester den Göttern zu opfern.  Sie wurde aus [From.GetFirstName]s Kerkern geführt. und während sie ihre Augen noch im ungewohnten Tageslicht zusammenkneift, legen die Wachen schon die Schlinge um ihren Hals. Augenblicke später bleiben ihre Augen für immer tot und glanzlos.;;Parece que tu señor ha decidido sacrificar a [FromFrom.GetTitledFirstName], [From.GetHerHis] propia hermana, a los dioses. La han traído  de la oscura mazmorra de [From.GetFirstName], y mientras acostumbra sus ojos a la luz del día, los guardias le ponen la soga al cuello. Momentos después sus ojos están cerrados para siempre.;;;;;;;;;x
EVTDESCancrel.0047;To your surprise, [FromFrom.GetTitledFirstName] orders [FromFrom.GetHerHis] guards to bring out [FromFrom.GetTitledFirstName] - [FromFrom.GetHerHis] own father. He is sprinkled with blood and led to the nearest pit, soon he joins the others laying at the bottom of the pit with dead, gaping eyes.;À votre grand étonnement, [FromFrom.GetTitledFirstName] a ordonné à ses gardes de faire sortir [FromFrom.GetTitledFirstName], son propre père. On le conduit à la potence dressée face au temple où il rejoint bien vite les autres corps qui se balancent aux branches, mort, les yeux grand ouverts.;Zu Eurer Überraschung befiehlt [FromFrom.GetTitledFirstName] [FromFrom.GetHerHis] Wachen, [FromFrom.GetTitledFirstName] aus dem Kerker zu holen - [FromFrom.GetHerHis] eigener Vater. Er wird zu den Galgen vor dem Tempel gebracht und schließt sich schon bald den anderen an, die schlaff und mit leblos starrenden Augen von den Ästen hängen.  ;;Para tu sorpresa, [FromFrom.GetTitledFirstName] ordena a [FromFrom.GetHerHis] guardias que saquen a [FromFrom.GetTitledFirstName], [FromFrom.GetHerHis] propio padre. Es traído a la horca delante del templo, y pronto se une a los otros colgando sin fuerzas de las ramas, con enormes ojos muertos.;;;;;;;;;x
EVTDESCancrel.0048;[FromFrom.GetTitledFirstName], the mother of your liege, appears at the grove flanked by guards, and to your surprise they escort her right up to the druid. She pleads in vain with [From.GetTitledFirstName], but [From.GetSheHe] will not be moved. Within moments, the knife of the druid his sheathed deep in her lifeless body.;[FromFrom.GetTitledFirstName], la mère de votre seigneur, arrive au temple, escortée par des gardes et, à votre grand étonnement, ils la conduisent droit à la potence. En vain, elle implore [From.GetTitledFirstName], mais [From.GetSheHe] reste de glace. Quelques instants plus tard, son corps se balance à une branche d'arbre près du temple, à côté des autres offrandes.;[FromFrom.GetTitledFirstName], die Mutter Eures Lehnsherren, erscheint flankiert von Wachen vor dem Tempel. Zu Eurer Überraschung wird sie zu den Galgen geführt. Sie fleht um Gnade, doch [From.GetTitledFirstName] lässt sich nicht erweichen. Kurz darauf baumelt sie zwischen den anderen Opfergaben in den Bäumen vor dem Tempel.;;[FromFrom.GetTitledFirstName], madre de tu señor, aparece en el templo flanqueada por guardias, y para tu sorpresa la escoltan hasta la soga.  Ella implora en vano con [From.GetTitledFirstName], pero [From.GetSheHe] no se conmoverá. En momentos, ella cuelga al lado de las otras ofrendas en los árboles fuera del templo.;;;;;;;;;x
EVTDESCancrel.0049;[From.GetTitledFirstName] marches [From.GetTitledHerHis] own son, [FromFrom.GetTitledFirstName], to the middle of the grove. He is to be the next sacrifice. All of his pleas fall on deaf ears, and moments later the vates force him to his knees and he is made forever silent.;[From.GetTitledFirstName] conduit son propre fils,  [FromFrom.GetTitledFirstName], à la potence dressée près du temple. Il sera le prochain sacrifice. Ses supplications sont restées lettre morte. Quelques instants plus tard, les gardes lui pasent la corde au cou et il se tait à jamais.;[From.GetTitledFirstName] bringt [From.GetTitledHerHis] eigenen Sohn, [FromFrom.GetTitledFirstName], zu den Galgen vor dem Tempel. Er wird als nächster geopfert werden. All sein Flehen stößt auf taube Ohren und kurz darauf legen die Wachen die Schlinge um seinen Hals und er verstummt für immer.;;[From.GetTitledFirstName] lleva a [From.GetTitledHerHis] propio hijo, [FromFrom.GetTitledFirstName], a la horca fuera del templo. Será el siguiente sacrificio. Todas sus súplicas caen en oídos sordos, y momentos después los guardias le ponen la soga al cuello y se calla para siempre.;;;;;;;;;x
EVTDESCancrel.0050;Those assembled for the divination gasp in surprise when [FromFrom.GetTitledFirstName], daughter of [From.GetTitledFirstName], is dragged to the sacrificial pits for the next sacrifice. She asks her [From.GetFatherMother] for mercy, but none is forthcoming.;Ceux qui participent aux blót n'en croient pas leurs yeux quand ils voient [FromFrom.GetTitledFirstName], fille de [From.GetTitledFirstName], entraînée à la potence pour y être sacrifiée. Elle demande grâce à [From.GetFatherMother], mais sans succès.;Alle beim Blót Versammelten keuchen vor Überraschung, als [FromFrom.GetTitledFirstName], Tochter von [From.GetTitledFirstName], zu den Galgen gezerrt wird. Sie fleht um Gnade, doch niemand will ihr helfen. ;;Todos los reunidos en la mancha gritan en sorpresa cuando [FromFrom.GetTitledFirstName], hija de  [From.GetTitledFirstName], es empujada a la horca para el siguiente sacrificio. Pide misericordia a su [From.GetFatherMother], pero no llega.;;;;;;;;;x
EVTDESCancrel.0051;[FromFrom.GetTitledFirstName], a member of [From.GetFirstName]'s own extended family, is dragged from the dungeons and brought to the grove. Despite, or perhaps because of, the fact that they are of the same blood, [From.GetFirstName] shows no mercy and the sacrifice takes place as planned.;[FromFrom.GetTitledFirstName], un membre de la famille élargie de [From.GetFirstName], est sorti(e) des cachots et traîné(e) au temple. Malgré le fait qu'ils soient du même sang, ou peut-être justement à cause de cela, [From.GetFirstName] ne montre aucune miséricorde et le sacrifice a lieu tel que prévu.;[FromFrom.GetTitledFirstName], ein Mitglied von [From.GetFirstName]s eigener Sippe, wird aus dem Kerker geholt und zum Tempel gebracht. Obwohl, oder vielleicht gerade weil sie blutsverwandt sind, zeigt [From.GetFirstName] keine Gnade und das Opfer erfolgt wie geplant. ;;[FromFrom.GetTitledFirstName], miembro de la extensa familia de [From.GetFirstName], es sacado de las mazmorras y traído al templo. A pesar, o quizá porque son de la misma sangre, [From.GetFirstName] no muestra clemencia y el sacrificio se lleva a cabo como estaba planeado.;;;;;;;;;x
EVTDESCancrel.0052;[From.GetTitledFirstName] has apparently decided to sacrifice [From.GetHerHis] own spouse, [FromFrom.GetTitledFirstName], to the gods, and [FromFrom.GetSheHe] has been brought in chains to the grove. Despite professing [FromFrom.GetHerHis] continued love, [From.GetFirstName] has decided to go ahead with the sacrifice.;[From.GetTitledFirstName] a apparemment décidé de sacrifier sa douce moitié aux dieux, [FromFrom.GetTitledFirstName], et [FromFrom.GetSheHe] a été amené(e) au temple, enchaîné(e). Malgré le fait qu'[FromFrom.GetSheHe] lui ait déclaré l'aimer toujours, [From.GetFirstName] a décidé de mener le sactifice à son terme.;[From.GetTitledFirstName] hat entschieden, [From.GetHerHis] eigenen Ehepartner, [FromFrom.GetTitledFirstName], den Göttern zu opfern und [FromFrom.GetSheHe] wurde in Ketten zum Tempel geführt. Trotz [FromFrom.GetHerHis] Beteuerungen ewiger Liebe, hat [From.GetFirstName] beschlossen, das Opfer durchzuführen.;;[From.GetTitledFirstName] ha decidido sacrificar a [From.GetHerHis] propia esposa, [FromFrom.GetTitledFirstName], a los dioses, y [FromFrom.GetSheHe] ha sido traída encadenada al templo. A pesar de profesar [FromFrom.GetHerHis] continuo amor, [From.GetFirstName] ha decidido continuar con el sacrificio.;;;;;;;;;x
EVTDESCancrel.0053;In honor of the gods, your liege produces a Skræling from deep within [From.GetHerHis] dungeons. [FromFrom.GetTitledFirstName] is brought to the grove for the sacrifice, and everyone agrees that this is a most worthy sacrifice.;En l'honneur de son blót, votre seigneur sort un Skræling de la profondeur de ses cachots. [FromFrom.GetTitledFirstName] est traîné au temple pour le sacrifice et tous s'accordent pour dire que c'est un sacrifice des plus valables.;Um dieses Blót zu ehren, lässt Euer Lehnsherr einen Skrælinger aus den Kerkern holen. [FromFrom.GetTitledFirstName] wird zum Tempel gebracht und alle sind einverstanden, dass das ein höchst angemessenes Opfer ist. ;;En honor a esta mancha, tu señor saca a la luz a un Skraeling de las profundidades de [From.GetHerHis] mazmorras. [FromFrom.GetTitledFirstName] es traído al templo para su sacrificio, y todo el mundo está de acuerdo en que es el sacrificio más merecido.;;;;;;;;;x
EVTDESCancrel.0054;As you have no prisoners languishing in your dungeons that are suitable for sacrifice, you are forced to make do with some randomly purchased slaves. They are brought to the big oak inside the grove, and soon their limp and lifeless bodies are lying on the ground.;Comme vous n'avez aucun prisonnier qui se languit dans vos cachots qui soit assez valable pour un sacrifice pour votre blót, vous devez  choisir parmi quelques esclaves achetés au hasard. On les amène sous le grand chêne près du temple et, en peu de temps, leurs corps sans vie se balancent à ses fortes branches.;Da Ihr keine geeigneten Gefangenen in Eurem Kerker habt, seid Ihr gezwungen, mit einigen zufällig erworbenen Leibeigenen Vorlieb zu nehmen. Sie werden zur großen Eiche vor dem Tempel gebracht und schon bald hängen ihre leblosen Leichen von den dicken Ästen.;;Como no tienes prisioneros languideciendo en tus mazmorras que sean adecuados para sacrificar en la mancha, te ves obligado a conformarte con esclavos comprados al azar. Son llevados al gran roble fuera del templo, y pronto sus cuerpos cuelgan flácidos y sin vida de sus gruesas ramas.;;;;;;;;;x
EVTOPTAancrel.0054;It is better than nothing.;C'est mieux que rien.;Besser als nichts.;;Es mejor que nada.;;;;;;;;;x
EVTDESCancrel.0055;As [From.GetTitledFirstName] had no prisoners languishing in [From.GetHerHis] dungeons that were suitable for sacrifice, your liege was forced to make do with some randomly purchased slaves. They are brought to the big oak inside the grove, and soon their limp and lifeless bodies are lying on the ground.;Comme [From.GetTitledFirstName] n'avait aucun prisonnier qui se languissait dans ses cachots qui soit assez valable pour un sacrifice pour votre blót, votre seigneur a eu à choisir parmi quelques esclaves achetés au hasard. On les amène sous le grand chêne près du temple et, en peu de temps, leurs corps sans vie se balancent à ses fortes branches.;Da [From.GetTitledFirstName] keine geeigneten Gefangenen in [From.GetHerHis] Kerker hatte, war Euer Lehnsherr gezwungen, einige zufällig erworbene Leibeigene zu opfern. Sie werden zur großen Eiche vor dem Tempel gebracht und schon bald hängen ihre schlaffen Leichen von den dicken Ästen.;;Como [From.GetTitledFirstName] no tiene prisioneros languideciendo en [From.GetHerHis] mazmorras que sean adecuados para el sacrificio en la mancha, tu señor se ve obligado a conformarse con esclavos comprados al azar. Son llevados al gran roble fuera del templo, y pronto sus cuerpos cuelgan flácidos y sin vida de sus gruesas ramas.;;;;;;;;;x
EVTOPTAancrel.0055;Better than nothing, I suppose.;C'est probablement mieux que rien.;Besser als nichts, schätze ich.;;Mejor que nada, supongo.;;;;;;;;;x
EVTTOOLTIPancrel.0057;Execution is stayed.;L'exécution est suspendue.;Die Hinrichtung wird vertagt.;;La ejecución es aplazada.;;;;;;;;;x
EVTDESCancrel.0057;As you stand trembling with a knife pressed against your neck, [From.GetTitledFirstName] suddenly seems to have had a change of mind. The knife is removed and you are brought back to the dungeon. It looks like you will live to see another day.;Alors que vous avez la corde au cou, tremblotant, [From.GetTitledFirstName] paraît soudainement avoir changé d'idée. La corde est enlevée et on vous conduit au cachot. Il semble qu'il vous reste un autre jour à vivre.;Gerade als dir die Schlinge um den Hals gelegt wird, ändert [From.GetTitledFirstName] plötzlich seine Meinung. Die Schlinge wird abgenommen und Ihr werdet in den Kerker zurückgebracht. Scheinbar lebt Ihr noch ein paar Tage länger.;;Mientras estás temblando con la soga alrededor de tu cuello, [From.GetTitledFirstName] de repente parece cambiar de idea. Te quitan la soga y te devuelven a las mazmorras. Parece que vivirás para ver otro día.;;;;;;;;;x
EVTOPTAancrel.0057;I... how... what?;Je... comment... quoi ?;Ich… wie... was?;;Yo… cómo… qué?;;;;;;;;;x
EVTDESCancrel.0060;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of the glory which awaits our grand dynasty.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0060;Glory to the Gods!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0061;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of a great victory which awaits our armies.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0061;Glory to the Gods!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0062;The ceremony is over. It will be at least five years until you hold the next one, but as your vassals return home, most seem to agree that the ceremony was well worth the trip.;Le banquet est terminé, et le blót par le fait même. Il s'écoulera neuf années avant que vous teniez le prochain. Néanmoins, alors que vos vassaux reprennent la route, la plupart s'accordent pour dire que la cérémonie valait le déplacement.;Die Feier ist vorbei und damit auch das Blót. Frühestens in neun Jahren könnt Ihr das nächste veranstalten, doch die meisten Eurer nach Hause zurückkehrenden Vasallen meinen, dass die Zeremonie die Reise wert war.;;La fiesta se acaba, y con ella la mancha. Pasarán por lo menos 9 años hasta que celebres la siguiente, pero mientras tus vasallos regresan a casa, la mayoría está de acuerdo en que valió la pena hacer el viaje por la ceremonia.;;;;;;;;;x
EVTOPTAancrel.0062;Until next time!;À la prochaine fois !;Bis zum nächsten Mal!;;¡Hasta la próxima!;;;;;;;;;x
EVTDESCancrel.0063;The ceremony is over. It will be at least five years until your liege holds the next one, but as you and the other vassals return home, most seem to agree that the ceremony was well worth the trip.;Le banquet est terminé, et le blót par le fait même. Il s'écoulera neuf années avant que votre seigneur organise le prochain, néanmoins, alors que vous et les autres vassaux reprenez la route, la plupart s'accordent pour dire que la cérémonie valait le déplacement.;Die Feier ist vorbei und damit auch das Blót. Frühestens in neun Jahren wird der Lehnsherr das nächste veranstalten, doch Ihr und die meisten der nach Hause zurückkehrenden Vasallen meinen, dass die Zeremonie die Reise wert war.;;La fiesta se acaba, y con ella la mancha. Pasarán por lo menos 9 años hasta que tu señor celebre la siguiente, pero mientras tú y tus vasallos regresáis a casa, la mayoría estáis de acuerdo en que valió la pena hacer el viaje por la ceremonia.;;;;;;;;;x
EVTDESCancrel.0064;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of the wealth and knowledge we will attain.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0064;Glory to the Gods!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0065;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids warn of a loss that will affect us deeply.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0065;Woe to me!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0066;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids warn of the disapointment of the gods with our dynasty.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0066;Woe to me!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0067;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of the glory which awaits our lords dynasty.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0067;Glory to the Gods!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0068;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of a great victory which awaits our armies.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0068;Glory to the Gods!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0069;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of the wealth and knowledge our lord will attain.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0069;Glory to the Gods!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0070;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids warn our lord that he will lose something dear to him.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0070;The Gods are angry;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0071;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids warn of the disapointment of the gods with our lord.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0071;The Gods are angry;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
opinion_held_divination;Held divination;Blót tenu;Hat Blót veranstaltet;;Mancha Realizada;;;;;;;;;x
opinion_held_bad_divination;Angered the gods;Blót tenu;Hat Blót veranstaltet;;Mancha Realizada;;;;;;;;;x
EVTDESCancrel.0100;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the grove. When [From.GetSheHe] sees the druid circling around [From.GetHerHim] balancing a knife in hist hand righ, [From.GetSheHe] pushes the nearest guard aside and makes a desperate run for it, but to no avail. Your men drag [From.GetHerHim] kicking and screaming back to the middle of the grove.;On sort [From.GetTitledFirstName] des oubliettes pour l'emmener au temple. Lorsqu'[From.GetSheHe] voit la corde qu'on allait lui placer autour du cou, [From.GetSheHe] pousse le garde le plus proche et tente de s'échapper en courant, mais en vain. C'est en se débattant et en criant qu'[From.GetSheHe] est ramené(e) au temple.;[From.GetTitledFirstName] wird aus Eurem Verlies zum Tempel eskortiert. Als [From.GetSheHe] die Schlinge baumeln sieht, die schon bald um [From.GetHerHis] Hals gelegt werden soll, stößt [From.GetSheHe] die Wache neben sich zur Seite und versucht verzweifelt, erfolglos zu flüchten. Eure Männer zerren [From.GetHerHim] um sich tretend und schreiend zurück zum Tempel.;;Traen a [From.GetTitledFirstName] de tus mazmorras y lo escoltan al templo. Cuando [From.GetSheHe] ve la soga que cuelga a punto de ser colocada alrededor de [From.GetHerHis] cuello, [From.GetSheHe] empuja al guardia más cercano y corre desesperadamente, pero en vano. Tus hombres arrastran a [From.GetHerHim] de vuelta al templo pataleando y gritando.;;;;;;;;;x
EVTDESCancrel.0101;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the grove. Even as the druid approaches [From.GetHerHim], [From.GetFirstName] stares vacantly ahead without betraying any emotion whatsoever. It would seem [From.GetSheHe] has accepted [From.GetHerHis] fate.;On sort [From.GetTitledFirstName] des oubliettes pour l'emmener au temple. Même avec la corde au cou, [From.GetFirstName] reste de marbre, les yeux dans le vide, ne trahissant aucune émotion. Il semble qu'[From.GetSheHe] ait accepté son destin.;[From.GetTitledFirstName] wird aus Eurem Verlies zum Tempel eskortiert. Selbst als die Schlinge um [From.GetHerHis] Hals gelegt wird, starrt [From.GetFirstName] emotionslos in die Ferne. Wie es scheint, hat [From.GetSheHe] [From.GetHerHis] Schicksal akzeptiert.;;Traen a [From.GetTitledFirstName] de tus mazmorras y lo escoltan al templo. Incluso cuando colocan la soga alrededor de [From.GetHerHis] cuello, [From.GetFirstName] mira distraídamente sin mostrar ninguna emoción en absoluto. Parecería que [From.GetSheHe] ha aceptado [From.GetHerHis] destino.;;;;;;;;;x
