province;red;green;blue;x;x
2398;128;165;99;;x
2399;170;168;227;;x
2400;2;171;0;;x
2401;44;174;128;;x
2402;86;177;1;;x
2403;128;180;129;;x
2404;170;183;2;;x
2405;2;186;130;;x
2406;44;189;3;;x
2407;86;192;131;;x
2408;128;195;4;;x
2409;170;198;132;;x
2410;2;201;5;;x
2411;44;204;133;;x
2412;86;207;6;;x
2413;128;210;134;;x
2414;170;0;7;;x
2415;2;3;135;;x
2416;44;6;8;;x
2417;86;9;136;;x
2418;128;12;9;;x
2419;170;15;137;;x
2420;2;18;10;;x
2421;44;21;138;;x
2422;86;24;11;;x
2423;128;27;139;;x
2424;170;30;12;;x
2425;2;33;140;;x
2426;44;36;13;;x
2427;86;39;141;;x
2428;128;42;14;;x
2429;170;45;142;;x
2430;2;48;15;;x
2431;44;51;143;;x
2432;86;54;16;;x
2433;128;57;144;;x
2434;170;60;17;;x
2435;2;63;145;;x
2436;44;66;18;;x
2437;86;69;146;;x
2438;128;72;19;;x
2439;170;75;147;;x
2440;2;78;20;;x
2441;44;81;148;;x
2442;86;84;21;;x
2443;128;87;149;;x
2444;170;90;22;;x
2445;2;93;150;;x
2446;44;96;23;;x
2447;86;99;151;;x
2448;128;102;24;;x
2449;170;105;152;;x
2450;2;108;25;;x
2451;44;111;153;;x
2452;86;114;26;;x
2453;128;117;154;;x
2454;170;120;27;;x
2455;2;123;155;;x
2456;44;126;28;;x
2457;86;129;156;;x
2458;128;132;29;;x
2459;170;135;157;;x
2460;2;138;30;;x
2461;44;141;158;;x
2462;86;144;31;;x
2463;128;147;159;;x
2464;170;150;32;;x
2465;2;153;160;;x
2466;44;156;33;;x
2467;86;159;161;;x
2468;128;162;34;;x
2469;170;165;162;;x
2470;2;168;35;;x
2471;44;171;163;;x
2472;86;174;36;;x
2473;128;177;164;;x
2474;170;180;37;;x
2475;2;183;165;;x
2476;44;186;38;;x
2477;86;189;166;;x
2478;128;192;39;;x
2479;170;195;167;;x
2480;2;198;40;;x
2481;44;201;168;;x
2482;86;204;41;;x
2483;128;207;169;;x
2484;170;210;42;;x
2485;2;0;170;;x
2486;44;3;43;;x
2487;86;6;171;;x
2488;128;9;44;;x
2489;170;12;172;;x
2490;2;15;45;;x
2491;44;18;173;;x
2492;86;21;46;;x
2493;128;24;174;;x
2494;170;27;47;;x
2495;2;30;175;;x
2496;44;33;48;;x
2497;86;36;176;;x
2498;128;39;49;;x
2499;170;42;177;;x
2500;2;45;50;;x
2501;44;48;178;;x
2502;86;51;51;;x
2503;128;54;179;;x
2504;170;57;52;;x
2505;2;60;180;;x
2506;44;63;53;;x
2507;86;66;181;;x
2508;128;69;54;;x
2509;170;72;182;;x
2510;2;75;55;;x
2511;44;78;183;;x
2512;86;81;56;;x
2513;128;84;184;;x
2514;170;87;57;;x
2515;2;90;185;;x
2516;44;93;58;;x
2517;86;96;186;;x
2518;128;99;59;;x
2519;170;102;187;;x
2520;2;105;60;;x
2521;44;108;188;;x
2522;86;111;61;;x
2523;128;114;189;;x
2524;170;117;62;;x
2525;2;120;190;;x
2526;44;123;63;;x
2527;86;126;191;;x
2528;128;129;64;;x
2529;170;132;192;;x
2530;2;135;65;;x
2531;44;138;193;;x
2532;86;141;66;;x
2533;128;144;194;;x
2534;170;147;67;;x
2535;2;150;195;;x
2536;44;153;68;;x
2537;86;156;196;;x
2538;128;159;69;;x
2539;170;162;197;;x
2540;2;165;70;;x
2541;44;168;198;;x
2542;86;171;71;;x
2543;128;174;199;;x
2544;170;177;72;;x
2545;2;180;200;;x
2546;44;183;73;;x
2547;86;186;201;;x
2548;128;189;74;;x
2549;170;192;202;;x
2550;2;195;75;;x
2551;44;198;203;;x
2552;86;201;76;;x
2553;128;204;204;;x
2554;170;207;77;;x
2555;2;210;205;;x
2556;44;0;78;;x
2557;86;3;206;;x
2558;128;6;79;;x
2559;170;9;207;;x
2560;2;12;80;;x
2561;44;15;208;;x
2562;86;18;81;;x
2563;128;21;209;;x
2564;170;24;82;;x
2565;2;27;210;;x
2566;44;30;83;;x
2567;86;33;211;;x
2568;128;36;84;;x
2569;170;39;212;;x
2570;2;42;85;;x
2571;44;45;213;;x
2572;86;48;86;;x
2573;128;51;214;;x
2574;170;54;87;;x
2575;2;57;215;;x
2576;44;60;88;;x
2577;86;63;216;;x
2578;128;66;89;;x
2579;170;69;217;;x
2580;2;72;90;;x
2581;44;75;218;;x
2582;86;78;91;;x
2583;128;81;219;;x
2584;170;84;92;;x
2585;2;87;220;;x
2586;44;90;93;;x
2587;86;93;221;;x
2588;128;96;94;;x
2589;170;99;222;;x
2590;2;102;95;;x
2591;44;105;223;;x
2592;86;108;96;;x
2593;128;111;224;;x
2594;170;114;97;;x
2595;2;117;225;;x
2596;44;120;98;;x
2597;86;123;226;;x
2598;128;126;99;;x
2599;170;129;227;;x
2600;2;132;0;;x
2601;44;135;128;;x
2602;86;138;1;;x
2603;128;141;129;;x
2604;170;144;2;;x
2605;2;147;130;;x
2606;44;150;3;;x
2607;86;153;131;;x
2608;128;156;4;;x
2609;170;159;132;;x
2610;2;162;5;;x
2611;44;165;133;;x
2612;86;168;6;;x
2613;128;171;134;;x
2614;170;174;7;;x
2615;2;177;135;;x
2616;44;180;8;;x
2617;86;183;136;;x
2618;128;186;9;;x
2619;170;189;137;;x
2620;2;192;10;;x
2621;44;195;138;;x
2622;86;198;11;;x
2623;128;201;139;;x
2624;170;204;12;;x
2625;2;207;140;;x
2626;44;210;13;;x
2627;86;0;141;;x
2628;128;3;14;;x
2629;170;6;142;;x
2630;2;9;15;;x
2631;44;12;143;;x
2632;86;15;16;;x
2633;128;18;144;;x
2634;170;21;17;;x
2635;2;24;145;;x
2636;44;27;18;;x
2637;86;30;146;;x
2638;128;33;19;;x
2639;170;36;147;;x
2640;2;39;20;;x
2641;44;42;148;;x
2642;86;45;21;;x
2643;128;48;149;;x
2644;170;51;22;;x
2645;2;54;150;;x
2646;44;57;23;;x
2647;86;60;151;;x
2648;128;63;24;;x
2649;170;66;152;;x
2650;2;69;25;;x
2651;44;72;153;;x
2652;86;75;26;;x
2653;128;78;154;;x
2654;170;81;27;;x
2655;2;84;155;;x
2656;44;87;28;;x
2657;86;90;156;;x
2658;128;93;29;;x
2659;170;96;157;;x
2660;2;99;30;;x
2661;44;102;158;;x
2662;86;105;31;;x
2663;128;108;159;;x
2664;170;111;32;;x
2665;2;114;160;;x
2666;44;117;33;;x
2667;86;120;161;;x
2668;128;123;34;;x
2669;170;126;162;;x
2670;2;129;35;;x
2671;44;132;163;;x
2672;86;135;36;;x
2673;128;138;164;;x
2674;170;141;37;;x
2675;2;144;165;;x
2676;44;147;38;;x
2677;86;150;166;;x
2678;128;153;39;;x
2679;170;156;167;;x
2680;2;159;40;;x
2681;44;162;168;;x
2682;86;165;41;;x
2683;128;168;169;;x
2684;170;171;42;;x
2685;2;174;170;;x
2686;44;177;43;;x
2687;86;180;171;;x
2688;128;183;44;;x
2689;170;186;172;;x
2690;2;189;45;;x
2691;44;192;173;;x
2692;86;195;46;;x
2693;128;198;174;;x
2694;170;201;47;;x
2695;2;204;175;;x
2696;44;207;48;;x
2697;86;210;176;;x
2698;128;0;49;;x
2699;170;3;177;;x
2700;2;6;50;;x
2701;44;9;178;;x
2702;86;12;51;;x
2703;128;15;179;;x
2704;170;18;52;;x
2705;2;21;180;;x
2706;44;24;53;;x
2707;86;27;181;;x
2708;128;30;54;;x
2709;170;33;182;;x
2710;2;36;55;;x
2711;44;39;183;;x
2712;86;42;56;;x
2713;128;45;184;;x
2714;170;48;57;;x
2715;2;51;185;;x
2716;44;54;58;;x
2717;86;57;186;;x
2718;128;60;59;;x
2719;170;63;187;;x
2720;2;66;60;;x
2721;44;69;188;;x
2722;86;72;61;;x
2723;128;75;189;;x
2724;170;78;62;;x
2725;2;81;190;;x
2726;44;84;63;;x
2727;86;87;191;;x
2728;128;90;64;;x
2729;170;93;192;;x
2730;2;96;65;;x
2731;44;99;193;;x
2732;86;102;66;;x
2733;128;105;194;;x
2734;170;108;67;;x
2735;2;111;195;;x
2736;44;114;68;;x
2737;86;117;196;;x
2738;128;120;69;;x
2739;170;123;197;;x
2740;2;126;70;;x
2741;44;129;198;;x
2742;86;132;71;;x
2743;128;135;199;;x
2744;170;138;72;;x
2745;2;141;200;;x
2746;44;144;73;;x
2747;86;147;201;;x
2748;128;150;74;;x
2749;170;153;202;;x
2750;2;156;75;;x
2751;44;159;203;;x
2752;86;162;76;;x
2753;128;165;204;;x
2754;170;168;77;;x
2755;2;171;205;;x
2756;44;174;78;;x
2757;86;177;206;;x
2758;128;180;79;;x
2759;170;183;207;;x
2760;2;186;80;;x
2761;44;189;208;;x
2762;86;192;81;;x
2763;128;195;209;;x
2764;170;198;82;;x
2765;2;201;210;;x
2766;44;204;83;;x
2767;86;207;211;;x
2768;128;210;84;;x
2769;170;0;212;;x
2770;2;3;85;;x
2771;44;6;213;;x
2772;86;9;86;;x
2773;128;12;214;;x
2774;170;15;87;;x
2775;2;18;215;;x
2776;44;21;88;;x
2777;86;24;216;;x
2778;128;27;89;;x
2779;170;30;217;;x
2780;2;33;90;;x
2781;44;36;218;;x
2782;86;39;91;;x
2783;128;42;219;;x
2784;170;45;92;;x
2785;2;48;220;;x
2786;44;51;93;;x
2787;86;54;221;;x
2788;128;57;94;;x
2789;170;60;222;;x
2790;2;63;95;;x
2791;44;66;223;;x
2792;86;69;96;;x
2793;128;72;224;;x
2794;170;75;97;;x
2795;2;78;225;;x
2796;44;81;98;;x
2797;86;84;226;;x
2798;128;87;99;;x
2799;170;90;227;;x
2800;2;93;0;;x
2801;44;96;128;;x
2802;86;99;1;;x
2803;128;102;129;;x
2804;170;105;2;;x
2805;2;108;130;;x
2806;44;111;3;;x
2807;86;114;131;;x
2808;128;117;4;;x
2809;170;120;132;;x
2810;2;123;5;;x
2811;44;126;133;;x
2812;86;129;6;;x
2813;128;132;134;;x
2814;170;135;7;;x
2815;2;138;135;;x
2816;44;141;8;;x
2817;86;144;136;;x
2818;128;147;9;;x
2819;170;150;137;;x
2820;2;153;10;;x
2821;44;156;138;;x
2822;86;159;11;;x
2823;128;162;139;;x
2824;170;165;12;;x
2825;2;168;140;;x
2826;44;171;13;;x
2827;86;174;141;;x
2828;128;177;14;;x
2829;170;180;142;;x
2830;2;183;15;;x
2831;44;186;143;;x
2832;86;189;16;;x
2833;128;192;144;;x
2834;170;195;17;;x
2835;2;198;145;;x
2836;44;201;18;;x
2837;86;204;146;;x
2838;128;207;19;;x
2839;170;210;147;;x
2840;2;0;20;;x
2841;44;3;148;;x
2842;86;6;21;;x
2843;128;9;149;;x
2844;170;12;22;;x
2845;2;15;150;;x
2846;44;18;23;;x
2847;86;21;151;;x
2848;128;24;24;;x
2849;170;27;152;;x
2850;2;30;25;;x
2851;44;33;153;;x
2852;86;36;26;;x
2853;128;39;154;;x
2854;170;42;27;;x
2855;2;45;155;;x
2856;44;48;28;;x
2857;86;51;156;;x
2858;128;54;29;;x
2859;170;57;157;;x
2860;2;60;30;;x
2861;44;63;158;;x
2862;86;66;31;;x
2863;128;69;159;;x
2864;170;72;32;;x
2865;2;75;160;;x
2866;44;78;33;;x
2867;86;81;161;;x
2868;128;84;34;;x
2869;170;87;162;;x
2870;2;90;35;;x
2871;44;93;163;;x
2872;86;96;36;;x
2873;128;99;164;;x
2874;170;102;37;;x
2875;2;105;165;;x
2876;44;108;38;;x
2877;86;111;166;;x
2878;128;114;39;;x
2879;170;117;167;;x
2880;2;120;40;;x
2881;44;123;168;;x
2882;86;126;41;;x
2883;128;129;169;;x
2884;170;132;42;;x
2885;2;135;170;;x
2886;44;138;43;;x
2887;86;141;171;;x
2888;128;144;44;;x
2889;170;147;172;;x
2890;2;150;45;;x
2891;44;153;173;;x
2892;86;156;46;;x
2893;128;159;174;;x
2894;170;162;47;;x
2895;2;165;175;;x
2896;44;168;48;;x
2897;86;171;176;;x
2898;128;174;49;;x
2899;170;177;177;;x
2900;2;180;50;;x
2901;44;183;178;;x
2902;86;186;51;;x
2903;128;189;179;;x
2904;170;192;52;;x
2905;2;195;180;;x
2906;44;198;53;;x
2907;86;201;181;;x
2908;128;204;54;;x
2909;170;207;182;;x
2910;2;210;55;;x
2911;44;0;183;;x
2912;86;3;56;;x
2913;128;6;184;;x
2914;170;9;57;;x
2915;2;12;185;;x
2916;44;15;58;;x
2917;86;18;186;;x
2918;128;21;59;;x
2919;170;24;187;;x
2920;2;27;60;;x
2921;44;30;188;;x
2922;86;33;61;;x
2923;128;36;189;;x
2924;170;39;62;;x
2925;2;42;190;;x
2926;44;45;63;;x
2927;86;48;191;;x
2928;128;51;64;;x
2929;170;54;192;;x
2930;2;57;65;;x
2931;44;60;193;;x
2932;86;63;66;;x
2933;128;66;194;;x
2934;170;69;67;;x
2935;2;72;195;;x
2936;44;75;68;;x
2937;86;78;196;;x
2938;128;81;69;;x
2939;170;84;197;;x
2940;2;87;70;;x
2941;44;90;198;;x
2942;86;93;71;;x
2943;128;96;199;;x
2944;170;99;72;;x
2945;2;102;200;;x
2946;44;105;73;;x
2947;86;108;201;;x
2948;128;111;74;;x
2949;170;114;202;;x
2950;2;117;75;;x
2951;44;120;203;;x
2952;86;123;76;;x
2953;128;126;204;;x
2954;170;129;77;;x
2955;2;132;205;;x
2956;44;135;78;;x
2957;86;138;206;;x
2958;128;141;79;;x
2959;170;144;207;;x
2960;2;147;80;;x
2961;44;150;208;;x
2962;86;153;81;;x
2963;128;156;209;;x
2964;170;159;82;;x
2965;2;162;210;;x
2966;44;165;83;;x
2967;86;168;211;;x
2968;128;171;84;;x
2969;170;174;212;;x
2970;2;177;85;;x
2971;44;180;213;;x
2972;86;183;86;;x
2973;128;186;214;;x
2974;170;189;87;;x
2975;2;192;215;;x
2976;44;195;88;;x
2977;86;198;216;;x
2978;128;201;89;;x
2979;170;204;217;;x
2980;2;207;90;;x
2981;44;210;218;;x
2982;86;0;91;;x
2983;128;3;219;;x
2984;170;6;92;;x
2985;2;9;220;;x
2986;44;12;93;;x
2987;86;15;221;;x
2988;128;18;94;;x
2989;170;21;222;;x
2990;2;24;95;;x
2991;44;27;223;;x
2992;86;30;96;;x
2993;128;33;224;;x
2994;170;36;97;;x
2995;2;39;225;;x
2996;44;42;98;;x
2997;86;45;226;;x
2998;128;48;99;;x
2999;170;51;227;;x
3000;3;54;0;;x
3001;45;57;128;;x
3002;87;60;1;;x
3003;129;63;129;;x
3004;171;66;2;;x
3005;3;69;130;;x
3006;45;72;3;;x
3007;87;75;131;;x
3008;129;78;4;;x
3009;171;81;132;;x
3010;3;84;5;;x
3011;45;87;133;;x
3012;87;90;6;;x
3013;129;93;134;;x
3014;171;96;7;;x
3015;3;99;135;;x
3016;45;102;8;;x
3017;87;105;136;;x
3018;129;108;9;;x
3019;171;111;137;;x
3020;3;114;10;;x
3021;45;117;138;;x
3022;87;120;11;;x
3023;129;123;139;;x
3024;171;126;12;;x
3025;3;129;140;;x
3026;45;132;13;;x
3027;87;135;141;;x
3028;129;138;14;;x
3029;171;141;142;;x
3030;3;144;15;;x
3031;45;147;143;;x
3032;87;150;16;;x
3033;129;153;144;;x
3034;171;156;17;;x
3035;3;159;145;;x
3036;45;162;18;;x
3037;87;165;146;;x
3038;129;168;19;;x
3039;171;171;147;;x
3040;3;174;20;;x
3041;45;177;148;;x
3042;87;180;21;;x
3043;129;183;149;;x
3044;171;186;22;;x
3045;3;189;150;;x
3046;45;192;23;;x
3047;87;195;151;;x
3048;129;198;24;;x
3049;171;201;152;;x
3050;3;204;25;;x
3051;45;207;153;;x
3052;87;210;26;;x
3053;129;0;154;;x
3054;171;3;27;;x
3055;3;6;155;;x
3056;45;9;28;;x
3057;87;12;156;;x
3058;129;15;29;;x
3059;171;18;157;;x
3060;3;21;30;;x
3061;45;24;158;;x
3062;87;27;31;;x
3063;129;30;159;;x
3064;171;33;32;;x
3065;3;36;160;;x
3066;45;39;33;;x
3067;87;42;161;;x
3068;129;45;34;;x
3069;171;48;162;;x
3070;3;51;35;;x
3071;45;54;163;;x
3072;87;57;36;;x
3073;129;60;164;;x
3074;171;63;37;;x
3075;3;66;165;;x
3076;45;69;38;;x
3077;87;72;166;;x
3078;129;75;39;;x
3079;171;78;167;;x
3080;3;81;40;;x
3081;45;84;168;;x
3082;87;87;41;;x
3083;129;90;169;;x
3084;171;93;42;;x
3085;3;96;170;;x
3086;45;99;43;;x
3087;87;102;171;;x
3088;129;105;44;;x
3089;171;108;172;;x
3090;3;111;45;;x
3091;45;114;173;;x
3092;87;117;46;;x
3093;129;120;174;;x
3094;171;123;47;;x
3095;3;126;175;;x
3096;45;129;48;;x
3097;87;132;176;;x
3098;129;135;49;;x
3099;171;138;177;;x
3100;3;141;50;;x
3101;45;144;178;;x
3102;87;147;51;;x
3103;129;150;179;;x
3104;171;153;52;;x
3105;3;156;180;;x
3106;45;159;53;;x
3107;87;162;181;;x
3108;129;165;54;;x
3109;171;168;182;;x
3110;3;171;55;;x
3111;45;174;183;;x
3112;87;177;56;;x
3113;129;180;184;;x
3114;171;183;57;;x
3115;3;186;185;;x
3116;45;189;58;;x
3117;87;192;186;;x
3118;129;195;59;;x
3119;171;198;187;;x
3120;3;201;60;;x
3121;45;204;188;;x
3122;87;207;61;;x
3123;129;210;189;;x
3124;171;0;62;;x
3125;3;3;190;;x
3126;45;6;63;;x
3127;87;9;191;;x
3128;129;12;64;;x
3129;171;15;192;;x
3130;3;18;65;;x
3131;45;21;193;;x
3132;87;24;66;;x
3133;129;27;194;;x
3134;171;30;67;;x
3135;3;33;195;;x
3136;45;36;68;;x
3137;87;39;196;;x
3138;129;42;69;;x
3139;171;45;197;;x
3140;3;48;70;;x
3141;45;51;198;;x
3142;87;54;71;;x
3143;129;57;199;;x
3144;171;60;72;;x
3145;3;63;200;;x
3146;45;66;73;;x
3147;87;69;201;;x
3148;129;72;74;;x
3149;171;75;202;;x
3150;3;78;75;;x
3151;45;81;203;;x
3152;87;84;76;;x
3153;129;87;204;;x
3154;171;90;77;;x
3155;3;93;205;;x
3156;45;96;78;;x
3157;87;99;206;;x
3158;129;102;79;;x
3159;171;105;207;;x
3160;3;108;80;;x
3161;45;111;208;;x
3162;87;114;81;;x
3163;129;117;209;;x
3164;171;120;82;;x
3165;3;123;210;;x
3166;45;126;83;;x
3167;87;129;211;;x
3168;129;132;84;;x
3169;171;135;212;;x
3170;3;138;85;;x
3171;45;141;213;;x
3172;87;144;86;;x
3173;129;147;214;;x
3174;171;150;87;;x
3175;3;153;215;;x
3176;45;156;88;;x
3177;87;159;216;;x
3178;129;162;89;;x
3179;171;165;217;;x
3180;3;168;90;;x
3181;45;171;218;;x
3182;87;174;91;;x
3183;129;177;219;;x
3184;171;180;92;;x
3185;3;183;220;;x
3186;45;186;93;;x
3187;87;189;221;;x
3188;129;192;94;;x
3189;171;195;222;;x
3190;3;198;95;;x
3191;45;201;223;;x
3192;87;204;96;;x
3193;129;207;224;;x
3194;171;210;97;;x
3195;3;0;225;;x
3196;45;3;98;;x
3197;87;6;226;;x
3198;129;9;99;;x
3199;171;12;227;;x
3200;3;15;0;;x
3201;45;18;128;;x
3202;87;21;1;;x
3203;129;24;129;;x
3204;171;27;2;;x
3205;3;30;130;;x
3206;45;33;3;;x
3207;87;36;131;;x
3208;129;39;4;;x
3209;171;42;132;;x
3210;3;45;5;;x
3211;45;48;133;;x
3212;87;51;6;;x
3213;129;54;134;;x
3214;171;57;7;;x
3215;3;60;135;;x
3216;45;63;8;;x
3217;87;66;136;;x
3218;129;69;9;;x
3219;171;72;137;;x
3220;3;75;10;;x
3221;45;78;138;;x
3222;87;81;11;;x
3223;129;84;139;;x
3224;171;87;12;;x
3225;3;90;140;;x
3226;45;93;13;;x
3227;87;96;141;;x
3228;129;99;14;;x
3229;171;102;142;;x
3230;3;105;15;;x
3231;45;108;143;;x
3232;87;111;16;;x
3233;129;114;144;;x
3234;171;117;17;;x
3235;3;120;145;;x
3236;45;123;18;;x
3237;87;126;146;;x
3238;129;129;19;;x
3239;171;132;147;;x
3240;3;135;20;;x
3241;45;138;148;;x
3242;87;141;21;;x
3243;129;144;149;;x
3244;171;147;22;;x
3245;3;150;150;;x
3246;45;153;23;;x
3247;87;156;151;;x
3248;129;159;24;;x
3249;171;162;152;;x
3250;3;165;25;;x
3251;45;168;153;;x
3252;87;171;26;;x
3253;129;174;154;;x
3254;171;177;27;;x
3255;3;180;155;;x
3256;45;183;28;;x
3257;87;186;156;;x
3258;129;189;29;;x
3259;171;192;157;;x
3260;3;195;30;;x
3261;45;198;158;;x
3262;87;201;31;;x
3263;129;204;159;;x
3264;171;207;32;;x
3265;3;210;160;;x
3266;45;0;33;;x
3267;87;3;161;;x
3268;129;6;34;;x
3269;171;9;162;;x
3270;3;12;35;;x
3271;45;15;163;;x
3272;87;18;36;;x
3273;129;21;164;;x
3274;171;24;37;;x
3275;3;27;165;;x
3276;45;30;38;;x
3277;87;33;166;;x
3278;129;36;39;;x
3279;171;39;167;;x
3280;3;42;40;;x
3281;45;45;168;;x
3282;87;48;41;;x
3283;129;51;169;;x
3284;171;54;42;;x
3285;3;57;170;;x
3286;45;60;43;;x
3287;87;63;171;;x
3288;129;66;44;;x
3289;171;69;172;;x
3290;3;72;45;;x
3291;45;75;173;;x
3292;87;78;46;;x
3293;129;81;174;;x
3294;171;84;47;;x
3295;3;87;175;;x
3296;45;90;48;;x
3297;87;93;176;;x
3298;129;96;49;;x
3299;171;99;177;;x
3300;3;102;50;;x
3301;45;105;178;;x
3302;87;108;51;;x
3303;129;111;179;;x
3304;171;114;52;;x
3305;3;117;180;;x
3306;45;120;53;;x
3307;87;123;181;;x
3308;129;126;54;;x
3309;171;129;182;;x
3310;3;132;55;;x
3311;45;135;183;;x
3312;87;138;56;;x
3313;129;141;184;;x
3314;171;144;57;;x
3315;3;147;185;;x
3316;45;150;58;;x
3317;87;153;186;;x
3318;129;156;59;;x
3319;171;159;187;;x
3320;3;162;60;;x
3321;45;165;188;;x
3322;87;168;61;;x
3323;129;171;189;;x
3324;171;174;62;;x
3325;3;177;190;;x
3326;45;180;63;;x
3327;87;183;191;;x
3328;129;186;64;;x
3329;171;189;192;;x
3330;3;192;65;;x
3331;45;195;193;;x
3332;87;198;66;;x
3333;129;201;194;;x
3334;171;204;67;;x
3335;3;207;195;;x
3336;45;210;68;;x
3337;87;0;196;;x
3338;129;3;69;;x
3339;171;6;197;;x
3340;3;9;70;;x
3341;45;12;198;;x
3342;87;15;71;;x
3343;129;18;199;;x
3344;171;21;72;;x
3345;3;24;200;;x
3346;45;27;73;;x
3347;87;30;201;;x
3348;129;33;74;;x
3349;171;36;202;;x
3350;3;39;75;;x
3351;45;42;203;;x
3352;87;45;76;;x
3353;129;48;204;;x
3354;171;51;77;;x
3355;3;54;205;;x
3356;45;57;78;;x
3357;87;60;206;;x
3358;129;63;79;;x
3359;171;66;207;;x
3360;3;69;80;;x
3361;45;72;208;;x
3362;87;75;81;;x
3363;129;78;209;;x
3364;171;81;82;;x
3365;3;84;210;;x
3366;45;87;83;;x
3367;87;90;211;;x
3368;129;93;84;;x
3369;171;96;212;;x
3370;3;99;85;;x
3371;45;102;213;;x
3372;87;105;86;;x
3373;129;108;214;;x
3374;171;111;87;;x
3375;3;114;215;;x
3376;45;117;88;;x
3377;87;120;216;;x
3378;129;123;89;;x
3379;171;126;217;;x
3380;3;129;90;;x
3381;45;132;218;;x
3382;87;135;91;;x
3383;129;138;219;;x
3384;171;141;92;;x
3385;3;144;220;;x
3386;45;147;93;;x
3387;87;150;221;;x
3388;129;153;94;;x
3389;171;156;222;;x
3390;3;159;95;;x
3391;45;162;223;;x
3392;87;165;96;;x
3393;129;168;224;;x
3394;171;171;97;;x
3395;3;174;225;;x
3396;45;177;98;;x
3397;87;180;226;;x
3398;129;183;99;;x
3399;171;186;227;;x
3400;3;189;0;;x
3401;45;192;128;;x
3402;87;195;1;;x
3403;129;198;129;;x
3404;171;201;2;;x
3405;3;204;130;;x
3406;45;207;3;;x
3407;87;210;131;;x
3408;129;0;4;;x
3409;171;3;132;;x
3410;3;6;5;;x
3411;45;9;133;;x
3412;87;12;6;;x
3413;129;15;134;;x
3414;171;18;7;;x
3415;3;21;135;;x
3416;45;24;8;;x
3417;87;27;136;;x
3418;129;30;9;;x
3419;171;33;137;;x
3420;3;36;10;;x
3421;45;39;138;;x
3422;87;42;11;;x
3423;129;45;139;;x
3424;171;48;12;;x
3425;3;51;140;;x
3426;45;54;13;;x
3427;87;57;141;;x
3428;129;60;14;;x
3429;171;63;142;;x
3430;3;66;15;;x
3431;45;69;143;;x
3432;87;72;16;;x
3433;129;75;144;;x
3434;171;78;17;;x
3435;3;81;145;;x
3436;45;84;18;;x
3437;87;87;146;;x
3438;129;90;19;;x
3439;171;93;147;;x
3440;3;96;20;;x
3441;45;99;148;;x
3442;87;102;21;;x
3443;129;105;149;;x
3444;171;108;22;;x
3445;3;111;150;;x
3446;45;114;23;;x
3447;87;117;151;;x
3448;129;120;24;;x
3449;171;123;152;;x
3450;3;126;25;;x
3451;45;129;153;;x
3452;87;132;26;;x
3453;129;135;154;;x
3454;171;138;27;;x
3455;3;141;155;;x
3456;45;144;28;;x
3457;87;147;156;;x
3458;129;150;29;;x
3459;171;153;157;;x
3460;3;156;30;;x
3461;45;159;158;;x
3462;87;162;31;;x
3463;129;165;159;;x
3464;171;168;32;;x
3465;3;171;160;;x
3466;45;174;33;;x
3467;87;177;161;;x
3468;129;180;34;;x
3469;171;183;162;;x
3470;3;186;35;;x
3471;45;189;163;;x
3472;87;192;36;;x
3473;129;195;164;;x
3474;171;198;37;;x
3475;3;201;165;;x
3476;45;204;38;;x
3477;87;207;166;;x
3478;129;210;39;;x
3479;171;0;167;;x
3480;3;3;40;;x
3481;45;6;168;;x
3482;87;9;41;;x
3483;129;12;169;;x
3484;171;15;42;;x
3485;3;18;170;;x
3486;45;21;43;;x
3487;87;24;171;;x
3488;129;27;44;;x
3489;171;30;172;;x
3490;3;33;45;;x
3491;45;36;173;;x
3492;87;39;46;;x
3493;129;42;174;;x
3494;171;45;47;;x
3495;3;48;175;;x
3496;45;51;48;;x
3497;87;54;176;;x
3498;129;57;49;;x
3499;171;60;177;;x
3500;3;63;50;;x
3501;45;66;178;;x
3502;87;69;51;;x
3503;129;72;179;;x
3504;171;75;52;;x
3505;3;78;180;;x
3506;45;81;53;;x
3507;87;84;181;;x
3508;129;87;54;;x
3509;171;90;182;;x
3510;3;93;55;;x
3511;45;96;183;;x
3512;87;99;56;;x
3513;129;102;184;;x
3514;171;105;57;;x
3515;3;108;185;;x
3516;45;111;58;;x
3517;87;114;186;;x
3518;129;117;59;;x
3519;171;120;187;;x
3520;3;123;60;;x
3521;45;126;188;;x
3522;87;129;61;;x
3523;129;132;189;;x
3524;171;135;62;;x
3525;3;138;190;;x
3526;45;141;63;;x
3527;87;144;191;;x
3528;129;147;64;;x
3529;171;150;192;;x
3530;3;153;65;;x
3531;45;156;193;;x
3532;87;159;66;;x
3533;129;162;194;;x
3534;171;165;67;;x
3535;3;168;195;;x
3536;45;171;68;;x
3537;87;174;196;;x
3538;129;177;69;;x
3539;171;180;197;;x
3540;3;183;70;;x
3541;45;186;198;;x
3542;87;189;71;;x
3543;129;192;199;;x
3544;171;195;72;;x
3545;3;198;200;;x
3546;45;201;73;;x
3547;87;204;201;;x
3548;129;207;74;;x
3549;171;210;202;;x
3550;3;0;75;;x
3551;45;3;203;;x
3552;87;6;76;;x
3553;129;9;204;;x
3554;171;12;77;;x
3555;3;15;205;;x
3556;45;18;78;;x
3557;87;21;206;;x
3558;129;24;79;;x
3559;171;27;207;;x
3560;3;30;80;;x
3561;45;33;208;;x
3562;87;36;81;;x
