#CELTIC FLAVOR STUFF;;;;;;;;;;;;;;x
#Modifiers;;;;;;;;;;;;;;x
VIET_celtic_holy_well_1;Holy Well;Fontaine à dévotion;;;;;;;;;;;;x
VIETceltic.100.desc;They say that any Breton who doesn't finish the Tro Breizh pilgrimage will suffer in the afterlife, having to complete it then. It is about time I did this pilgrimage! While it is not as prestigious nor rigorous as traveling to Jerusalem, for instance, it is an important part of our heritage.;On dit que tout Breton qui ne finit pas le pèlerinage de Tro Breizh souffrira dans l'au-delà, il faudra alors le compléter. Il est temps que j'effectue ce pèlerinage ! Bien qu'il ne soit pas aussi prestigieux ni rigoureux que de voyager à Jérusalem, par exemple, c'est une partie importante de notre patrimoine.;;;;;;;;;;;;x
VIETceltic.100.a;I will make the necessary preparations.;Je ferai les préparatifs nécessaires.;;;;;;;;;;;;x
VIETceltic.101.tooltip;A chance to renew myself spiritually, and see all the wonderful sights in our lovely land.;Une chance de me renouveler spirituellement, et de voir tous les sites merveilleux de notre charmante terre.;;;;;;;;;;;;x
VIETceltic.101.title;Touring Brittany;Voyage en Bretagne;;;;;;;;;;;;x
VIETceltic.101.desc;The day has come. It is time to begin the Tro Breizh pilgrimage! I will thus travel to the seven towns of the founding saints of Brittany and gain much piety in doing so.;Le jour est venu. Il est temps de commencer le pèlerinage du Tro Breizh ! Je vais donc voyager dans les sept villes des saints fondateurs de Bretagne et gagner beaucoup de piété pour le faire.;;;;;;;;;;;;x
VIETceltic.101.a;First is Quimper.;D'abord, Quimper.;;;;;;;;;;;;x
VIETceltic.102.tooltip;Let us visit the town of Saint Corentin!;Visitez la ville de Saint Corentin !;;;;;;;;;;;;x
VIETceltic.102.title;Quimper;Quimper;;;;;;;;;;;;x
VIETceltic.102.desc;The rustic town of Quimper isn't as elegant nor extravagant as I would've wished, but it certainly has a certain charm. The conservative folk here are very spiritual, and the religious atmosphere is a good start to my pilgrimage.\n\nI make way to the church of Saint Corentin to pray and reflect. He was the first bishop of this town, and it is said that he had a miraculous fish whose parts would regrow, thus allowing him to sustain himself for as long as he needed.;La ville rustique de Quimper n'est pas aussi élégante ni extravagante que j'aurais souhaité, mais elle a certainement un certain charme. Les gens conservateurs ici sont très spirituels, et l'atmosphère religieuse est un bon début de mon pèlerinage.\n\nJe pars pour la place à l'église de Saint Corentin pour prier et réfléchir. Il était le premier évêque de cette ville, et on dit qu'il avait un poisson miraculeux dont les parties repoussaient, ce qui lui permettait de se maintenir pendant aussi longtemps qu'il en avait besoin.;;;;;;;;;;;;x
VIETceltic.102.a;That makes me hungry!;Ça me donne faim !;;;;;;;;;;;;x
VIETceltic.103.tooltip;But first I must pray first before I leave Quimpur, for tomorrow I head for Saint-Pol-de-Léon.;Mais d'abord, je dois prier avant de quitter Quimper, car demain je me dirige vers Saint-Pol-de-Léon.;;;;;;;;;;;;x
VIETceltic.103.tooltip.3;But first I must pray first before I leave Quimpur, for tomorrow I head for Saint-Pol-de-Léon.;Mais d'abord, je dois prier avant de quitter Quimper, car demain je me dirige vers Saint-Pol-de-Léon.;;;;;;;;;;;;x
VIETceltic.103.title;Saint-Pol-de-Léon;Saint-Pol-de-Léon;;;;;;;;;;;;x
VIETceltic.103.desc;Saint-Pol-de-Léon is a lovely seaside town blessed with picturesque beaches and the refreshing ocean air. There are an unusual amount of vegetables and fruits being so, which is unsurprising giving the stories surrounding Saint Paul Aurelian, the great saint of this town.\nIt is here where Saint Paul Aurelian established an important monastery. He had an interesting habit of refusing to eat meat, and is said to have lived to almost a century and a half.;Saint-Pol-de-Léon est une belle ville balnéaire bénie avec des plages pittoresques et l'air rafraîchissant de l'océan. Il y a une quantité inhabituelle de légumes et de fruits, ce qui n'est pas surprenant en écoutant les histoires entourant Saint Pol Aurélien, le grand saint de cette ville.\nC'est ici où Saint Pol Aurélien a établi un monastère important. Il avait une habitude intéressante de refuser de manger de la viande, et il aurait vécu jusqu'à presque un siècle et demi.;;;;;;;;;;;;x
VIETceltic.103.a;To live that long and be able to do so much!;Pour vivre aussi longtemps et être en mesure de le faire bien !;;;;;;;;;;;;x
VIETceltic.104.tooltip;Our next stop is Tréguier.;Notre prochain arrêt est Tréguier;;;;;;;;;;;;x
VIETceltic.104.title;Tréguier;Tréguier;;;;;;;;;;;;x
VIETceltic.104.desc;Tréguier is a seaside town like Saint-Pol-de-Léon but it is much busier. An important local port, it is often busy with commerce and trade. Perhaps not always the best fit for a more contemplative, religious experience, but who am I to say that?\n\nTréguier is the town of Saint Tudwal, a renowned hermit and monastic, who was later made bishop of this town.;Tréguier est une ville balnéaire comme Saint-Pol-de-Léon mais elle est beaucoup plus occupée. Un port local important, il est souvent occupé par le commerce et le commerce. Peut-être n'est-il pas toujours le meilleur pour une expérience religieuse plus contemplative, mais qui suis-je pour dire cela ?\n\nTréguier est la ville de Saint Tugdual, un ermite renommé et monastique, devenu évêque de cette ville.;;;;;;;;;;;;x
VIETceltic.104.a;I must show his patience, as I wade through the throngs of pilgrims.;Je dois montrer ma patience étant donné que j'avance péniblement à travers la foule des pèlerins.;;;;;;;;;;;;x
VIETceltic.105.tooltip;After this, we will go to Saint-Brieuc;Après cela, nous irons à Saint-Brieuc;;;;;;;;;;;;x
VIETceltic.105.title;Saint-Brieuc;Saint-Brieuc;;;;;;;;;;;;x
VIETceltic.105.desc;Now I am at Saint-Brieuc, yet another harbor town. I am a bit tired of the busy towns I've recently come, and thankfully Saint-Brieuc offers refuge in its natural bay, a large reserve of green scenery against the blue waters below. As the locals told me, I can even see and hear hundreds and thousands of birds here, flourishing in this holy site.\n\nHere is also the town of the great Saint Brioc, who founded the monastery that this town revolves around. I am lucky to be in the oratory he established, where it can lend myself to quiet prayer.;Maintenant, je suis à Saint-Brieuc, encore une ville portuaire. Je suis un peu fatigué des villes occupées que je viens récemment, et heureusement Saint-Brieuc offre refuge dans sa baie naturelle, une grande réserve de paysage verdoyant contre les eaux bleues. Comme les gens du coin me l'ont dit, je peux même voir et entendre des centaines et des milliers d'oiseaux ici, florissant dans ce site sacré.\n\nVoici aussi la ville du grand Saint Brieuc, qui a fondé le monastère que cette ville entour. Je suis chanceux d'être dans l'oratoire qu'il a établi, où je peux faire une prière tranquille.;;;;;;;;;;;;x
VIETceltic.105.a;A holy place indeed!;Un lieu saint en effet !;;;;;;;;;;;;x
VIETceltic.106.tooltip;My next destination is Saint-Malo.;Ma prochaine destination est Saint-Malo.;;;;;;;;;;;;x
VIETceltic.106.title;Saint-Malo;Saint-Malo;;;;;;;;;;;;x
VIETceltic.106.desc;I was a bit apprehensive about going to Saint-Malo at first. It is known as a rough neighborhood, where dwell pirates, rowdy seamen, and fearsome adventurers. But I realize this is only one part of the town - there are also normal people who live here, with good Christian virtue, despite (or maybe because of) their surroundings.\n\nSaint-Malo's patron, Saint Malo, perhaps fits this town to some extent. A disciple of Saint Brendan (so I am told), he was said to have traveled and adventured the high seas with his master, reaching a mysterious land called the Blessed Isles.;J'étais un peu inquiet d'aller à Saint-Malo au début. Il est connu que se trouve dans les parages des pirates, des marins chahuteurs et des aventuriers redoutables. Mais je me rends compte que ce n'est que ça ne fait qu'une partie de la ville - il y a aussi des gens normaux qui vivent ici, avec une bonne vertu chrétienne, malgré (ou peut-être à cause de) leur environnement.\n\nLe patron de Saint-Malo, Saint Maclou, a fondé cette ville dans une certaine mesure. C'était un disciple de saint Brendan (à ce qu'on dit), il aurait voyagé et aventuré la haute mer avec son maître, atteignant une terre mystérieuse appelée les îles bénies.;;;;;;;;;;;;x
VIETceltic.106.a;I wonder what heathens he converted on those isles?;Je me demande quels païens il a converti sur ces îles ?;;;;;;;;;;;;x
VIETceltic.107.tooltip;Once we are done here, onwards to Dol!;Une fois qu'on aura fini ici, en route pour Dol-de-Bretagne !;;;;;;;;;;;;x
VIETceltic.107.title;Dol;Dol-de-Bretagne;;;;;;;;;;;;x
VIETceltic.107.desc;Dol is a place filled with history. I heard it was here, for instance, that Saint Teilo was assigned by King Budric to slay a fearsome dragon that had terrorized the locals. How I wish I were there to see that battle! It must have been quite a spectacle, holy saint against evil dragon.\n\nIt was also here that Saint Teilo and Saint Dol planted the fruit groves that remain to this day. As I stroll under these trees, I cannot but help feel at ease in the midst of nature, God's creation.;Dol-de-Bretagne est un lieu rempli d'histoire. J'ai entendu dire que c'était ici, par exemple, que Saint-Samson était assigné par le roi Budric pour tuer un dragon redoutable qui avait terrorisé les habitants. Comme je souhaiterais être là pour voir cette bataille ! Quel spectacle ça a dû être, un saint contre un dragon maléfique.\n\nIl était également quand Saint Théleau et lui ont planté des fruitiers qui sont toujours là. En me promenant sous ces arbres, je ne peux m'empêcher de me sentir à l'aise au milieu de la nature, la création de Dieu.;;;;;;;;;;;;x
VIETceltic.107.a;Not to mention the fruit they bear is delicious.;Sans parler des fruits qu'ils portent, c'est délicieux.;;;;;;;;;;;;x
VIETceltic.108.tooltip;Our journey is almost over - one last stop, in Vannes.;Notre voyage est presque terminé : un dernier arrêt à Vannes.;;;;;;;;;;;;x
VIETceltic.108.title;Vannes;Vannes;;;;;;;;;;;;x
VIETceltic.108.desc;I am almost finished with the Tro Breizh, for I now arrive in Vannes, the seventh and last stop on this pilgrimage. It is, despite being a very ancient settlement - dating from before the Roman Emperors, the learned men tell me - very joyous and exciting. I found, for example, much amusement in the comically puffy, ugly granite statues the locals dub "Vannes and his Wife."\n\nBut this is a time for religion, not mirth. I reflect on the saint of Vannes, Saint Patern. He was, in fact, a contemporary of the mighty King Arthur, the great hero, who tamed the king's avarice and humbled the monarch.;J'ai presque terminé le Tro Breizh, car j'arrive maintenant à Vannes, la septième et dernière étape de ce pèlerinage. C'est, en dépit d'être un établissement très ancien - datant d'avant les empereurs romains, que les savants me racontent des histoires - très joyeusement et passionnément. Je trouvais, par exemple, beaucoup d'amusement dans les statues de granit comiques, moches appelé "Vannes et sa femme".\n\nMais c'est le moment pour la religion, plus à la joie. Je réfléchis sur le saint de Vannes, Saint Patern. Il était, en fait, un contemporain du puissant roi Arthur, le grand héros, qui domptait l'avarice du roi et humiliait le monarque.;;;;;;;;;;;;x
VIETceltic.108.a;I too, must practice the virtues. This is why I went on this pilgrimage after all.;Moi aussi, je dois être vertueux. C'est pourquoi je suis parti en pèlerinage après tout.;;;;;;;;;;;;x
VIETceltic.109.tooltip;My journey is almost over.;Mon voyage est sur le point de se terminer.;;;;;;;;;;;;x
VIETceltic.109.title;Completing the Tro Breizh;Achever le Tro Breizh;;;;;;;;;;;;x
VIETceltic.109.desc;My old residence looms on the horizon. I am home, having finished the Tro Breizh, a duty all Bretons must follow undoubtedly. I have reflected on much through this pilgrimage, and seen the spiritual wonders of our land, our religious heritage.;Ma vieille résidence se profile à l'horizon. Je suis à la maison, après avoir terminé le Tro Breizh, un devoir que tous les Bretons doivent suivre sans aucun doute. J'ai réfléchi beaucoup à travers ce pèlerinage, et j'ai vu les merveilles spirituelles de notre terre, notre héritage religieux.;;;;;;;;;;;;x
VIETceltic.109.a;May I remember what I've experienced for as long as live.;Puis-je me rappeler ce que j'ai vécu aussi longtemps que je puisse vivre.;;;;;;;;;;;;x
VIETceltic.150.desc;I long for a quaint, warm festivity, in contrast to the formal, extravagant ones I am used to. This year, I will ensure that our parish's Gwyl Mabsant is even better than the last!;Je désire une fête pittoresque et chaleureuse, contrairement aux formels, extravagants auxquels je suis habitué. Cette année, je vais assurer que Gwyl Mabsant de notre paroisse soit encore meilleur que le dernier !;;;;;;;;;;;;x
VIETceltic.150.a;We will start organizing with local leaders.;Nous allons commencer à organiser avec les chefs locaux.;;;;;;;;;;;;x
VIETceltic.151.tooltip;This is going to be fun!;Cela va être amusant !;;;;;;;;;;;;x
VIETceltic.151.desc;The Gwyl Mabsant has begun. Though everyone looks forward to the rowdy, fun activities, we must first attend church. Each locality celebrates Gwyl Mabsant to honor its patron saint, and today is no different. We are serene and reflective as the clergy sing special psalms, and teach us of faith and virtue.;Le Gwyl Mabsant a commencé. Bien que tout le monde s'attend à des activités fougueuses et amusantes, nous devons d'abord aller à l'église. Chaque localité célèbre Gwyl Mabsant pour honorer son saint patron et aujourd'hui n'est pas différent. Nous sommes sereins et réfléchis alors que le clergé chante des psaumes spéciaux et nous enseigne la foi et la vertu.;;;;;;;;;;;;x
VIETceltic.151.a;But after this, the fun begins!;Mais après ça, la fête peut commencer !;;;;;;;;;;;;x
VIETceltic.152.tooltip;There will be a lot of things to do.;Il y aura beaucoup de choses à faire.;;;;;;;;;;;;x
VIETceltic.152.desc;The fun has begun! There is always so much to see and do at Gwyl Mabsant. I could try to participate in one of the competitions myself, or perhaps watch from afar.;La fête a commencé ! Il y a toujours tellement de choses à voir et à faire à Gwyl Mabsant. Je pourrais essayer de participer à l'une des compétitions moi-même, ou peut-être de regarder de loin.;;;;;;;;;;;;x
VIETceltic.152.a;Either way, I'm going to have a great time either way.;Quoi qu'il en soit, je vais passer un bon moment dans tout les cas.;;;;;;;;;;;;x
VIETceltic.153.tooltip;Let's see... what to do first?;Voyons ... Que faire en premier ?;;;;;;;;;;;;x
VIETceltic.153.desc;The cockowners place their cocks on the ground, and set them loose. The audience - myself included - cheers and applauds as the two creatures scratch and bite each other. I'm certainly rooting for that one to win...;Les propriétaires de coq placent leurs animaux sur le sol et les relâchent. Le public - moi inclus - appuie et applaudit alors que les deux créatures se grattent et se mordent. Je suis certain de prier pour celui qui va gagner ...;;;;;;;;;;;;x
VIETceltic.153.a;The stronger looking one. Might makes right!;Le plus fort. Peut-être bien !;;;;;;;;;;;;x
VIETceltic.153.b;The weaker one. I always like seeing good underdog succeed.;Le plus faible. J'aime toujours voir le succès de la victime.;;;;;;;;;;;;x
VIETceltic.154.tooltip;Let's see... what to do first?;Voyons ... Que faire en premier ?;;;;;;;;;;;;x
VIETceltic.154.desc;Hurrah! My bando team scored a goal. Amazing, how these villagers have trained to use long wooden sticks to strike at goalposts many yards away. It's even more fun to see when bando players hit each other with their sticks - it's almost like jousting, or sparring, except even more intense. No wonder its one of the most popular events at Gwyl Mabsant.;Hourra ! Mon équipe de bando a marqué un but. Incroyable, comment ces villageois ont été formés pour utiliser de longs bâtonnets en bois pour frapper à des pistes à plusieurs mètres de là. Il est encore plus amusant de voir quand les joueurs de bando se frappent avec leurs bâtons - c'est presque comme une joute ou un combat, mais en encore plus intense. Pas étonnant que ce soit l'un des événements les plus populaires à Gwyl Mabsant.;;;;;;;;;;;;x
VIETceltic.154.a;Haha! Another goal for us!;Haha ! Encore un autre but pour nous !;;;;;;;;;;;;x
VIETceltic.155.tooltip;Let's see... what to do first?;Voyons ... Que faire en premier ?;;;;;;;;;;;;x
VIETceltic.155.desc;At Gwyl Mabsant, everyone is in mirthful mood. People often drink and sing and dance, and why shouldn't I partake in such festivity?;A Gwyl Mabsant, tout le monde a l'air joyeux. Les gens boivent, chantent et dansent souvent, et pourquoi ne pas participer à une telle fête ?;;;;;;;;;;;;x
VIETceltic.155.a;I'm uninterested. This is a holy day, not an opportunity for sin!;Je ne suis pas intéressé. C'est un jour saint, pas une opportunité pour le pêché !;;;;;;;;;;;;x
VIETceltic.155.b;I will drink, and drink 'till I can drink no more!;Je boirais et boirais jusqu'à ce que je ne puisse plus boire !;;;;;;;;;;;;x
VIETceltic.155.c;Song! There is nothing like that. It lifts the soul yet enlivens the spirit.;Chanson ! Il n'y a rien de tel. Il élève l'âme vivifie encore l'esprit.;;;;;;;;;;;;x
VIETceltic.155.d;Dancing is quite a joy - especially when I get to meet interesting people.;Danser avec joie - surtout quand je rencontre des gens intéressants.;;;;;;;;;;;;x
VIETceltic.155.e;I don't wish to join in, not that I'm against it.;Je ne veux pas participer, pas que je suis contre.;;;;;;;;;;;;x
wtf_am_i_at_gwyl;Now I have to wonder why I'm here in the first place...;Maintenant, je me demande pourquoi je suis ici en premier lieu ...;;;;;;;;;;;;x
VIETceltic.156.tooltip;Let's see... what to do first?;Voyons ... Que faire en premier ?;;;;;;;;;;;;x
VIETceltic.156.desc;At Gwyl Mabsant, one of the more fascinating events are the grinning matches between old women. I don't often see too many elderly peasant women, so it's quite a sight to see!;A Gwyl Mabsant, l'un des événements les plus fascinants sont les matchs de grimaces entre les femmes âgées. Je ne vois pas trop de paysannes âgées, donc c'est une chose à voir !;;;;;;;;;;;;x
VIETceltic.156.a;I'm still not entirely sure on the rules, though...;Je ne suis toujours pas tout à fait sûr des règles, cependant ...;;;;;;;;;;;;x
VIETceltic.157.tooltip;Let's see... what to do first?;Voyons ... Que faire en premier ?;;;;;;;;;;;;x
VIETceltic.157.desc;Racing wheelbarrows blindfolded! Now this is one of the more exciting events at Gwyl Mabsant.;Des brouettes de course avec les yeux bandés ! C'est l'un des événements les plus passionnants de Gwyl Mabsant.;;;;;;;;;;;;x
VIETceltic.157.a;I'll partake in the race myself!;Je vais participer à la course moi-même !;;;;;;;;;;;;x
VIETceltic.157.b;I think it's safer to watch - fun, yes, but not the safest.;Je pense qu'il est plus sûr de regarder - amusez-vous, oui, mais pas sans danger.;;;;;;;;;;;;x
VIETceltic.158.tooltip;Let's see... what to do first?;Voyons ... Que faire en premier ?;;;;;;;;;;;;x
VIETceltic.158.desc;One of the things I look most forward to at Gwyl Mabsant is the hot pudding. Being of high status I always have access to the finest custards and similar sweets, but there's nothing like homemade pudding from the locals.;Une des choses que je regarde le plus dans le Gwyl Mabsant est le boudin chaud. Étant d'un statut élevé, j'ai toujours accès aux meilleures crèmes anglaises et aux bonbons, mais il n'y a rien de mieux que le pudding fait maison des habitants.;;;;;;;;;;;;x
VIETceltic.158.a;I will indulge in good food!;Je me livrerai à la bonne nourriture !;;;;;;;;;;;;x
VIETceltic.159.desc;Several days of fun have passed, and the locals are either going home or lying around drunk. This year's Gwyl Mabsant has been wonderful, and I don't think we will see another one like this for years.;Plusieurs jours d'amusement sont passés, et les gens du pays sont soit à la maison, soit soûle. Le Gwyl Mabsant de cette année a été merveilleux, et je ne pense pas que nous allons voir un autre comme ça pendant des années.;;;;;;;;;;;;x
VIETceltic.159.a;And now I leave this simple, fun world.;Et maintenant, je laisse ce monde simple et amusant.;;;;;;;;;;;;x
VIETceltic.160.tooltip;Dulcinian;Dolcinien;;;;;;;;;;;;x
VIETceltic.160.desc;Dulcinian;Dolcinien;;;;;;;;;;;;x
VIETceltic.160.a;Dulcinian;Dolcinien;;;;;;;;;;;;x
go_to_obby_oss;Go to 'Obby 'Ossy festival;Aller au festival d'Obby 'Oss;;;;;;;;;;;;x
go_to_obby_oss_desc;Every year in May, Padstow celebrates the 'Obby 'Oss festival. Maybe this year I should attend?;Chaque année en mai, Padstow célèbre le festival d'Obby' Oss. Peut-être que cette année je devrais y assister ?;;;;;;;;;;;;x
VIETceltic.200.desc;I have decided to visit Padstow this May for the 'Obby 'Oss festival. Regardless of wether I dress up as the Oss, flee from it or simply sit by the sidelines, I can look foward to a fun time and lots of celebration!;J'ai décidé de visiter Padstow en ce mois de mai pour le festival d'Obby' Oss. Indépendamment de moi, je m'habille comme Oss, que se soi fuir ou s’asseoir sur les marches, Je peux prendre un petit moment de plaisir et m'amuser beaucoup !;;;;;;;;;;;;x
VIETceltic.200.a;I can't wait for 'Obby 'Oss to begin!;Je ne peux pas attendre que l'Obby 'Oss commence !;;;;;;;;;;;;x
cant_wait_for_obby_oss;You make preparations to travel to Padstow;Vous vous préparez pour voyager à Padstow;;;;;;;;;;;;x
VIETceltic.201.name;Welcome To Padstow;Bienvenue à Padstow;;;;;;;;;;;;x
VIETceltic.201.desc;After some slow and tedious travelling, you and your entourage finally set sight on the small town of Padstow. The town would be like any other in Cornwall, were it not for his (in)famous reputation for hosting the yearly 'Obby 'Oss festival, which attracts not only visitors but also merchants from all around, who come peddle their wares to revellers who are having too much fun to notice the price hike. As you enter the town, the mood is festive and joyous and many people are already tipsy despite it being barely past midday. Many cheers are given to celebrate your arrival as you ride across the gates - 'Long live [Root.Liege.GetTitledFirstName]! Welcome to Padstow your lordship!';Après un long et fastidieux voyage, vous et votre entourage êtes finalement arrivé à la ville de Padstow. La ville pourrait être n'importe quelle autres villes de Cornouailles, si ce n'était pour sa réputation célèbre d'accueillir le festival annuel d'Obby 'Oss, qui attire non seulement les visiteurs, mais aussi les marchands de tous les coins, qui vendent leurs marchandises aux fêtards qui sont trop amusé pour remarquer la hausse des prix. Lorsque vous entrez dans la ville, l'ambiance est festive et joyeuse et beaucoup de gens sont déjà soûle même si on n'est que midi. Beaucoup d'encouragements sont donnés pour célébrer votre arrivée lorsque vous roulez en traversant les portes d'entrée - 'Longue vie à [Root.Liege.GetTitledFirstName] ! Bienvenue à Padstow, mon seigneur !';;;;;;;;;;;;x
VIETceltic.201.a;Yes thank you! Now, when do we start?;Oui, merci ! Quand est-ce qu'on commence ?;;;;;;;;;;;;x
VIETceltic.202.name;An 'Ossy Proposal;Une proposition d'Ossy;;;;;;;;;;;;x
VIETceltic.202.desc;As you approach the town hall you are greeted by the town mayor and the master of ceremonies, who these days is as much an authority as the head of town. They great you with food and refreshment for you and your entourage and inform you that preparations are under way to make these an 'Obby 'Oss to remember. There is only one last question: Would you like to be given the honor of being this year's Old 'Oss, don the 'Oss's costume and chase young maidens all day lol?;En vous approchant de l’hôtel de ville, vous êtes salués par le maire de la ville et le maitre des cérémonies, qui a aujourd'hui la même autorité que le maire. Ils vous accueillent avec de la bonne nourriture et des rafraîchissements et votre entourage et vous informe que des préparatifs sont en cours pour l'Obby 'Oss. Il n'y a qu'une dernière question : voulez-vous qu'on lui donne l'honneur d'être l'ancien 'Oss de cette année, de faire le costume d’Oss et de chasser les jeunes filles toute la journée ? (lol);;;;;;;;;;;;x
VIETceltic.202.a;Chase around... Do you even need to ask?;Chassez des ... Pourquoi demandez ?!;;;;;;;;;;;;x
VIETceltic.202.b;Actually, this year I'll pass...;Je passe pour cette année ...;;;;;;;;;;;;x
VIETceltic.203.name;The 'Ossy Chase;La chasse de l'Ossy;;;;;;;;;;;;x
VIETceltic.203.desc;As you approach the town hall you are greeted by the town mayor and the master of ceremonies, who these days is as much an authority as the head of town. They great you with food and refreshment for you and your entourage and inform you that preparations are under way to make these an 'Obby 'Oss to remember. There is only one last question: When the Old 'Oss starts chasing women across town, do you wish to be considered fair game?;En vous approchant de l'hôtel de ville, vous êtes salués par le maire de la ville et le maitre des cérémonies, qui a aujourd'hui la même autorité que le maire. Ils vous accueillent avec de la bonne nourriture et des rafraîchissements et votre entourage et vous informe que des préparatifs sont en cours pour l'Obby 'Oss. Il n'y a qu'une dernière question : lorsque l'ancien 'Oss commence à chasser des femmes à travers la ville, souhaitez-vous être considéré comme une participante ?;;;;;;;;;;;;x
VIETceltic.203.a;Of course! Let the 'Oss come!;Bien sûr ! Laissez l'Oss venir !;;;;;;;;;;;;x
VIETceltic.203.b;I think I'll enjoy it from a distance.;Je pense que je vais en profiter à distance.;;;;;;;;;;;;x
VIETceltic.204.name;You Are The Old 'Oss;Vous êtes l'ancien 'Oss;;;;;;;;;;;;x
VIETceltic.204.desc;In the early morning, you make your way to the Old 'Oss's 'stable' (The Golden Lion Inn) and with the help of two acolytes don the large mask and huge black cape supported by a frame. You psyche yourself as the stable doors are swung open to a wave of cheers, drums and flutes. While you can't see much with the mask on you can hear many girls challenging you 'Here Ossy! Here Ossy' Accompanied by your hecklers, you set out to grab the women. Every woman you manage to drag under you cape will be blessed and be pregnant within a year.;Au début de la matinée, vous ouvrez le chemin de l'Établissement de l'ancien Oss (L'auberge du lion d'or) et, avec l'aide de deux acolytes, donnez le grand masque et la grande cape noire soutenue par un cadre. Vous poussez voir la grande porte s'ouvrir et vous sentez une vague d'acclamations, de tambours et de flûtes. Bien que vous ne puissiez pas voir beaucoup de chose avec le masque, vous pouvez entendre de nombreuses filles vous défier 'Par ici, 'Ossy ! Par ici !' Accompagné par des sifflements et vous prenez l'envie d'attraper toutes les femmes. Toute femme que vous parvenez à traîner sous votre cap sera bénie et sera enceinte pendant un an.;;;;;;;;;;;;x
VIETceltic.204.a;Come at me beauties!;Par ici mes beautés !;;;;;;;;;;;;x
VIETceltic.205.name;The Old 'Oss Approaches!;Le vieux 'Oss approche !;;;;;;;;;;;;x
VIETceltic.205.desc;In the morning, as you descend from your quarters in comfortable white clothes adored with red stripes hanging from your waist, as tradition demands, you come across a lively scene as the townspeople prepare for the Old 'Oss to leave his stable in the inn. To the distress and discomfort of your guards, you merge and mingle with the large group of women when the doors of the inn swing open and the Old Oss emerges from the inside, accompanied from his hecklers. Despite being almost unable to see, the Oss begins chasing the women to the sound of laugher, drums and flutes. Every girl he drags under his large cape is promised to be blessed with child within the year.;Dans la matinée, lorsque vous descendez de votre quartier dans des vêtements blancs confortables adorés de rayures rouges accrochées à votre taille, comme la tradition l'exige, vous rencontrez une scène animée alors que les habitantes de la ville se préparent à l'ancien Oss pour quitter son écurie dans l'auberge. À la détresse et à l'inconfort de vos gardes, vous fusionnez et mélangez avec le grand groupe de femmes lorsque les portes de l'auberge s'ouvrent et que l'Ancien Oss émerge de l'intérieur, accompagné de ses chiens. En dépit d'être presque incapable de voir, l'Oss commence à chasser les femmes au son des rires, des tambours et des flûtes. Chaque fille qu'il traîne sous sa grande cape est promis d'être béni avec un enfant dans l'année.;;;;;;;;;;;;x
VIETceltic.205.a;Here Ossy! Here Ossy!;Par ici l'Ossy ! Par ici !;;;;;;;;;;;;x
VIETceltic.206.name;Padstow goes silent;Padstow deviens silencieuse;;;;;;;;;;;;x
VIETceltic.206.desc;As they say, all good things must come to an end. The Old 'Oss is tired and has returned to his stable where it will stay until next year, most of the food and drinks have been consumed and the merchants are starting to pack their wares as the 'Obby 'Oss draws to a close. In the evening, all the townspeople gather by the Maypole to drink and sing songs welcoming the Summer as the countdown to the next 'Obby 'Oss begins.;Comme ils le disent, toutes bonnes choses doivent prendre fin. Le vieux 'Oss est fatigué et est revenu à son écurie où il restera jusqu'à l'année prochaine, la plupart des aliments et des boissons ont été consommés et les marchands commencent à emballer leurs marchandises alors que l'Obby 'Oss s'achève. Dans la soirée, toutes les citadines se rassemblent à l'Arbre de mai pour boire et chanter des chansons accueillant l'été, alors que le compte à rebours du prochain 'Obby 'Oss commence.;;;;;;;;;;;;x
VIETceltic.206.a;I can't wait for my next 'Obby 'Ossy!;Je ne peux pas attendre le prochain 'Obby 'Ossy !;;;;;;;;;;;;x
VIETceltic.207.desc;Under the heavy black cape and mask of the Old 'Oss, it's hard to make out who or what is right in front of you, but it is still relatively easy to make out the distinct giggles of a maiden in front of you. When you reach with your arms in front and through the cape, you catch a young peasant girl and proceed to drag her as she lets out a mix of laughter and screaming until only her feet are visible from outside the cape.;Sous la lourde cape noire et le masque du vieux 'Oss, il est difficile de déterminer qui ou ce qui se passe juste devant vous, mais il est encore relativement facile d'entendre les rires d'une jeune fille devant vous. Lorsque vous tendez vos bras à travers la cape, vous attrapez une jeune paysanne et vous la faites glisser alors qu'elle lâche un mélange de rires et de cris jusqu'à ce que ses pieds ne soient visibles depuis l'extérieur du cap.;;;;;;;;;;;;x
VIETceltic.207.a;The blessing of the Old 'Oss is yours!;La bénédiction du vieux 'Oss est en toi !;;;;;;;;;;;;x
bless_ya_girl;You bless the young girl;Vous bénissez la jeune fille;;;;;;;;;;;;x
VIETceltic.207.b;How about a bit of sweetness for the Ossy?;Que diriez-vous de la douceur de la part du Ossy ?;;;;;;;;;;;;x
steal_a_kiss;You get a kiss! Whooo!;Vous l'embrassez ! Whaou !;;;;;;;;;;;;x
VIETceltic.207.c;I can make sure the blessing happens later tonight...;Je peux m'assurer que la bénédiction arrive plus tard ce soir ...;;;;;;;;;;;;x
obby_ossy_bunga_bunga;You enjoy the Obby Ossy... alot.;Vous aimez être le vieux 'Oss ... beaucoup.;;;;;;;;;;;;x
