#CODE;I love me some nice silky silk;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
silkroad.228.desc;Khitan have arrived at our court, hoping we can employ them. They come from a powerful peoples, profoundly influenced by the culture as China, so much that they seem Chinese themselves...;Des Khitans est arrivé à notre cours, espérant que nous pouvons les employer. Ils viennent d'un peuple puissant, profondément influencé par la culture comme la Chine, à tel point qu'ils semblent eux-mêmes chinois ...;;;;;;;;;;;;x
silkroad.228.desc.2;A group of nobles hailing from the Liao Empire in northern China have come to my court, seeking refuge, for their realm has collapsed into chaos, with invasions by the Jurchens and internal strife.;Un groupe de nobles originaires de l'empire Liao dans le nord de la Chine est venu à ma cour, cherchant refuge, car leur royaume s'est effondré dans le chaos, avec des invasions par les Jurchens et des conflits internes.;;;;;;;;;;;;x
silkroad.228.a;I hope they will culturally enrich us with their superior Chinese ways!;J'espère qu'ils nous enrichiront culturellement avec leurs manières chinoises exceptionnelles !;;;;;;;;;;;;x
silkroad.229.desc;Mongol nomads fleeing their tribal infighting have made their way to my court. They promise not to cause trouble, and to serve you to their fullest capacity.;Des nomades mongols fuyant leurs luttes tribales ont fait leur chemin jusqu'à ma cour. Ils promettent de ne pas causer d'ennuis et de vous servir à leur pleine capacité.;;;;;;;;;;;;x
silkroad.229.a;They are a welcome addition to our ranks.;Ils sont un ajout bienvenu dans nos rangs.;;;;;;;;;;;;x
silkroad.230.desc;Scattered across the Levant are small communities of Arameans. Once an influential peoples in the region, their numbers have declined since the Muslim conquests. Today, prominent men from one of the Aramean villages of my realm have reached my court - they believe they have useful skills that I can make use of.;De petites communautés d'Araméens sont disséminées à travers le Levant. Autrefois peuples influents dans la région, leur nombre a diminué depuis les conquêtes musulmanes. Aujourd'hui, des hommes éminents de l'un des villages araméens de mon royaume ont atteint ma cour - ils croient qu'ils ont des compétences utiles que je peux utiliser.;;;;;;;;;;x
silkroad.230.a;Good, I am glad they want to help me.;Bien, je suis content qu'ils veuillent m'aider.;;;;;;;;;;;;x
silkroad.231.desc;Jurchen tribesmen from Manchuria have made their way to my lands. They seek employment, believing they have better prospects with you than with their previous lords back home.;Les membres de la tribu Jurchen de Mandchourie se sont rendus sur mes terres. Ils cherchent un emploi, croyant qu'ils ont de meilleures perspectives d'avenir avec vous qu'avec leurs anciens seigneurs dans leur pays d'origine.;;;;;;;;;;x
silkroad.231.a;Certainly we should welcome them with open arms.;Nous devrions certainement les accueillir à bras ouverts.;;;;;;;;;;;;x
silkroad.232.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.232.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.233.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.233.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.234.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.234.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.235.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.235.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.236.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.236.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.237.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.237.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.238.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.238.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.239.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.239.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.240.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.240.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.241.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.241.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.242.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.242.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.243.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.243.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.244.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.244.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.245.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.245.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.246.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.246.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.247.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.247.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.248.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.248.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.249.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.249.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.250.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.250.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.251.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.251.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.252.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.252.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.253.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.253.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.254.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.254.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.255.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.255.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.256.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.256.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.257.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.257.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.258.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.258.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.259.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.259.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.260.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.260.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.261.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.261.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.262.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.262.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.263.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.263.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.264.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.264.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.265.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.265.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.266.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.266.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.267.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.267.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.268.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.268.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.269.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.269.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.270.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.270.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.271.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.271.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.272.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.272.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.273.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.273.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.274.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.274.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.275.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.275.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.276.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.276.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.277.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.277.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.278.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.278.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.279.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.279.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.280.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.280.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.281.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.281.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.282.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.282.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.283.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.283.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.284.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.284.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.285.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.285.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.286.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.286.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.287.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.287.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.288.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.288.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.289.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.289.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.290.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.290.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.291.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.291.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.292.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.292.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.293.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.293.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.294.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.294.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.295.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.295.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.296.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.296.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.297.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.297.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.298.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.298.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.299.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.299.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.300.desc;The new year shall soon be upon us and the world of Iran - from the snow-capped Pamir mountains to the fertile plains of Mesopotamia - shall soon be celebrating this holiday which has been observed since ancient times. This year, you intend to make Nowruz a spectacle to be remembered for years. Let us make preparations!;La nouvelle année sera bientôt sur nous et le monde de l'Iran - des montagnes enneigées du Pamir aux plaines fertiles de Mésopotamie - célébrera bientôt cette fête qui a été observée depuis l'antiquité. Cette année, vous avez l'intention de faire du Novruz un spectacle dont on se souviendra pendant des années. Organisons les préparatifs !;;;;;;;;;;;;x
silkroad.300.a;You begin first by cleaning out your entire residence.;Vous commencez d'abord par nettoyer toute votre résidence.;;;;;;;;;;;;x
silkroad.301.tooltip;I have a good feeling about the upcoming new year.;J'ai un bon pressentiment au sujet de la nouvelle année à venir.;;;;;;;;;;;;x
silkroad.301.desc;Nowruz has officially begun! You wake up in the morning, full of energy and excitement. Before you do anything of importance, however, you first taste honey thrice, and light three candles before speaking to anyone, to ensure good luck and ward off disease.;Nowruz a officiellement commencé ! Vous vous réveillez le matin, plein d'énergie et d'excitation. Avant de faire quoi que ce soit d'important, cependant, vous devez d'abord goûter le miel trois fois et allumer trois bougies avant de parler à qui que ce soit, afin d'assurer la chance et de prévenir les maladies.;;;;;;;;;;;;x
silkroad.301.a;Now that that's taken care of...;Maintenant que c'est réglé ...;;;;;;;;;;;;x
silkroad.302.tooltip;Time to prepare for the court ceremony.;Il est temps de se préparer pour la cérémonie de la cour.;;;;;;;;;;;;x
silkroad.302.name;The First Day of Nowruz;Le premier jour du Novruz;;;;;;;;;;;;x
silkroad.302.desc;You welcome Nowruz in a lavishly decorated hall. Your servants have placed silver and gold plates and vases, filled to the brim with fruits and colorful flowers, all throughout, and it looks beautiful.\n\nAs custom has it, you are first greeted by a court Astronomer. He kisses the ground, and congratulates you on the New Year, and wishes you good fortune and prosperity for the coming year.;Vous accueillez Nowruz dans une salle richement décorée. Vos serviteurs ont placé des assiettes et des vases d'argent et d'or, remplis à ras bord de fruits et de fleurs colorées, tout au long, et c'est magnifique.\n\nComme le veut la coutume, vous êtes d'abord accueillis par un astronome de la cour. Il embrasse le sol, vous félicite pour la nouvelle année et vous souhaite bonne chance et prospérité pour l'année à venir.;;;;;;;;;;;;x
silkroad.302.a;Good. Now, let the musicians and singers come in!;Bien. Maintenant, laissez entrer les musiciens et les chanteurs !;;;;;;;;;;;;x
silkroad.303.tooltip;My court will enjoy the entertainment, certainly.;Ma cour appréciera le divertissement, certainement.;;;;;;;;;;;;x
silkroad.303.name;The Song and Music of Nowruz;Chanson et musique de Nowruz;;;;;;;;;;;;x
silkroad.303.desc;All is festive and joyful as the musicians and singers come in, and your courtiers sit at their assigned locations. As the highest ranking member of the court, you have the right to choose whichever song you want the musicians and singers to perform first. There are many songs traditionally performed during Nowruz, and only Nowruz, after all.\n\nPerhaps you'd like to hear the grand “Nowruz-e bozorg”? Or the softer, more exotic “Nowruz-e Rahawi”? Or maybe the uplifting, spiritual “Bad-e Nowruzi”? Then again there is also the sweet, lovely “Takt-e Piruzi”...;Tout est festif et joyeux lorsque les musiciens et les chanteurs entrent et que vos courtisans s'assoient à l'endroit qui leur est assigné. En tant que membre le plus haut placé de la cour, vous avez le droit de choisir la chanson que vous voulez que les musiciens et les chanteurs jouent en premier. Il y a beaucoup de chansons traditionnellement interprétées pendant le Novruz, et seulement le Novruz, après tout.\n\nPeut-être aimeriez-vous entendre le grand "Nowruz-e bozorg" ? Ou le plus doux, plus exotique "Nowruz-e Rahawi" ? Ou peut-être le "Bad-e Nowruzi" spirituel et édifiant ? Et puis il y a aussi la douce et charmante "Takt-e Piruzi" ...;;;;;;;;;;;;x
silkroad.303.a;Play the majestic Nowruz-e bozorg!;Jouez la majestueuse Nowruz-e bozorg !;;;;;;;;;;;;x
silkroad.303.b;I wish to hear the soft sounds of Nowruz-e Rahawi!;Je souhaite entendre les sons doux de Nowruz-e Rahawi !;;;;;;;;;;;;x
silkroad.303.c;Inspire me with Bad-e Nowruzi!;Inspirez-moi avec Bad-e Nowruzi !;;;;;;;;;;;;x
silkroad.303.d;Let me be moved with Takt-e Piruzi!;Laissez-moi être ému avec Takt-e Piruzi !;;;;;;;;;;;;x
silkroad.304.tooltip;The Nowruz festivities continue in your court.;Les festivités du Novruz se poursuivent dans votre cour.;;;;;;;;;;;;x
silkroad.304.name;Nowruz Ends;Nowruz se termine;;;;;;;;;;;;x
silkroad.304.desc;This year's Nowruz has been nothing short of exciting and fun, but alas, all good things come to an end. The world begins to calm and settle down, and you return to your normal routine.;Cette année, le Novruz n'a été rien de moins que passionnant et amusant, mais hélas, toutes les bonnes choses ont une fin. Le monde commence à se calmer et à s'installer, et vous reprenez votre routine normale.;;;;;;;;;;;;x
silkroad.304.a;May this year be a good one.;Que cette année soit une bonne année.;;;;;;;;;;;;x
silkroad.305.desc;As part of the Nowruz celebrations, you exchange presents - usually sugar - with your friends and loved ones.;Dans le cadre des célébrations du Novruz, vous échangez des cadeaux - généralement du sucre - avec vos amis et vos proches.;;;;;;;;;;;;x
silkroad.305.a;This year I spent a lot of money on these presents!;Cette année, j'ai dépensé beaucoup d'argent pour ces cadeaux !;;;;;;;;;;;;x
silkroad.305.b;This year I spent enough money for these presents.;Cette année, j'ai dépensé pas mal d'argent pour ces cadeaux.;;;;;;;;;;;;x
silkroad.305.c;This year I could only afford a little bit of money for these presents.;Cette année, je n'ai pu me permettre qu'un peu d'argent pour ces cadeaux.;;;;;;;;;;;;x
opinion_nowruz_present_large;Great Nowruz Present;Grand Cadeau de Nowruz;;;;;;;;;;;;x
opinion_nowruz_present_medium;Good Nowruz Present;Bon Cadeau de Nowruz;;;;;;;;;;;;x
opinion_nowruz_present_small;Acceptable Nowruz Present;Cadeau Acceptable de Nowruz;;;;;;;;;;;;x
VIET_celebrating_nowruz;Celebrating Nowruz;Célébre le Nowruz;;;;;;;;;;;;x
VIET_celebrated_nowruz;Celebrated Nowruz;A célébré Nowruz;;;;;;;;;;;;x
silkroad.306.desc;The most popular day of Nowruz is the so-called "Water-pouring Day" for it is a day of happiness and friendship amongst all. You and your household sprinkle rosewater on relatives and guests. You even sprinkle on those who pass by your residence.;Le jour le plus populaire du Novruz est le "Jour du Versement de l'Eau" car c'est un jour de bonheur et d'amitié entre tous. Vous et votre ménage arrosez de l'eau de rose sur les parents et les invités. Vous saupoudrez même ceux qui passent devant votre résidence.;;;;;;;;;;;;x
silkroad.306.a;Everyone and everything smells so pleasant.;Tout et tout le monde sent si bon.;;;;;;;;;;;;x
silkroad.307.desc;Egg-dying is an important and popular activity during Nowruz. Even you, despite your high rank, decide to partake in this activity.;La teinture des œufs est une activité importante et populaire pendant le Novruz. Même vous, malgré votre rang élevé, décidez de participer à cette activité.;;;;;;;;;;;;x
silkroad.307.a;What color of paint should I choose first...;Quelle couleur de peinture dois-je choisir en premier ...?;;;;;;;;;;;;x
silkroad.308.desc;You watch as fires are kindled everywhere in the surrounding villages and towns during the Nowruz celebrations. May joy and hope spread everywhere! The fires are meant to symbolize the most amazing acts of creation being re-enacted on a smaller scale.;Pendant les célébrations du Novruz, vous pouvez voir les feux s'allumer partout dans les villages et les villes environnantes. Que la joie et l'espoir se répandent partout ! Les feux sont destinés à symboliser les actes les plus étonnants de la création en cours de reconstitution à plus petite échelle.;;;;;;;;;;;;x
silkroad.308.a;Amazing, yes.;Étonnant, oui.;;;;;;;;;;;;x
silkroad.308.b;How blasphemous! Muslims shouldn't be doing this!;Quel blasphème ! Les musulmans ne devraient pas faire ça !;;;;;;;;;;;;x
silkroad.309.desc;Wine! Nowruz is the perfect time to intoxicate oneself with the finest wines, for is it not a joyous celebration?;Du vin ! Nowruz est le moment idéal pour s'enivrer avec les meilleurs vins, car n'est-ce pas une fête joyeuse ?;;;;;;;;;;;;x
silkroad.309.a;I drink as much as I need to.;Je bois autant qu'il le faut.;;;;;;;;;;;;x
silkroad.309.b;I shall drink a lot! Let's be merry!;Je boirai beaucoup ! Soyons joyeux !;;;;;;;;;;;;x
silkroad.309.c;Muslims shouldn't drink! Do we ignore religion just because we celebrate?;Les musulmans ne devraient pas boire ! Est-ce que nous ignorons la religion juste parce que nous célébrons ?;;;;;;;;;;;;x
silkroad.312.name;Mir-e Nowruzi;Mir-e Nowruzi;;;;;;;;;;;;x
silkroad.312.desc;Haha! [From.GetTitledFirstName] has been crowned the "Mir-e Nowruzi" or Nowruzian Ruler. As a fake king, he has been given an entire fake throne, officials, and soldiers. Unfortunately, [From.GetTitledFirstName] can now do as he wishes, being the Mir-e Nowruzi. Thankfully his "reign" will only last a few days.;Haha! [From.GetTitledFirstName] a été couronné "Mir-e Nowruzi" ou Chef Nowruzien. En tant que faux roi, il a reçu un faux trône, des officiels et des soldats. Malheureusement, [From.GetTitledFirstName] peut maintenant faire ce qu'il veut, étant le Mir-e Nowruzi. Heureusement, son "règne" ne durera que quelques jours.;;;;;;;;;;;;x
silkroad.312.a;We'll see how this goes.;On verra comment ça se passe.;;;;;;;;;;;;x
silkroad.313.tooltip;Hopefully I won't be forced to do anything stupid.;J'espère que je ne serai pas forcé de faire quelque chose de stupide.;;;;;;;;;;;;x
silkroad.314.desc;Dammit! [From.GetTitledFirstName] definitely is enjoying his powers as the Mir-e Nowruzi. He has made me do some very embarrassing things. Things so embarrassing I want to curl up in a ball and die every time I think about them.;Putain de merde ! [From.GetTitledFirstName] profite définitivement de ses pouvoirs en tant que Mir-e Nowruzi. Il m'a fait faire des choses très embarrassantes. Des choses si embarrassantes que j'ai envie de me pelotonner et de mourir à chaque fois que j'y pense.;;;;;;;;;;;;x
silkroad.314.a;You'll pay for this!;Vous allez payer pour ça !;;;;;;;;;;;;x
silkroad.315.desc;[From.GetTitledFirstName]'s reign as the Mir-e Nowruzi has come to an end. Now, everyone has to rid him of the throne, beat him, and force him to flee the building. Won't this be fun?;Le règne de [From.GetTitledFirstName] comme le Mir-e Nowruzi a pris fin. Maintenant, tout le monde doit le débarrasser du trône, le battre et le forcer à fuir le bâtiment. Ce ne sera pas amusant ?;;;;;;;;;;;;x
silkroad.315.a;Yes! Quite fun! Violence is quite fun!;Oui ! Tout à fait amusant ! La violence est très amusante !;;;;;;;;;;;;x
silkroad.315.b;I feel sorry for the poor fellow!;J'ai de la peine pour ce pauvre homme !;;;;;;;;;;;;x
opinion_no_sympathy_for_me;Felt no sympathy for me;Ne ressentais aucune sympathie pour moi.;;;;;;;;;;;;x
opinion_sympathy_for_me;Felt sympathy for me;Ressentais de la sympathie pour moi.;;;;;;;;;;;;x
proclaim_sogdiana;Proclaim Sogdiana;Proclamer Sogdiane;Réclamer Sogdiane de ces envahisseurs étrangers !;;;;;;;;;;;x
proclaim_sogdiana_desc;Reclaim Sogdiana from these foreign invaders!;Réclamer Sogdiane de ces envahisseurs étrangers !;;;;;;;;;;;;x
celebrate_nowruz;Celebrate Nowruz;Célébrer le Novruz;;;;;;;;;;;;x
celebrate_nowruz_desc;The new year is upon us! Let us celebrate in the traditional Iranian fashion.;La nouvelle année est à nos portes ! Célébrons cela à la manière traditionnelle iranienne.;;;;;;;;;;;;x
support_silk_road;Support Sogdian Merchants;Soutenir les marchands Sogdiens;;;;;;;;;;;;x
support_silk_road_desc;If we are to revive the Silk Road, we must support their stewards, the Sogdians.;Si nous voulons relancer la Route de la soie, nous devons soutenir leurs intendants, les Sogdiens.;;;;;;;;;;;;x
silkroad.400.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.400.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.401.title;A Fair in [VIET_sogdian_fair_location.GetName];Une foire à [VIET_sogdian_fair_location.GetName];;;;;;;;;;x
silkroad.401.desc;This year we shall host a great fair and market in [VIET_sogdian_fair_location.GetName], an opportunity for us to encourage trade and commerce in our realm. While we can hold a standard fair, there are other fairs traditional among the Sogdian peoples as well. The Fair of Max, for instance, is where idols are sold, and merchants of different religions exchange in an atmosphere of tolerance. Conversely, at the Tirmah Fair, defective goods can be sold - in the name of good fun, of course. Then there’s the M’xyrh Fair, where stolen or counterfeit things are sold - obviously the “stolen” goods are part of a fun tradition, rather than actual theft (usually).\n\nNow, let us send word to the Sogdian merchants and sartapaws, and to others along the Silk Road, that this year, we will have a...;Cette année, nous accueillerons une grande foire et un grand marché à [VIET_sogdian_fair_location.GetName], une occasion pour nous d'encourager les échanges et le commerce dans notre royaume. Bien que nous puissions organiser une foire standard, il existe d'autres foires traditionnelles parmi les peuples Sogdiens. La Foire de Max, par exemple, est l'endroit où l'on vend des idoles et où les marchands de différentes religions échangent dans une atmosphère de tolérance. A l'inverse, à la foire de Tirmah, les marchandises défectueuses peuvent être vendues - au nom du plaisir, bien sûr. Ensuite, il y a la foire M'xyrh, où l'on vend des choses volées ou contrefaites - évidemment, les biens "volés" font partie d'une tradition amusante, plutôt qu'un vol réel (habituellement).\n\nMaintenant, envoyons un message aux marchands et sartapaws Sogdiens, et à d'autres tout le long de la Route de la Soie, que cette année, nous aurons une ...;;;;;;;;;;x
silkroad.401.a;(Normal) Sogdian Fair;(Normal) Foire de Sogdian;;;;;;;;;;;;x
silkroad.401.b;Fair of Max;Foire de Max;;;;;;;;;;;;x
silkroad.401.c;Tirmah Fair;Foire de Tirmah;;;;;;;;;;;;x
silkroad.401.d;M’xyrh Fair;Foire M'xyrh;;;;;;;;;;;;x
silkroad.402.tooltip;In two months a great fair will be held!;Dans deux mois, une grande foire aura lieu !;;;;;;;;;;x
silkroad.402.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.402.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.403.desc;Due to unforeseen circumstances, we must cancel our plans for a great market and fair in [VIET_sogdian_fair_location.GetName] this year. While this is undoubtedly a disappointment to many, the Silk Road will continue on as it always has.;En raison de circonstances imprévues, nous devons annuler nos plans pour un grand marché et une grande foire à [VIET_sogdian_fair_location.GetName] cette année. Bien qu'il s'agisse sans aucun doute d'une déception pour beaucoup, la Route de la soie se poursuivra comme elle l'a toujours fait.;;;;;;;;;;x
silkroad.403.a;So be it!;Qu'il en soit ainsi !;;;;;;;;;;;;x
silkroad.404.desc;The fair at [VIET_sogdian_fair_location.GetName] is officially under way! Merchants from all over the Silk Road come to peddle their wares, trade their goods, and exchange contacts and information. Even those who aren’t merchants, be they commoners or nobles, can do some shopping, or enjoy some of the festivities.;La foire à [VIET_sogdian_fair_location.GetName] est officiellement en cours ! Des marchands de tous les coins de la Route de la soie viennent pour vendre leurs marchandises, échanger leurs marchandises et échanger des contacts et des informations. Même ceux qui ne sont pas marchands, qu'ils soient roturiers ou nobles, peuvent faire des achats ou profiter des festivités.;;;;;;;;;;x
silkroad.404.a;The silk must flow!;La soie doit couler !;;;;;;;;;;;;x
