#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Event/decision/modifier definitions;;;;;;;;;;;;;;x
###### Hellenic revival;;;;;;;;;;;;;;x
#nick_the_apostate;the Apostate;l'Apostat;;;;;;;;;;;;x
opinion_no_hellenic_state_religion;Did not establish a Hellenic state religion;N'a pas choisi l'hellénisme comme religion d'État;;;;;;;;;;;;x
hellenic.107.b;Funny how augurs always tell you what you want to hear...;Amusant comment les augures vous disent toujours ce que vous voulez entendre ...;;;;;;;;;;;;x
###### Hellenic Legion;;;;;;;;;;;;;;x
EVTTITLEhellenic.109;The Rise of the Hellenic Faith;La montée de la foi hellénique;;;;;;;;;;;;x
hellenic.109.desc;Secret adherents to the ancient beliefs of the Greek and Roman people have been coming forward in droves. Holding onto the ancient customs of Rome and led by a Centurio, they refer to themselves as the Hellenic Legion. Sworn to push back the tide of the Sons of Abraham, these zealots are prepared to be the sword arm of a new Hellenism.;Les adhérents secrets aux croyances anciennes du peuple grec et romain se sont montré de plus en plus. En se tenant sur les anciennes coutumes de Rome et dirigées par un Centurion, elles se réfèrent à elles-mêmes comme légion hellénique. Ils ont juré de repousser la marée des Fils d'Abraham, ces fanatiques sont prêts à être le bras de l'épée d'un nouvel hellénisme.;;;;;;;;;;;;x
hellenic.109.a;Interesting...;Intéressant ...;;;;;;;;;;;;x
###### Roman revival;;;;;;;;;;;;;;x
was_refused_roman_revival;Roman revival refused;S'est vu refusé la renaissance romaine;;;;;;;;;;;;x
was_allowed_roman_revival;Roman revival allowed;S'est vu autorisé la renaissance romaine;;;;;;;;;;;;x
refused_roman_revival;Refused Roman revival;A refusé la renaissance romaine;;;;;;;;;;;;x
allowed_roman_revival;Allowed Roman revival;A autorisé la renaissance romaine;;;;;;;;;;;;x
hellenic.152.desc;As you are holding court, [From.GetTitledFirstName] approaches you with a petition supported by several prominent burghers in [From.PrimaryTitle.GetName], asking for your permission to restore the rights and customs befitting citizens of a Roman city.;Tandis que vous recevez la cour, [From.GetTitledFirstName] vous approche avec une pétition signée par plusieurs citoyens éminents de [From.PrimaryTitle.GetName], demandant la permission de restaurer les droits et coutumes convenant aux citoyens d'une ville romaine.;;;;;;;;;;;;x
hellenic.152.a;Of course, Roman customs are far superior to [From.Capital.Culture.GetName]!;Bien sur, les coutumes romaines sont bien meilleures que [From.Capital.Culture.GetName] !;;;;;;;;;;;;x
hellenic.152.b;If that is the will of the people, so be it.;Si c'est la volonté du peuple, qu'il en soit ainsi.;;;;;;;;;;;;x
hellenic.152.c;No, [Root.Culture.GetName] customs are superior and should be maintained!;Non, les coutumes [Root.Culture.GetName] sont meilleures et doivent être conservées !;;;;;;;;;;;;x
hellenic.152.d;No, I will not have any walking relics in my realm!;Non, je ne veux pas de reliques vivantes sur mon domaine !;;;;;;;;;;;;x
hellenic.153.a;An excellence idea, let's get started immediately!;Une excellente idée, commençons immédiatement !;;;;;;;;;;;;x
hellenic.153.b;You'll have my permission;Vous aurez ma permission.;;;;;;;;;;;;x
hellenic.154.desc;[From.GetTitledFirstName] has approved the petition of [From.From.GetTitledFirstName] and allowed the burghers in [From.From.PrimaryTitle.GetName] to restore the rights and customs they think befitting citizens of a Roman city.;[From.GetTitledFirstName] a approuvé la pétition de [From.From.GetTitledFirstName] et autorisé les citoyens de [From.From.PrimaryTitle.GetName] à restaurer les droits et coutumes qu'ils pensent convenables pour des citoyens d'une ville romaine.;;;;;;;;;;;;x
hellenic.154.a;Excelent, let's get started immediately!;Excellent, mettons-nous au travail tout de suite !;;;;;;;;;;;;x
hellenic.154.b;Good for them, I guess...;C'est bon pour eux, je suppose...;;;;;;;;;;;;x
hellenic.154.c;Great news!;Excellente nouvelle !;;;;;;;;;;;;x
hellenic.156.desc;The burghers in [From.From.PrimaryTitle.GetName] have chosen to restore most customs practiced in old Roman times. With time, Roman culture may spread to the whole province.;Les citoyens de [From.From.PrimaryTitle.GetName] ont choisi de restaurer la plupart des coutumes pratiquées au temps de la Rome antique. Avec du temps, la culture romaine pourrait se propager à toute la province.;;;;;;;;;;;;x
hellenic.156.a;Perhaps I should do the same;Peut-être je devrais faire de même;;;;;;;;;;;;x
hellenic.158.desc;With the restoration of Roman customs in [From.PrimaryTitle.GetName] the populace in [From.Capital.GetName] have embraced Roman culture.;Suite a la restauration de la culture romaine à [From.PrimaryTitle.GetName], la population de [From.Capital.GetName] a adopté la culture romaine.;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
hellenic.110.desc;Without the Flaminica Dialis to assist you in your duties, the ancient religious laws require that you retire.;Sans la Flaminica Dialis pour vous assister dans vos fonctions, la loi religieuse antique exige que vous démissionniez.;;;;;;;;;;;;x
hellenic.111.desc;Without the Flaminica Martialis to assist you in your duties, the ancient religious laws require that you retire.;Sans la Flaminica Martialis pour vous assister dans vos fonctions, la loi religieuse antique exige que vous démissionniez.;;;;;;;;;;;;x
hellenic.112.desc;Without the Flaminica Quirinalis to assist you in your duties, the ancient religious laws require that you retire.;Sans la Flaminica Quirinalis pour vous assister dans vos fonctions, la loi religieuse antique exige que vous démissionniez.;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
nominate_vestalis_decision;Nominate [Root.GetTitledFirstName] as Vestalis;Nommer [Root.GetTitledFirstName] en tant que vestale;;;;;;;;;;;;x
nominate_vestalis_decision_desc;Nominate [Root.GetFirstName] for 30 years of dedicated service to the goddess Vesta. If accepted, she will abandon all claims at temporal power.;Nommer [Root.GetFirstName] pour 30 ans au service de Vesta. Si elle accepte, elle devra abandonner toutes revendications de pouvoir temporel.;;;;;;;;;;;;x
opinion_nominated_vestalis;Nominated a Vestalis;A nommé une vestale;;;;;;;;;;;;x
hellenic.121.desc;After 30 years of devoted service to Vesta the time has come for you to retire from public office.;Après 30 ans dévoués au service de Vesta, le moment est venu pour vous de vous retirer de votre fonction publique.;;;;;;;;;;;;x
hellenic.124.desc;One of your vassals has nominated a child for service to Vesta.;L'un de vos vassaux a nommé un enfant au service de Vesta.;;;;;;;;;;;;x
hellenic.124.a;Appoint her as Vestalis;La nommer en tant que vestale;;;;;;;;;;;;x
hellenic.124.b;I can find someone better;Vous pouvez trouver mieux.;Ich kann einen Besseren finden;;Puedo hallar a alguien mejor;;;;;;;;;x
hellenic.124.c;I'm afraid there is no opening in the College of the Vestales.;Il n'y a malheureusement pas de poste libre dans le collège des vestales.;;;;;;;;;;;;x
hellenic.222;Friends, Romans, countrymen, lend me your ears! After the miraculous recovery of territory lost centuries ago, the Roman Empire has been reborn! Europe has endured dark times since the imperial frontiers were stormed by barbarians and province after province burned at their touch, but now a bright new age has dawned for all of civilization.\n\nThe Roman State will no longer be referred to as the "Empire of the Germans" by jealous pretenders in the East, but recognized as the true heir to the legacy of Rome. [Root.GetTitledFirstName] rules a restored Imperium Romanum, but much work remains to be done. There is still territory to recover and ancient borders to reclaim. For the Senate and People of Rome!;Amis, romains, compatriotes, prêtez l'oreille ! Après la récupération miraculeuse de territoires perdu il y a des siècles, l'Empire Romain, est rené ! L'Europe a connu des périodes sombres depuis que les frontières impériales ont été prises d'assaut par les barbares et province après province brûlées à leur contact, mais maintenant un age de lumière nouveau est apparu pour le monde civilisé.\n\nL'Etat Romain ne sera plus mentionné comme "Empire des Germains" par les prétendants jaloux de l'Est, mais reconnu comme l'héritier légitime de Rome.[Root.GetTitledFirstName] dirige un Imperium Romanum restauré, mais il reste beaucoup de travail. Il y a encore des territoires à retrouver et d'anciennes frontières à récupérer. Pour le Sénat et le Peuple de Rome !;;;;;;;;;;;;x
hellenic.223;The Holy Roman Empire, previously referred to as the "Empire of the Germans" by many in the East, have somehow managed to reclaim enough lost territory to declare the Roman Empire restored! It can no longer be denied that they are the true successors of Rome and its glorious legacy. They claim a new era is upon us.;Le Saint Empire Romain, auparavant appelé l'"Empire des Germains" par beaucoup à l'Est, a réussi a récuperer suffisamment de territoires perdus pour déclarer l'Empire Romain restauré ! Il ne peut plus être nié qu'ils sont les vrais successeurs de Rome et de son glorieux héritage. Ils affirment qu'une nouvelle ère s'ouvre devant nous.;;;;;;;;;;;;x
hellenic.224;Friends, Romans, countrymen, lend me your ears! The Roman Empire, long thought to be lost to the world, has been reborn! Europe has endured dark times since the imperial frontiers were stormed by barbarians and province after province burned at their touch, but now a bright new age has dawned for all of civilization.\n\n[Root.GetTitledFirstName] rules a restored Imperium Romanum, but much work remains to be done. There is still territory to recover and ancient borders to reclaim. For the Senate and People of Rome!;Amis, romains, compatriotes, prêtez l'oreille ! L'Empire Romain, longtemps cru perdu aux yeux du monde, est rené ! L'Europe a connu des periodes sombres depuis que les frontières impériales ont été prises d'assault par les barbares et provinces après provinces brûlées à leur contact, mais maintenant un age de lumière nouveau est apparu pour le monde civilisé. \n\n[Root.GetTitledFirstName] dirige un Imperium Romanum restauré, mais il reste beaucoup de travail. Il y a encore des territoires à retrouver et d'anciennes frontières à récupérer. Pour le Sénat et le Peuple de Rome !;;;;;;;;;;;;x
hellenic.225;[From.GetTitledFirstName] has declared the Roman Empire, long thought to be lost to the world, to be restored! Having laid claim to the homelands of the old empire, it can no longer be denied that they are the true successors of Rome and its glorious legacy. They claim a new era is upon us.;[From.GetTitledFirstName] déclare que l'Empire Romain, qui a pendant longtemps été cru perdu aux yeux du monde, a été réstauré ! Après avoir récupéré les terres natales de l'ancien empire, il ne peut plus être nié qu'ils sont les vrais successeurs de Rome et de son héritage glorieux. Ils affirment qu'une nouvelle ère s'ouvre devant nous.;;;;;;;;;;;;x
hellenic.240.desc;A local Augur has come to your court to perform a public Auguria, the ceremony is held in a plain outside the castle walls and while approaching clouds make you worrisome, the Augur will not postpone it. After observing the entrails of many sacrifices, the Augur is about to proclaim the will of the gods when a bolt of lightning strikes him violently!;Un augure local est venu à votre cour pour effectuer une Auguria publique, la cérémonie se déroule dans une plaine à l'extérieur des murs du château et, tout en approchant des nuages, vous inquiète, l'augure ne le reporte pas. Après avoir observé les entrailles de nombreux sacrifices, l'augure est sur le point de proclamer la volonté des dieux quand un éclaire le frappe violemment !;;;;;;;;;;;;x
hellenic.240.a;It seems the gods spoke for themselves;On dirait que les dieux parlent par eux-mêmes;;;;;;;;;;;;x
hellenic.240.b;Am I next?;Suis-je le prochain ?;;;;;;;;;;;;x
hellenic.241.desc;While watching the latest play from a local philosopher, you notice that some of the actors are completely drunk. This is an insult to your honor and to the art of the Theatre, though the man in charge assures you they will be taken care of, it is your duty to take charge.;En regardant le dernier jeu d'un philosophe local, vous remarquez que certains des acteurs sont complètement en état d'ébriété. C'est une insulte à votre honneur et à l'art du théâtre, bien que l'homme en charge vous assure qu'ils seront pris en charge, il est de votre devoir de les prendre en charge.;;;;;;;;;;;;x
hellenic.241.a;Kick them out!;Foutez les dehors !;;;;;;;;;;;;x
hellenic.241.b;Actually, this strengthens the play;En fait, cela renforce le jeu;;;;;;;;;;;;x
# Wines, Oils, and Dionysus;;;;;;;;;;;;;;x
ancrel_winery;Owns a Winery;Possède une cave viticole;;;;;;;;;;;;x
ancrel_oilworks;Owns Oilworks;Possède des fabrications d'huile;;;;;;;;;;;;x
ancrel_held_dionysia;Held Dionysia;A tenu des Dionysies;;;;;;;;;;;;x
