#Shaman Stuff ;;;;;;;;;;;;;;x
shaman_good_marriage;Ancestors' Foresight on Marriage (Good);Prévision des ancêtres sur le mariage (Bonne);;;;;;;;;;;;x
shaman.18.desc;“The spirits believe that your warriors shall meet many victories in battle, if war is fated to come in the new future.” Your Shaman warns, however, “But remember that advantages are but a means to victory, not victory in and of itself. Nevertheless, the spirits thought of good war plans, and told me...”;"Les esprits croient que vos guerriers rencontreront de nombreuses victoires au combat, si la guerre est destinée à venir dans un futur proche." Votre chaman avertit cependant : "Mais n'oubliez pas que ces avantages ne sont qu'un moyen de gagner, et non une victoire en soi. Néanmoins, les esprits pensèrent à de bons plans de guerre, et me dirent...";;;;;;;;;;;;x
shaman.18.a;How can I defeat my enemies, if they come?;Comment puis-je vaincre mes ennemis, si ils viennent ?;;;;;;;;;;;;x
shaman.19.desc;“Your ancestors told me this might not be a good time for battle,” your Shaman explains. “Even if you win exceptional victory, the aftermath will be of much trouble. Defeat, however, can be avoided - possibly - if you follow the spirits’ advice. They have told me that you must...”;"Vos ancêtres m'ont dit que ce n'était peut-être pas le bon moment pour la bataille ", explique votre chaman. "Même si vous remportez une victoire exceptionnelle, les conséquences seront très douloureuses. La défaite, cependant, peut être évitée - éventuellement - si vous suivez les conseils des esprits. Ils m'ont dit que vous devez...";;;;;;;;;;;;x
shaman.19.a;Doesn’t sound good to me.;Ça ne me semble pas bon.;;;;;;;;;;;;x
shaman.20.desc;“The realm should prosper fine,” your Shaman tells. “So the spirits have said. There may be difficult periods, but the realm will emerge stronger so long as you focus and stay diligent. All good things can be lost if they are not carefully watched, and even then, all good things must end eventually.”;"Le royaume devrait prospérer", dit votre chaman. "C'est ce que les esprits ont dit. Il peut y avoir des périodes difficiles, mais le royaume émergera plus fort tant que vous restez concentré et diligent. Toutes les bonnes choses peuvent être perdues si elles ne sont pas soigneusement surveillées, et même alors, toutes les bonnes choses doivent finir par se terminer.";;;;;;;;;;;;x
shaman.20.a;Did they suggest anything on how to continue this success?;Ont-ils suggéré quoi que ce soit sur la façon de poursuivre ce succès ?;;;;;;;;;;;;x
shaman.21.desc;“Your ancestors fear for the realm,” your Shaman says, before reassuring, “This does not necessarily mean disaster is at hand, but it does show that troubling times may come. Who is to suffer? The commoner? The merchants? The rulers? The spirits told me calamity could be prevented if...”;"Vos ancêtres craignent pour le royaume", dit votre chaman, avant de rassurer, "Cela ne signifie pas nécessairement que le désastre est proche, mais cela montre que des temps troublants peuvent arriver. Qui doit souffrir ? Le roturier ? Les marchands ? Les dirigeants ? Les esprits m'ont dit que la calamité pourrait être évitée si...";;;;;;;;;;;;x
shaman.21.a;Not good...;C'est pas bon...;;;;;;;;;;;;x
shaman.22.desc;“There are always those who plot and scheme against you, and while the spirits cannot always see what your enemies are planning, they can provide their protection and advice,” your Shaman says. “This should be a peaceful time for you, but be wary as always - hubris is a bringer of doom.”;"Il y a toujours ceux qui complotent et ceux qui conspirent contre vous, et même si les esprits ne peuvent pas toujours voir ce que vos ennemis planifient, ils peuvent vous offrir leur protection et leurs conseils ", dit votre chaman. "Ceci devrait être un moment paisible pour vous, mais soyez prudents comme toujours - l'orgueil est porteur de malheur.";;;;;;;;;;;;x
shaman.22.a;Any suggestions on dealing with these enemies?;Des suggestions pour faire face à ces ennemis ?;;;;;;;;;;;;x
shaman.23.desc;“There are those who plot and scheme against you, and your ancestors have warned me well that this is a dangerous time for you.” The Shaman frowns, before adding, “It is difficult to change fate as it is to know it, but your ancestors told me of a few measures you can prevent disaster...”;"Il y a ceux qui complotent et ceux qui conspirent contre vous, et vos ancêtres m'ont bien averti que c'est un moment dangereux pour vous." Le chaman fronce les sourcils, avant d'ajouter:"Il est difficile de changer le destin maintenant qu'il est connu, mais vos ancêtres m'ont parlé de quelques mesures que vous pouvez prendre pour éviter le désastre...";;;;;;;;;;;;x
shaman.23.a;Please, tell me!;Si vous plaît, dites mois !;;;;;;;;;;;;x
shaman.24.desc;“Your ancestors have told me that the spiritual needs of your people are being fulfilled,” your Shaman reports happily. “Many are learned and know the proper rites and manners of interacting with the spirit world. As ruler, you must ensure this good state of affairs lasts by...”;"Vos ancêtres m'ont dit que les besoins spirituels de votre peuple sont en train d'être comblés", se réjouit votre chaman. "Beaucoup d'entre eux sont érudits et connaissent les bons rites et les bonnes manières d'interagir avec le monde des esprits. En tant que dirigeant, vous devez vous assurer que cette bonne situation dure...";;;;;;;;;;;;x
shaman.24.a;Hmm...;Hmm...;;;;;;;;;;;;x
shaman.25.desc;“Your ancestors were rather distrustful and unfriendly when I met them, as they believe the spiritual state of your realm is lacking at best.” Your Shaman’s grimaces. “They are, however, willing to assist you in bettering the spiritual needs of the realm if you are willing to do your part.”;"Vos ancêtres étaient plutôt méfiants et hostiles quand je les ai rencontrés, car ils croient que l'état spirituel de votre royaume pourrait être mieux." Dit votre chaman en faisant une grimace. "Mais ils sont prêts à vous aider à améliorer les besoins spirituels du royaume si vous êtes prêts à faire votre part.";;;;;;;;;;;;x
shaman.25.a;What should I do then?;Que dois-je faire alors ?;;;;;;;;;;;;x
shaman.26.desc;“Your ancestors have observed you and saw that while you may have your flaws, there remains great potential in you as a person,” your Shaman says. “Continue respecting the spirits around you, be bountiful in merit and goodness. To improve yourself, the spirits suggested you...”;"Vos ancêtres vous ont observé et ont vu que, même si vous avez peut-être vos défauts, il reste un grand potentiel en vous en tant que personne", dit votre chaman. "Continuez à respecter les esprits autour de vous, soyez généreux dans le mérite et la bonté. Pour vous améliorer, les esprits vous ont suggéré...";;;;;;;;;;;;x
shaman.26.a;Well, what a relief.;Quel soulagement !;;;;;;;;;;;;x
shaman.27.desc;“Your ancestors seemed disappointed when I mentioned you,” your Shaman says. “Every [Root.GetManWoman] has flaws, that is undeniable, but the spirits believe your recent behaviors and attitudes need to be improved even more for the betterment of your realm and yourself. They suggested...”;"Vos ancêtres semblaient déçus quand je vous ai parlé de vous", dit votre chaman. "Tous les [Root.GetManWoman] ont des défauts, c'est indéniable, mais les esprits croient que vos comportements et attitudes récents doivent être améliorés encore plus pour l'amélioration de votre royaume et de vous-même. Ils ont suggéré...";;;;;;;;;;;;x
shaman.27.a;Well...;Euh ...;;;;;;;;;;;;x
shaman.28.desc;“Your ancestors told me you are in good health,” your Shaman says. “Good health is no guarantee of success, but it does show that the world favors you, for now. The spirits offered me further instructions on how you can continue possessing such strength...”;"Vos ancêtres m'ont dit que vous étiez en bonne santé", dit votre chaman. "Une bonne santé n'est pas une garantie de succès, mais elle montre que le monde vous favorise pour l'instant. Les esprits m'ont donné d'autres instructions pour que vous puissiez continuer à posséder une telle force...";;;;;;;;;;;;x
shaman.28.a;Let me hear it then.;Laisse-moi l'entendre alors.;;;;;;;;;;;;x
shaman.29.desc;“Your ancestors seem to be concerned about your health,” your Shaman indicates. “Perhaps there are evil spirits near you or your house. Your ancestors indicated they could help if necessary if I perform the proper rites, but they also suggested you should take certain measures...”;"Vos ancêtres semblent s'inquiéter de votre santé", indique votre chaman. "Il y a peut-être des mauvais esprits près de vous ou dans votre maison. Vos ancêtres m'ont dit qu'ils pourraient m'aider si j'exécutais les rites appropriés, mais ils m'ont aussi suggéré que vous preniez certaines mesures...";;;;;;;;;;;;x
shaman.29.a;What measures should I take then?;Quelles mesures dois-je alors prendre ?;;;;;;;;;;;;x
shaman.30.desc;“The spirits recognize your youth,” your Shaman says. “To be young! It is a blessing, say they, but it can quickly become a curse if used unwisely. Be level-headed, not rash. Virtuous, not wicked. The ancestors have much counsel to give you - let me recount what they told me...”;"Les esprits reconnaissent votre jeunesse", dit votre chaman. "Pour être jeune ! C'est une bénédiction, disent-ils, mais elle peut rapidement devenir une malédiction si elle est mal utilisée. Soyez lucide, pas irréfléchi. Vertueux, pas méchant. Les ancêtres ont beaucoup de conseils à vous donner - laissez-moi vous raconter ce qu'ils m'ont dit...";;;;;;;;;;;;x
shaman.30.a;What did they want to tell me?;Que voulaient-ils me dire ?;;;;;;;;;;;;x
shaman.31.desc;“Your ancestors know that you are of middle age,” your Shaman tells you. “Some may think of youth as more exciting, or of old age as more enlightening, but there is reward in middle age as well. The spirits have much advice to offer to you on how to best live your life during this time.”;"Vos ancêtres savent que vous êtes dans l'âge mûr", vous dit votre chaman. Certains peuvent penser que la jeunesse est plus excitante, d'autres que la vieillesse est plus éclairante, mais il y a aussi des récompenses à l'âge mûr. Les esprits ont beaucoup de conseils à vous donner sur la meilleure façon de vivre votre vie durant cette période.";;;;;;;;;;;;x
shaman.31.a;Let’s hear it then.;Écoutons ça alors.;;;;;;;;;;;;x
shaman.32.desc;“There is nothing more. That is all that I have been told,” your Shaman says, after telling you many more things. “Do not forget what the spirits have said. Contemplate their messages carefully.”\nYour Shaman pauses, before continuing, “Fate is a difficult thing to understand - remember that the world is ever-changing, ever-flowing. The decisions you make today could bode well or ill. Good and bad results depend on all of us, and do not arise randomly. Everything has reason and purpose. Your ancestors’ spirits do not force absolute views on you, for they cannot. But it would be extremely unwise to ignore them. They know better than we do”;"Il n' y a rien de plus. C'est tout ce qu'on m' a dit ", dit votre chaman, après vous avoir dit beaucoup d'autres choses. "N'oubliez pas ce que les esprits ont dit. Réfléchissez bien à leurs messages."\nVotre chaman fait une pause, avant de continuer, "Le destin est une chose difficile à comprendre - souvenez-vous que le monde est en perpétuel changement, toujours en mouvement. Les décisions que vous prenez aujourd'hui sont de bon augure ou non, car les bons et les mauvais résultats dépendent de nous tous et ne surviennent pas au hasard. Tout a une raison et un but. Les esprits de vos ancêtres ne vous forcent pas à avoir des vues absolues, car ils ne peuvent pas. Mais il serait extrêmement imprudent de les ignorer. Ils savent mieux que nous.";;;;;;;;;;;;x
shaman.32.name;Fate?;Le destin ?;;;;;;;;;;;;x
shaman.32.a;Very well. Thank you.;Très bien. Merci beaucoup.;;;;;;;;;;;;x
shaman.33.desc;“The spirits recognize your advanced age,” the Shaman reports. “They know that soon, you will join them. This will be a troubling time for you, full of worries about what you will leave behind, and anxiety about what you will face. Your ancestors offer you the following guidance - listen closely...”;"Les esprits reconnaissent votre âge avancé", rapporte le chaman. "Ils savent que bientôt, vous les rejoindrez. Ça sera une période troublante pour vous, pleine d'inquiétudes au sujet de ce que vous laisserez derrière vous, et d'anxiété au sujet de ce que vous affronterez. Vos ancêtres vous donnent les conseils suivants : écoutez attentivement...";;;;;;;;;;;;x
shaman.33.a;Hmm.;Hmm.;;;;;;;;;;;;x
shaman.34.desc;The humming tone of the Shaman is unmistakable, the fluidity of his movements, the tranquility with which he moves in nature... The Shaman approaches and greets you, and you stay where you are. The otherworldliness, the powers these Shamans hold - it all still mystifies and fascinates you.;Le ton fredonné du chaman est incomparable, la fluidité de ses mouvements, la tranquillité avec laquelle il bouge dans la nature... Le chaman s'approche et vous salue, et vous restez où vous êtes. L'autre monde, les pouvoirs que détiennent ces chamans - tout cela vous mystifie et vous fascine encore.;;;;;;;;;;;;x
shaman.34.a;Welcome to my court.;Bienvenue dans ma cour.;;;;;;;;;;;;x
shaman.35.desc;I currently do not have a Shaman at my court, and it reflects badly on my rule. Who will travel to the Spirit World to ask my ancestors for advice? Who will pacify the spirits who live in my realm?;Actuellement, je n'ai pas de chaman à ma cour, et cela se répercute mal sur mon règne. Qui se rendra dans le monde des esprits pour demander conseil à mes ancêtres ? Qui pacifiera les esprits qui vivent dans mon royaume ?;;;;;;;;;;;;x
shaman.35.a;I must find a Shaman, and soon!;Je dois trouver un chaman, et bientôt !;;;;;;;;;;;;x
invite_shaman_to_court;Invite Shaman to Court;Inviter un chaman à la cour;;;;;;;;;;;;x
invite_shaman_to_court_desc;Invite a shaman to the court;Inviter un chaman à votre cour;;;;;;;;;;;;x
ask_ancestors_for_advice;Ask Ancestors for Advice;Demander conseil aux ancêtres;;;;;;;;;;;;x
ask_ancestors_for_advice_desc;Ask the Shaman to communicate with your ancestors and get advice;Demander au chaman de communiquer avec vos ancêtres et d'obtenir des conseils.;;;;;;;;;;;;x
#Finnish Pagan Stuff ;;;;;;;;;;;;;;x
great_bear_hunt;Held a Great Bear Hunt;A tenu une Grande Chasse à l'Ours;;;;;;;;;;;;x
great_bear_hunt_desc;This lord recently wenting hunting for a great bear and afterwards the lord held a Karhunpeijaiset celebration.;Ce seigneur est récemment allé chasser un grand ours et par la suite le seigneur a célébré le Karhunpeijaiset.;;;;;;;;;;;;x
bear_hunt_held;Bear Hunt Held;Grande Chasse à l'Ours;;;;;;;;;;;;x
bear_hunt_held_desc;If you see this please tell me in the VIET thread, thanks!;Si vous voyez cela, merci de me le dire dans le VIET thread, merci !;;;;;;;;;;;;x
haltija_good;Friendly Haltija;Haltija amical;;;;;;;;;;;;x
haltija_good_desc;The Haltija (guardian spirits in Finnish paganism) of this province are friendly and helpful towards its people and rulers, and as such this province should prosper more than it normally would from the Haltijas' assistance.;Les Haltija (esprits gardiens dans le paganisme finlandais) de cette province sont amicaux et serviables envers son peuple et ses dirigeants, et, en tant que telle, cette province devrait prospérer plus qu'elle ne le ferait normalement avec l'aide des Haltijas.;;;;;;;;;;;;x
haltija_neutral;Neutral Haltija;Haltija neutre;;;;;;;;;;;;x
haltija_neutral_desc;The Haltija (guardian spirits in Finnish paganism) of this province are neutral towards its people and rulers, and as such this province will experience neither the benefits nor the disasters the Haltija could bring.;Les Haltija (esprits gardiens dans le paganisme finlandais) de cette province sont neutres à l'égard de son peuple et de ses dirigeants, et en tant que telle, cette province ne connaîtra ni les bienfaits ni les désastres que les Haltija pourraient apporter.;;;;;;;;;;;;x
haltija_bad;Unfriendly Haltija;Haltija inamical;;;;;;;;;;;;x
haltija_bad_desc;The Haltija (guardian spirits in Finnish paganism) of this province are unfriendly and distrustful of its people and rulers, and as such this province is not doing as well as it should.;Les Haltija (esprits gardiens dans le paganisme finlandais) de cette province sont hostiles et méfiants à l'égard de son peuple et de ses dirigeants, et en tant que telle, cette province ne fait pas aussi bien qu'elle le devrait.;;;;;;;;;;;;x
haltija_offerings_bad;Haltija Rejected Offerings;Les Haltija ont rejeté les offrandes;;;;;;;;;;;;x
haltija_offerings_bad_desc;This Finnish Pagan's ruler recent attempt to appease the Haltija of his or her realm with offerings has been largely unsuccessful.;La récente tentative de ce dirigeant païen finlandais d'apaiser les Haltija de son royaume par des offrandes a été en grande partie infructueuse.;;;;;;;;;;;;x
haltija_offerings_neutral;Haltija Accepted Offerings;Les Haltija ont accepté les offrandes;;;;;;;;;;;;x
haltija_offerings_neutral_desc;This Finnish Pagan's ruler recent attempt to appease the Haltija of his or her realm with offerings has been somewhat successful, though it did not change the Haltija's attitude.;La récente tentative de ce dirigeant païen finlandais d'apaiser les Haltija de son royaume par des offrandes a été quelque peu réussie, bien qu'elle n'ait pas changé l'attitude des Haltija.;;;;;;;;;;;;x
haltija_offerings_good;Haltija Appreciated Offerings;Les Haltija ont apprécié les offrandes;;;;;;;;;;;;x
haltija_offerings_good_desc;This Finnish Pagan's ruler recent attempt to appease the Haltija of his or her realm with offerings has been largely successful.;La récente tentative de ce dirigeant païen finlandais d'apaiser les Haltija de son royaume par des offrandes a été largement couronnée de succès.;;;;;;;;;;;;x
finnish_unhappy_dead;Parents' Souls are Troubled;L'âme des parents est troublée;;;;;;;;;;;;x
finnish_unhappy_dead_desc;One or both of this person's parents is still traveling to Tuonela (the Finnish Pagan "Spirit World") but is unhappy for some reason, and is thus currently causing some trouble for this person. However, the troubles should end once the parents' spirit finishes traveling to Tuonela.;L'un ou les deux parents de cette personne voyagent toujours dans le Tuonela (royaume des morts de la mythologie finlandaise) mais sont malheureux pour une raison ou une autre, ce qui cause actuellement des problèmes à cette personne. Cependant, les troubles devraient cesser une fois que l'esprit des parents aura fini de voyager à Tuonela.;;;;;;;;;;;;x
finnish.1.desc;Now that I am dead, I shall be traveling to Tuonela, the spirit world! Hopefully my family and friends will cope with the loss.;Maintenant que je suis mort, je vais voyager à Tuonela, le monde des esprits! J'espère que ma famille et mes amis feront face à cette perte.;;;;;;;;;;;;x
finnish.1.a;I hope my children know what they’re doing too.;J'espère que mes enfants savent aussi ce qu'ils font.;;;;;;;;;;;;x
finnish.2.tooltip;Your children prepare the funeral.;Vos enfants préparent les funérailles.;;;;;;;;;;;;x
finnish.2.desc;The funeral procession of your recently deceased parent, [From.GetTitledFirstName], continues to the burial site. On the way, you stop below a chosen tree. Here you make a karsikko marking to remind your parent’s soul that they are no longer among the living. ;La procession funèbre de votre parent récemment décédé, [From.GetTitledFirstName], se poursuit jusqu'au cimetière. En chemin, vous vous arrêtez sous un arbre choisi. Ici, vous faites un marquage karsikko pour rappeler à l'âme de vos parents qu'ils ne sont plus parmi les vivants.;;;;;;;;;;;;x
finnish.2.a;Hopefully [From.GetHerHis] soul will remember and not cause trouble.;Espérons que son âme s'en souviendra et ne causera pas d'ennuis.;;;;;;;;;;;;x
finnish.3.desc;It is time for the great bear hunt and the bear feast, Karhunpeijaiset! You gather all the willing men of your court. As you all prepare for an arduous journey to the den many days away, you all begin to sing the first ritual song. “Where was the Bear born, honeypaw turned around?”;Il est temps pour la Grande Chasse à l'Ours et la fête de l'ours, Karhunpeijaiset ! Vous rassemblez tous les hommes de votre cour. Alors que vous vous préparez tous à un voyage ardu vers la tanière, vous commencez tous à chanter le premier chant rituel. "Où est né l'ours, le miellat est-il sorti ?";;;;;;;;;;;;x
finnish.3.a;“High up in the heavens on the Great Bear’s shoulders...”;"Haut dans le ciel sur les épaules du Grand Ours...";;;;;;;;;;;;x
finnish.4.tooltip;Preparations for the great Bear hunt are made.;Préparation de la Grande Chasse à l'Ours.;;;;;;;;;;;;x
finnish.4.name;To the Bear Den;À la tanière de l'ours;;;;;;;;;;;;x
finnish.4.desc;After several days of preparing, you and your men are ready. The whole journey must be easier for you than the young orphan girl who follows you and the other hunters. This chosen girl is to represent and symbolize the bear’s bride and entice the bear to come outside its den - it would be a disaster to kill a sleeping bear inside its den, a sacrilegious act akin to a thousand murders. The bear must be killed in the heat of battle.\nAs you all walk away from the village, into the wilderness, you and the men sing the proper songs and hymns to the girl: “Come, Maiden, be our journey’s guide! Pitiful one, be our companion. Take us to the hillock, where the where the pines gleam red, and silver are the fir tree branches...”;Après plusieurs jours de préparation, vous et vos hommes êtes prêts. Tout le voyage doit être plus facile pour vous que la jeune orpheline qui vous suit, vous et les autres chasseurs. Cette jeune fille choisie doit représenter et symboliser la mariée de l'ours et inciter l'ours à sortir de sa tanière - ce serait un désastre de tuer un ours endormi dans sa tanière, un acte sacrilège semblable à un millier de meurtres. L'ours doit être tué dans le feu de la bataille. Comme vous vous éloignez tous du village, dans le désert, vous et les hommes chantez les chants et les hymnes appropriés à la jeune fille : "Venez, demoiselle, soyez notre guide de voyage! Pitié, soyez notre compagnon. Emmenez-nous à la colline, où les pins brillent de rouge et l'argent sont les branches de sapin...";;;;;;;;;;;;x
finnish.4.a;Let’s do this.;Faisons ça.;;;;;;;;;;;;x
finnish.5.tooltip;The journey to the Bear's den begins;Le voyage vers la tanière de l'ours commence;;;;;;;;;;;;x
finnish.5.name;Get up, Get Out!;Debout, Dehors !;;;;;;;;;;;;x
finnish.5.desc;A few days later, you finally come upon the bear’s den. The girl has already gone in, singing a hymn, “Forest, favor your hunters! Get up, get out, sooty fellow, get up from the sooty fire...” As you wait, you cannot shake off the feeling of tiredness. Still, you know this is an important task, and you manage keep yourself awake.\n At last, the orphan girl has done her task in awakening the bear, who shouts a mighty roar. The girl scurries outside and behind your men to safety, and the bear follows, charging out of its den. You and the hunters prepare for battle, and you...;Quelques jours plus tard, vous tombez enfin sur la tanière de l'ours. La jeune fille est déjà entrée, en chantant un hymne, "Forêt, favorisez vos chasseurs ! Lève-toi, sors de là, compagnon de suie, lève-toi du feu de suie..." En attendant, vous ne pouvez pas vous débarrasser de ce sentiment de fatigue. Mais vous savez que c'est une tâche importante, et vous vous êtes arrangé pour rester éveillé.\nEnfin, la fille orpheline a accompli sa tâche en réveillant l'ours, qui crie un rugissement puissant. La jeune fille se précipite à l'extérieur et derrière vos hommes pour se mettre en sécurité, et l'ours suit, en chargeant hors de sa tanière. Vous et les chasseurs vous préparez au combat, et vous...;;;;;;;;;;;;x
finnish.5.a;Charge headfirst at the head of your men.;Chargez en premier à la tête de vos hommes.;;;;;;;;;;;;x
finnish.5.b;Stay by the side of your men.;Restez à côté de vos hommes.;;;;;;;;;;;;x
finnish.5.c;Try to stay in the back with the young girl and not get hurt.;Essaie de rester à l'arrière avec la jeune fille et de ne pas vous blesser.;;;;;;;;;;;;x
finnish.6a.tooltip;You bravely fight the bear like a true hero (or maybe like a idiotic madman);Vous combattez courageusement l'ours comme un vrai héros (ou peut-être comme un fou stupide);;;;;;;;;;;;x
finnish.6b.tooltip;You fight the bear along with your men;Vous combattez l'ours avec vos hommes;;;;;;;;;;;;x
finnish.6c.tooltip;You act like a coward;Vous agissez comme un lâche;;;;;;;;;;;;x
finnish.6.name;We Didn't Kill the Bear;Nous n'avons pas tué l'ours;;;;;;;;;;;;x
finnish.6.desc;Glorious! The bear has been killed. But before all of you can celebrate, you must all tell the bear that it was slain not by the hunters, but in an accident. This is so the bear’s soul will be happy so it can reincarnate properly - otherwise, the hunt and feast will be in vain.\n“It wasn’t I who met you, the bear, or any the rest of my mates,” you sing, along with the other men. “You, yourself, fell off the spruce, slipped from the bent bough yourself, pierced your berry-filled belly, shattered your golden maw...” Hopefully you will convince the bear’s soul for now, but only a proper ceremony back home during the Karhunpeijaiset will ensure for certain that the bear’s soul is placated.;Glorieux ! L'ours a été tué. Mais avant que vous puissiez tous faire la fête, vous devez tous dire à l'ours qu'il a été tué non pas par les chasseurs, mais dans un accident. C'est ainsi que l'âme de l'ours sera heureuse pour qu'il puisse se réincarner correctement - autrement, la chasse et la fête seront vaines.\n"Ce n'est pas moi qui vous ai rencontrés, l'ours ou tout autre membre de mes camarades", vous chantez, avec les autres hommes. "Vous êtes vous même tombé de l'épinette, vous avez glissé de la branche cassé, vous avez percé votre ventre rempli de baies, vous avez brisé votre gueule d'or..." Espérons que vous convaincrez l'âme de l'ours pour le moment, mais seule une cérémonie correcte à la maison pendant le Karhunpepeijaiset vous assurera que l'âme de l'ours est apaisée.;;;;;;;;;;;;x
finnish.6.a;It’s time to go back home, then...;Il est temps de rentrer à la maison, alors...;;;;;;;;;;;;x
finnish.7.tooltip;The journey back home begins.;Le voyage de retour commence.;;;;;;;;;;;;x
finnish.7.name;The One with Rough Fur Arrives;Celui qui a la fourrure arrive;;;;;;;;;;;;x
finnish.7.desc;The journey home was even more arduous, though more so because you had to carry the bear’s corpse back and mark your route by slicing off slivers of tree bark. But eventually, you make your way back home, where you are greeted by the whole community.\n“The one with rough fur has arrived!” you and your men shout, careful not to say the actual word for ‘bear’ (the word for such a holy animal is only properly used during hymns after all). “The one with rough fur has arrived! Make way, boys and girls, make way!”\nMeanwhile, some people speak to the bear, to ensure, once more, that its spirit is happy. “We have been awaiting your arrival!” “We are delighted to have you with us!” “Oh, great one with rough fur, we have prepared a lavish feast in your honor!”;Le voyage de retour à la maison était encore plus ardu, mais surtout parce que vous deviez ramener le cadavre de l'ours et marquer votre route en découpant des morceaux d'écorce d'arbre. Mais finalement, vous rentrez chez vous, où toute la communauté vous accueille.\n"Celui avec de la fourrure est arrivé !" vous et vos hommes criez, en prenant garde de ne pas dire le mot même "d'ours" (le mot pour un tel animal sacré n'est utilisé que dans les hymnes, après tout). "Celui avec de la fourrure est arrivé ! Laissez passer, les garçons et les filles, laissez passer !"\nPendant ce temps, certains parlent à l'ours pour s'assurer que son esprit est heureux. " "Nous attendions votre arrivée !" "Nous sommes ravis de vous avoir parmi nous !" "Oh, grand homme à la fourrure, nous avons préparé un festin somptueux en votre honneur !";;;;;;;;;;;;x
finnish.7.a;Now let’s bring it inside.;Maintenant, amenons-le à l'intérieur.;;;;;;;;;;;;x
finnish.8.tooltip;The great bear feast, Karhunpeijaiset, soon begins!;La grande fête de l'ours, Karhunpeijaiset, commence bientôt!;;;;;;;;;;;;x
finnish.8.name;Karhunpeijaiset;Karhunpeijaiset;;;;;;;;;;;;x
finnish.8.desc;Thankfully everyone back home prepared well for the feast while you and the men were away. It is only a short wait before the bear is cooked. The bear’s head, the skull dish, is placed first at the top of the table before you - the bear’s head is the most sacred, so it is only proper. Then, the other dishes are placed, including the main meal, a special pea soup made with the bear’s head, paws, and other magical parts of its body.\nAs you and everyone else feasts, you all sing a hymn. “I'll take the Bear’s ear for my own ear, along with the ear before, to sharpen my own hearing...”;Heureusement, tout le monde s'est bien préparé pour la fête pendant que vous et les hommes étiez partis. Il suffit d'une courte attente avant que l'ours ne soit cuit. La tête de l'ours, le plat du crâne, est placé d'abord en haut de la table avant vous - la tête de l'ours est la plus sacrée, c'est évident. Ensuite, les autres plats sont placés, y compris le repas principal, une soupe aux pois spéciale faite avec la tête de l'ours, les pattes, et d'autres parties magiques de son corps.\nComme vous et tous les autres, vous festoyez et vous chantez un hymne. "Je remplacerai mon oreille par l'oreille de l'Ours, pour aiguiser ma propre ouïe...";;;;;;;;;;;;x
finnish.8.a;“I'll take the Bear’s nose and leave him with no scent...”;"Je vais prendre le nez de l'Ours et je ne laisserai aucune odeur...";;;;;;;;;;;;x
finnish.9.tooltip;The feasting continues;La fête continue;;;;;;;;;;;;x
finnish.9.name;Burying the Bones;Enterrer les os;;;;;;;;;;;;x
finnish.9.desc;The feast is finished after many days of eating and drinking. There too were many amusements, and everyone (including you) had to perform something for everyone else, be it singing, storytelling, joking, or something else. Nevertheless, the Bear’s body has been picked clean, with nothing but bones left. These bones must be buried, while the skull will be placed high on the branches of a special ‘kallohonka’ or skull tree.\nEveryone sings the proper hymns as the bear’s skull and bones are carried to the designated burial site. “Golden one, get on your way, money precious get moving, along the golden lane, along the silver road! You'll not be taken far from here...”;La fête est terminée après de nombreux jours de repas et de boissons. Il y avait aussi beaucoup de divertissements, et tout le monde (y compris vous) devait jouer quelque chose pour tout le monde, que ce soit chanter, raconter des histoires, plaisanter ou autre chose. Néanmoins, le corps de l'ours a été nettoyé, il ne reste plus que des os. Ces os doivent être enterrés, tandis que le crâne sera placé haut sur les branches d'un kallohonka spécial ou d'un crâne.\n Tout le monde chante les hymnes appropriés comme le crâne de l'ours et les os sont transportés au site d'enterrement désigné. "Celle en or, continuez votre route, l'argent précieux se déplace, tout au long de la voie en or, le long de la route d'argent ! Vous ne serez pas loin d'ici...";;;;;;;;;;;;x
finnish.9.a;“Just to a pine tree on a hill, a juniper at the field's far edge...”;"Juste à un pin sur une colline, un genévrier à l'autre bout du champ...";;;;;;;;;;;;x
finnish.10.tooltip;The Karhunpeijaiset comes to an end.;Le Karhunpeijaiset prend fin.;;;;;;;;;;;;x
finnish.10.desc;So ends the bear hunt and Karhunpeijaiset or bear feast. You, the hunters, the accompanying orphan girl, and everyone else congratulate each other on a job well done. The bear’s skull will stay on the pine tree for years to come, and remind all of this moment.;Ainsi finit la chasse à l'ours et le Karhunpeijaiset ou la fête de l'ours. Vous, les chasseurs, la fille orpheline qui l'accompagne et tous les autres se félicitent pour le travail bien fait. Le crâne de l'ours restera sur le pin pour les années à venir, et tout le monde se rappellera de ce moment.;;;;;;;;;;;;x
finnish.10.a;It is time to return to normal life, unfortunately...;Il est temps de revenir à une vie normale, malheureusement...;;;;;;;;;;;;x
finnish.11.desc;The local shamans have identified the local Haltija, or guardian spirits, who protect the province of [Root.GetName]. You’ve just visited there to give them offerings and pray that they will prove amiable and helpful.;Les chamans locaux ont identifié les Haltija locaux, ou esprits gardiens, qui protègent la province de [Root.GetName]. Vous venez de vous y rendre pour leur donner des offrandes et prier pour qu'ils soient aimables et serviables.;;;;;;;;;;;;x
finnish.11.a;Let’s hope this works...;Espérons que ça marche...;;;;;;;;;;;;x
