#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Misc events, decisions, modifiers;;;;;;;;;;;;x
###### Georgian Schism;;;;;;;;;;;;x
GEORGIAN.1.title;The Georgian Church;L'Église géorgienne;;;La iglesia Georgiana;;;;;;;x
EVTOPTA_guard_3121;Tell me of your battles, [From.GetFirstName]...;Raconte-moi tes exploits, [From.GetFirstName]...;;;Cuéntame de tus batallas, [From.GetFirstName] ...;;;;;;;x
EVTDESC_guard_3123;[From.GetTitledFirstName] has returned from Greece and the Scholae Palatinae, but he refuses to speak of his experiences there. You know he took part in several battles and killed many foes, but instead of reveling in the glory of his accomplishments, [From.GetFirstName] is plagued by nightmares and jumps at sudden sounds.;[From.GetTitledFirstName] est de retour de Grèce et du Scholae Palatinae, mais refuse de parler de son expérience là-bas. Vous savez qu'il a pris part à plusieurs batailles et qu'il a eu raison de nombreux ennemis, mais au lieu de raconter ses glorieux exploits, [From.GetFirstName] fait des cauchemars toutes les nuits et sursaute au moindre bruit.;;;[From.GetTitledFirstName] ha regresado de Grecia y Scholae Palatinae, pero se niega a hablar de sus experiencias allí. Sabes que tomó parte en varias batallas y mató a muchos enemigos, pero en lugar de deleitarse en la gloria de sus logros, [From.GetFirstName] está plagado de pesadillas y salta a sonidos repentinos.;;;;;;;x
EVTOPTA_guard_3123;Strange...;Étrange...;;;Extraño...;;;;;;;x
EVTDESC_guard_3125;[From.GetTitledFirstName] has come home from the Eastern Empire and his service with the Scholae Palatinae, but he is not alone. He has found a Greek wife and brought her with him. She is not familiar with our customs or language, and the climate does not seem to agree with her, but she seems willing to make the best of her new home.;[From.GetTitledFirstName] est de retour de l'Empire d'Orient et de son service dans le Scholae Palatinae, mais il ne revient pas seul. Il s'est marié à une Grecque et l'a ramenée avec elle. Elle n'est pas habituée à nos coutumes et à notre langue, et ne semble pas apprécier notre climat, mais elle semble vouloir faire d'ici son chez-soi.;;;[From.GetTitledFirstName] ha llegado a casa desde el Imperio del Este y su servicio con las Scholae Palatinae, pero no está solo. Él ha encontrado una esposa griega y la ha traído con él. No está familiarizada con nuestras costumbres o nuestro idioma, y el clima no parece estar de acuerdo con ella, pero parece dispuesta a sacar lo mejor de su nuevo hogar.;;;;;;;x
EVTOPTA_guard_3125;Welcome!;Bienvenu !;;;¡Bienvenido!;;;;;;;x
EVTDESC_guard_3127;After many years in Greece, [From.GetTitledFirstName] has finally been released from his service to the Scholae Palatinae and returned home. Your son is a changed man, however. The old gods no longer hold any interest for him, and he instead speaks incessantly of Christendom and the horrors that await those who refuse to convert...;Après plusieurs années en Grèce, [From.GetTitledFirstName] a enfin été dégagé de ses fonctions dans le Scholae Palatinae et est rentré au bercail. Votre fils est cependant un homme changé. Les Anciens Dieux ne l'intéressent plus et il parle sans cesse du royaume des chrétiens et des horreurs qui s'abattront sur ceux qui refusent de se convertir...;;;Después de muchos años en Grecia, [From.GetTitledFirstName] finalmente fue liberado de su servicio a Scholae Palatinae y regresó a casa. Sin embargo, su hijo es un hombre cambiado. Los viejos dioses ya no tienen ningún interés por él, y en cambio habla incesantemente de la cristiandad y de los horrores que aguardan a los que se niegan a convertirse ...;;;;;;;x
EVTOPTA_guard_3127;May the gods have mercy...;Que les dieux aient pitié...;;;¡Que los dioses tengan piedad!;;;;;;;x
EVTDESC_guard_3129;[From.GetTitledFirstName] has returned from the Eastern Empire and the Scholae Palatinae as a changed man. He is wiser, more confident in his own abilities and more knowledgeable in matters of war. It seems the time spent in Greece did him good.;[From.GetTitledFirstName] est de retour de l'Empire d'Orient et du Scholae Palatinae et c'est un homme changé. Il est plus sage, plus sûr de lui et connaît très bien l'art de la guerre. Le temps qu'il a passé en Grèce semble lui avoir fait du bien.;;;[From.GetTitledFirstName] ha regresado del Imperio de Oriente y Scholae Palatinae como un hombre cambiado. Él es más sabio, tiene más confianza en sus propias habilidades y está más informado en materia de guerra. Parece que el tiempo pasado en Grecia le hizo bien.;;;;;;;x
EVTOPTA_guard_3129;Welcome home, [From.GetFirstName]!;Bienvenue chez toi, [From.GetFirstName] !;;;¡Bienvenido a casa, [From.GetFirstName]!;;;;;;;x
EVTDESC_guard_3131;Several former Scholians have recently returned home after serving the Eastern Emperor, and they bring news most grave. Your son, [From.GetTitledFirstName], fell in battle while campaigning in the East. They assure you that he faced his enemy with bravery and slew many before their numbers overwhelmed him.;Plusieurs anciens membres du Scholae Palatinae sont de retour de leur service pour l'Empereur d'Orient depuis peu et ils apportent de mauvaises nouvelles. Votre fils, [From.GetTitledFirstName], est tombé au combat lors de la campagne d'Orient. Ils vous assurent qu'il a affronté l'ennemi avec bravoure et qu'il en a tué plusieurs avant qu'ils aient eu raison de lui.;;;Varios ex Escolares han vuelto a casa recientemente después de servir al Emperador del Este, y traen las noticias más graves. Su hijo, [From.GetTitledFirstName], cayó en batalla mientras hacía campaña en el Este. Le aseguran que enfrentó a su enemigo con valentía y mató a muchos antes de que sus números lo abrumaran.;;;;;;;x
EVTOPTA_guard_3131;He died a hero...;Il est mort en héros...;;;Murió como un héroe...;;;;;;;x
EVTDESC_guard_3133;[From.GetTitledFirstName] has at last returned from Greece on a ship filled with the spoils of war! Apparently the great Emperor is generous to those who serve him well, and there is gold here from all over the Greek realm, the Orient and beyond. Your son insists on sharing these riches with you, his loving father.;[From.GetTitledFirstName] est enfin de retour de Grèce, à bord d'un bateau contenant un impressionnant butin de guerre ! Le grand Empereur est apparemment très généreux envers ceux qui le servent bien, et il y a de l'or de tous les coins de la Grèce, de l'Orient et de plus loin encore. Votre fils insiste pour partager ses richesses avec vous, son père bien-aimé.;;;[From.GetTitledFirstName] por fin ha regresado de Grecia en un barco lleno del botín de guerra. Aparentemente, el gran Emperador es generoso con aquellos que le sirven bien, y hay oro aquí en todo el reino griego, el Oriente y más allá. Su hijo insiste en compartir estas riquezas contigo, su amado padre.;;;;;;;x
EVTOPTA_guard_3133;[From.GetFirstName], you make me proud!;[From.GetFirstName], tu me remplis de fierté !;;;[From.GetFirstName], ¡me haces sentir orgulloso!;;;;;;;x
EVTDESC_guard_3134;Upon learning of the death of your father, you left the Scholae Palatinae and departed Greece for home on a ship filled with loot from your campaigns in the Orient. It was a long and perilous journey back, but your feet are now firmly planted on the soil of the land that is your birthright. The throne is yours.;Après avoir appris la mort de votre père, vous avez abandonné le Scholae Palatinae et quittez la Grèce sur un bateau pour rentrer au bercail, rapportant un important butin amassé lors de vos campagnes en Orient. Le voyage du retour fut long et périlleux, mais vos pieds foulent maintenant la terre ferme, cette terre dont vous êtes l'héritier. Le trône est à vous.;;;Al enterarse de la muerte de su padre, dejó la Scholae Palatinae y partió de Grecia a su casa en un barco lleno de botín de sus campañas en Oriente. Fue un largo y peligroso viaje de regreso, pero tus pies ahora están firmemente plantados en el suelo de la tierra que es tu derecho de nacimiento. El trono es tuyo.;;;;;;;x
EVTOPTA_guard_3134;It is as I remember it.;C'est comme dans mes souvenirs.;;;Está como yo recordaba.;;;;;;;x
EVTNAME_guard_31002;The Scholae Palatinae;Le Scholae Palatinae;;;The Scholae Palatinae;;;;;;;x
EVTDESC_guard_31002;In the fourth century, emperor Constantine I the Great created the Scholae Palatinae as an elite guards unit of about 6,000 soldiers, and to replace the deceitful Praetorian Guard. Gradually however, the ease of palace life and lack of actual campaigning, as the Emperors ceased to take the field themselves, lessened their combat abilities. The Scholae Palatinae became mostly a honorary and representative unit. \nWith the recent dangers to being an Emperor of the West, it has become necessary to provide a better guard for your safety. Reorganized to once more provide real combat ability, this elite corps of soldiers will ensure the Emperor will never fear again.;Durant le quatrième siècle, l'empereur Constantin Ier a créé le Scholae Palatinae en tant que corps de garde d'environ 6 000 soldats, pour remplacer la garde prétorienne déloyale. Cependant le confort de la vie de palais et le manque de participation dans de véritables campagnes ont progressivement diminué les capacités de combat de la garde, tandis que les empereurs ont cessé de se rendre au combat eux-mêmes. Le Scholae Palatinae est ainsi devenu une unité plutôt honorifique et représentative. \nAvec les récents dangers d'être un empereur d'Occident, il est devenu nécessaire de fournir une meilleure protection pour votre sécurité. Réorganiser le Scholae Palatinae, ce corps d'élite de soldats assurera à l'Empereur de ne jamais avoir à craindre à nouveau.;;;En el siglo IV, el emperador Constantino I el Grande creó la Scholae Palatinae como una unidad de guardias de élite de alrededor de 6.000 soldados, y para reemplazar a la engañosa Guardia Pretoriana. Poco a poco, sin embargo, la facilidad de la vida en el palacio y la falta de una campaña real, ya que los emperadores dejaron de tomar el campo ellos mismos, disminuyeron sus habilidades de combate. Scholae Palatinae se convirtió en su mayoría en una unidad honoraria y representativa. \nCon los recientes peligros de ser un Emperador de Occidente, ha sido necesario proporcionar una mejor protección para su seguridad. Reorganizado para proporcionar una vez más capacidad real de combate, este cuerpo de élite de soldados se asegurará de que el Emperador nunca más tenga miedo.;;;;;;;x
EVTOPTA_guard_31002;Long live the order!;Longue vie à l'ordre !;;;¡Larga vida a la orden!;;;;;;;x
EVTDESC_guard_31012;[From.GetFirstName], the Emperor of the West, has reorganized the Scholae Palatinae to better protect imperial interests. This elite corps has the potential of granting great prestige and honor, and many young men are joining it.;[From.GetFirstName], l'empereur d'Occident, a formé un nouveau garde, le Scholae Palatinae pour mieux protéger les intérêts impériaux. Ce corps d'élite a le potentiel d'accorder un grand prestige et honneur, ainsi que beaucoup de jeunes hommes qui se joindront à lui.;;;[From.GetFirstName], el Emperador de Occidente, ha reorganizado las Scholae Palatinae para proteger mejor los intereses imperiales. Este cuerpo de élite tiene el potencial de otorgar gran prestigio y honor, y muchos jóvenes se unen a él.;;;;;;;x
EVTOPTA_guard_31012;Interesting developments...;Des développements intéressants...;;;Avances interesantes...;;;;;;;x
EVTOPTA_guard_31102;I won't allow it!;Je ne le permettrai pas !;;;¡No lo permitiré!;;;;;;;x
EVTDESC_guard_31102;Your son, [From.GetTitledFirstName], has decided that he wants to enlist in the noble Scholae Palatinae. There is a good chance of prestige and glory, but he may not come back alive.;Votre fils, [From.Get_le_Title][From.GetTitledFirstName], a décidé de s'enrôler dans la noble Scholae Palatinae. Il y a des grandes chances de gagner du prestige et de la gloire, mais les nombreux dangers pourront lui coûter la vie.;;;Su hijo, [From.GetTitledFirstName], ha decidido que quiere alistarse en la noble Scholae Palatinae. Hay una buena posibilidad de prestigio y gloria, pero es posible que no regrese vivo.;;;;;;;x
EVTOPTB_guard_31102;Let him go;Laissez le partir;;;Déjalo partir;;;;;;;x
EVTDESC_guard_31122;A grizzled old warrior having just returned from Italia arrived with a message from [From.GetTitledFirstName] today. Though he has left the Scholae Palatinae, your son has apparently found himself a Roman wife and decided to remain in the imperial capital and build a new life there. It is doubtful whether you will ever see him again...;Un vieux guerrier grisonnant est revenu aujourd'hui de Grèce portant un message pour [From.GetTitledFirstName]. Bien qu'il ait quitté le Scholae Palatinae, votre fils s'est apparemment trouvé une épouse romaine et a décidé de rester à la capitale impériale pour y refaire sa vie. Vous ne le reverrez probablement plus jamais...;;;Un viejo guerrero canoso que acaba de regresar de Grecia llegó hoy con un mensaje de [From.GetTitledFirstName]. A pesar de que dejó la Scholae Palatinae, su hijo aparentemente se encontró a sí mismo como una esposa griega y decidió quedarse en Constantinopla y construir una nueva vida allí. Es dudoso que alguna vez lo vuelvas a ver ...;;;;;;;x
EVTOPTA_guard_31122;My son....;Mon fils...;;;Mi hijo...;;;;;;;x
EVTDESC_guard_31132;After finishing his service with the Scholae Palatinae, [From.GetTitledFirstName] has married a local woman and decided to remain in the imperial capital instead of returning home to the barbaric land he once came from. He has pledged his continued service to you.;Après avoir terminé son service dans le Scholae Palatinae, [From.GetTitledFirstName] s'est marié à une femme du pays et a décidé de rester dans la capitale impériale au lieu de retourner en terre natale barbare. Il s'est engagé à toujours vous servir.;;;Después de terminar su servicio con las Scholae Palatinae, [From.GetTitledFirstName] se casó con una mujer local y decidió quedarse en Constantinopla en lugar de regresar a casa a la tierra bárbara de la que una vez vino. Él ha prometido continuar su servicio.;;;;;;;x
EVTOPTA_guard_31132;Very well...;Très bien...;;;Muy bien...;;;;;;;x
EVTDESC_guard_31152;A heavily scarred warrior clad in Roman armor approaches your throne, and before he can be disarmed, the stranger relieves your guard of his spear in a swift, fluid motion and tosses it aside. Other guards hurry forward, but you raise your hand to stop them. The stranger is [From.GetTitledFirstName], at last returned from Italia!;Un guerrier profondément balafré, revêtu d'une étrange armure, s'approche de votre trône et, avant qu'on n'ait pu le désarmer, l'étranger, d'un mouvement prompt et adroit, désarme votre garde et jette sa lance par terre. Les autres gardes s'approchent en vitesse, mais vous levez votre bras pour les arrêter. L'étranger est [From.GetTitledFirstName], enfin revenu d'Italie !;;;Un guerrero con cicatrices y vestido con armadura griega se acerca a tu trono, y antes de que pueda ser desarmado, el desconocido alivia tu guardia de su lanza en un movimiento rápido y fluido y la arroja a un lado. Otros guardias se apresuran hacia adelante, pero levantas la mano para detenerlos. ¡El extraño es [From.GetTitledFirstName], finalmente devuelto de Grecia!;;;;;;;x
EVTOPTA_guard_31152;[From.GetFirstName]! You've... changed!;[From.GetFirstName]! Tu as... changé !;;;[From.GetFirstName]! ¡Has cambiado!;;;;;;;x
EVTDESC_guard_31172;Your son, [From.GetTitledFirstName], has finally returned home from Italia and his service with the Scholae Palatinae! Although you can't quite put your finger on it, he seems different somehow... and what is this Greek love he speaks of?;Votre fils, [From.GetTitledFirstName], est finalement revenu d'Italie et de son service dans le Scholae Palatinae ! Bien que vous ne pouvez encore dire pourquoi, il semble quelque peu différent... Serait-ce cet 'amour grec' dont il parle ?;;;¡Tu hijo, [From.GetTitledFirstName], finalmente ha regresado a casa desde Grecia y su servicio con Schola Palatinae! Aunque no puedes ponerle el dedo encima, de alguna manera parece diferente ... ¿y de qué es este amor griego del que habla?;;;;;;;x
EVTOPTA_guard_31172;No matter, I'm just glad he made it home!;Ça ne fait rien, son retour me fait grand plaisir !;;;No importa, ¡me alegro de que haya llegado a casa!;;;;;;;x
EVTDESC_guard_31192;A frail, robed man is led into your throne room, and your guards explain that he just arrived on a ship coming from the imperial capital. The man would only speak your name over and over again, and so he was brought to you. To your horror, you recognize him at last as [From.GetTitledFirstName]!;Un homme frêle et vêtu d'une robe est mené dans votre salle du trône et vos gardes expliquent qu'il vient tout juste de débarquer d'un navire en provenance de la capitale impériale. L'homme répétait inlassablement le même mot : votre nom. Vous frémissez d'horreur en le reconnaissant, c'est [From.GetTitledFirstName] !;;;Un hombre frágil y mal vestido es llevado a la sala del trono, y los guardias te explican que acaba de llegar en un barco procedente de Constantinopla. El hombre solo decía tu nombre una y otra vez, y entonces él fue traído a ti. Para tu horror, lo reconoces al fin como [From.GetTitledFirstName] ;;;;;;;x
EVTOPTA_guard_31192;My son! What has happened!;Ça ne fait rien, son retour me fait grand plaisir !;;;¡Hijo mío!!Que te ha pasado!;;;;;;;x
EVTDESC_guard_31212;[From.GetTitledFirstName] has finally returned home after a long and successful career in the Scholae Palatinae! He fought in several battles, and learned much from the clever strategies and tactics favored by both the Romans and their enemies.;[From.GetTitledFirstName] est finalement de retour au bercail après une fructueuse et longue carrière dans le Scholae Palatinae ! Il a pris part à plusieurs batailles et a beaucoup appris sur les adroites stratégies et les tactiques utilisées par les Romains et leurs ennemis.;;;[From.GetTitledFirstName] finalmente ha regresado a casa después de una larga y exitosa carrera en Scholae Palatinae. Luchó en varias batallas y aprendió mucho de las estrategias y tácticas inteligentes que favorecían tanto a los griegos como a sus enemigos en Persia.;;;;;;;x
EVTOPTA_guard_31212;Tell me of your battles, [From.GetFirstName]...;Raconte-moi tes exploits, [From.GetFirstName]...;;;Cuéntame de tus batallas, [From.GetFirstName] ...;;;;;;;x
EVTDESC_guard_31232;[From.GetTitledFirstName] has returned from Italia and the Scholae Palatinae, but he refuses to speak of his experiences there. You know he took part in several battles and killed many foes, but instead of reveling in the glory of his accomplishments, [From.GetFirstName] is plagued by nightmares and jumps at sudden sounds.;[From.GetTitledFirstName] est de retour d'Italie et du Scholae Palatinae, mais refuse de parler de son expérience là-bas. Vous savez qu'il a pris part à plusieurs batailles et qu'il a eu raison de nombreux ennemis, mais au lieu de raconter ses glorieux exploits, [From.GetFirstName] fait des cauchemars toutes les nuits et sursaute au moindre bruit.;;;[From.GetTitledFirstName] ha regresado de Grecia y Scholae Palatinae, pero se niega a hablar de sus experiencias allí. Sabes que tomó parte en varias batallas y mató a muchos enemigos, pero en lugar de deleitarse en la gloria de sus logros, [From.GetFirstName] está plagado de pesadillas y salta a sonidos repentinos.;;;;;;;x
EVTOPTA_guard_31232;Strange...;Étrange...;;;Extraño...;;;;;;;x
EVTDESC_guard_31252;[From.GetTitledFirstName] has come home from the Western Empire and his service with the Scholae Palatinae, but he is not alone. He has found a Roman wife and brought her with him. She is not familiar with our customs or language, and the climate does not seem to agree with her, but she seems willing to make the best of her new home.;[From.GetTitledFirstName] est de retour de l'Empire d'Occident et de son service dans le Scholae Palatinae, mais il ne revient pas seul. Il s'est marié à une Romaine et l'a ramenée avec elle. Elle n'est pas habituée à nos coutumes et à notre langue, et ne semble pas apprécier notre climat, mais elle semble vouloir faire d'ici son chez-soi.;;;[From.GetTitledFirstName] ha llegado a casa desde el Imperio del Este y su servicio con las Scholae Palatinae, pero no está solo. Él ha encontrado una esposa griega y la ha traído con él. No está familiarizada con nuestras costumbres o nuestro idioma, y el clima no parece estar de acuerdo con ella, pero parece dispuesta a sacar lo mejor de su nuevo hogar.;;;;;;;x
EVTOPTA_guard_31252;Welcome!;Bienvenu !;;;¡Bienvenido!;;;;;;;x
EVTDESC_guard_31272;After many years in Italia, [From.GetTitledFirstName] has finally been released from his service to the Scholae Palatinae and returned home. Your son is a changed man, however. The old gods no longer hold any interest for him, and he instead speaks incessantly of Christendom and the horrors that await those who refuse to convert...;Après plusieurs années en Italie, [From.GetTitledFirstName] a enfin été dégagé de ses fonctions dans le Scholae Palatinae et est rentré au bercail. Votre fils est cependant un homme changé. Les Anciens Dieux ne l'intéressent plus et il parle sans cesse du royaume des chrétiens et des horreurs qui s'abattront sur ceux qui refusent de se convertir...;;;Después de muchos años en Grecia, [From.GetTitledFirstName] finalmente fue liberado de su servicio a Scholae Palatinae y regresó a casa. Sin embargo, su hijo es un hombre cambiado. Los viejos dioses ya no tienen ningún interés por él, y en cambio habla incesantemente de la cristiandad y de los horrores que aguardan a los que se niegan a convertirse ...;;;;;;;x
EVTOPTA_guard_31272;May the gods have mercy...;Que les dieux aient pitié...;;;¡Que los dioses tengan piedad!;;;;;;;x
EVTDESC_guard_31292;[From.GetTitledFirstName] has returned from the Western Empire and the Scholae Palatinae as a changed man. He is wiser, more confident in his own abilities and more knowledgeable in matters of war. It seems the time spent in Italia did him good.;[From.GetTitledFirstName] est de retour de l'Empire d'Occident et du Scholae Palatinae et c'est un homme changé. Il est plus sage, plus sûr de lui et connaît très bien l'art de la guerre. Le temps qu'il a passé en Italie semble lui avoir fait du bien.;;;[From.GetTitledFirstName] ha regresado del Imperio de Oriente y Scholae Palatinae como un hombre cambiado. Él es más sabio, tiene más confianza en sus propias habilidades y está más informado en materia de guerra. Parece que el tiempo pasado en Grecia le hizo bien.;;;;;;;x
EVTOPTA_guard_31292;Welcome home, [From.GetFirstName]!;Bienvenue chez toi, [From.GetFirstName] !;;;¡Bienvenido a casa, [From.GetFirstName]!;;;;;;;x
EVTDESC_guard_31312;Several former Scholians have recently returned home after serving the Western Emperor, and they bring news most grave. Your son, [From.GetTitledFirstName], fell in battle while campaigning in the West. They assure you that he faced his enemy with bravery and slew many before their numbers overwhelmed him.;Plusieurs anciens membres du Scholae Palatinae sont de retour de leur service pour l'Empereur d'Occident depuis peu et ils apportent de mauvaises nouvelles. Votre fils, [From.GetTitledFirstName], est tombé au combat lors de la campagne d'Occident. Ils vous assurent qu'il a affronté l'ennemi avec bravoure et qu'il en a tué plusieurs avant qu'ils aient eu raison de lui.;;;Varios ex Escolares han vuelto a casa recientemente después de servir al Emperador del Este, y traen las noticias más graves. Su hijo, [From.GetTitledFirstName], cayó en batalla mientras hacía campaña en el Este. Le aseguran que enfrentó a su enemigo con valentía y mató a muchos antes de que sus números lo abrumaran.;;;;;;;x
EVTOPTA_guard_31312;He died a hero...;Il est mort en héros...;;;Murió como un héroe...;;;;;;;x
EVTDESC_guard_31332;[From.GetTitledFirstName] has at last returned from Italia on a ship filled with the spoils of war! Apparently the great Emperor is generous to those who serve him well, and there is gold here from all over the Roman realm, the Orient and beyond. Your son insists on sharing these riches with you, his loving father.;[From.GetTitledFirstName] est enfin de retour de Italie, à bord d'un bateau contenant un impressionnant butin de guerre ! Le grand Empereur est apparemment très généreux envers ceux qui le servent bien, et il y a de l'or de tous les coins de l'Italie, de l'Orient et de plus loin encore. Votre fils insiste pour partager ses richesses avec vous, son père bien-aimé.;;;[From.GetTitledFirstName] por fin ha regresado de Grecia en un barco lleno del botín de guerra. Aparentemente, el gran Emperador es generoso con aquellos que le sirven bien, y hay oro aquí en todo el reino griego, el Oriente y más allá. Su hijo insiste en compartir estas riquezas contigo, su amado padre.;;;;;;;x
EVTOPTA_guard_31332;[From.GetFirstName], you make me proud!;[From.GetFirstName], tu me remplis de fierté !;;;[From.GetFirstName], ¡me haces sentir orgulloso!;;;;;;;x
EVTDESC_guard_31342;Upon learning of the death of your father, you left the Scholae Palatinae and departed Italia for home on a ship filled with loot from your campaigns in the West. It was a long and perilous journey back, but your feet are now firmly planted on the soil of the land that is your birthright. The throne is yours.;Après avoir appris la mort de votre père, vous avez abandonné le Scholae Palatinae et quittez l'Italie sur un bateau pour rentrer au bercail, rapportant un important butin amassé lors de vos campagnes en Occident. Le voyage du retour fut long et périlleux, mais vos pieds foulent maintenant la terre ferme, cette terre dont vous êtes l'héritier. Le trône est à vous.;;;Al enterarse de la muerte de su padre, dejó la Scholae Palatinae y partió de Grecia a su casa en un barco lleno de botín de sus campañas en Oriente. Fue un largo y peligroso viaje de regreso, pero tus pies ahora están firmemente plantados en el suelo de la tierra que es tu derecho de nacimiento. El trono es tuyo.;;;;;;;x
EVTOPTA_guard_31342;It is as I remember it.;C'est comme dans mes souvenirs.;;;Está como yo recordaba.;;;;;;;x
EVTNAME_guard_31003;The Praetorian Guard;La garde prétorienne;;;;;;;;;;x
EVTDESC_guard_31003;In the fourth century, emperor Constantine I the Great disbanded the deceitful Praetorian Guard and created the Scholae Palatinae to replace them. Now however, with the Western Scholae Palatinae non-existent and with the recent dangers to being [From.GetPrimaryTitles], it has become necessary to provide a better guard for your safety. Recreated in the old fashion, the elite Praetorian Guards will ensure the Emperor will never fear again.;Au quatrième siècle, l'empereur Constantin Ier le Grand a dissous la fourbe garde prétorienne et a créé la Scholae Palatinae pour les remplacer. Aujourd'hui cependant, comme le Scholae Palatinae occidental est désormais inexistant et avec les dangers récents d'être [From.GetPrimaryTitles], il est devenu nécessaire de fournir une meilleure garde pour votre sécurité. Recréées à l'ancienne, les gardes prétoriennes d'élite veilleront à ce que l'empereur ne craigne plus jamais rien.;;;;;;;;;;x
EVTOPTA_guard_31003;Long live the order!;Longue vie à l'ordre !;;;¡Larga vida a la orden!;;;;;;;x
EVTDESC_guard_31013;[From.GetFirstName], the [From.GetRulerTitle] of [From.PrimaryTitle.GetFullName], has reorganized the Praetorian Guard to better protect imperial interests. This elite corps has the potential of granting great prestige and honor, and many young men are joining it.;[From.GetFirstName], [From.GetPrimaryTitles], a réorganisé la garde prétorienne pour mieux protéger les intérêts impériaux. Ce corps d'élite a le potentiel d'accorder beaucoup de prestige et d'honneur, et beaucoup de jeunes hommes s'y joignent.;;;;;;;;;;x
EVTOPTA_guard_31013;Interesting developments...;Des développements intéressants...;;;Avances interesantes...;;;;;;;x
# Another guard
EVTNAME_guard_31001;The Excubitors;Les Excubites;;;Los Excubitores;;;;;;;x
EVTDESC_guard_31001;With the recent dangers to being an Emperor of the East, it has become necessary to provide a better guard for your safety. Named the Excubitors, this elite corps of soldiers will ensure the Emperor will never fear again.;Avec les récents dangers d'être un empereur d'Orient, il est devenu nécessaire de fournir une meilleure protection pour votre sécurité. Nommer les Excubites, ce corps d'élite de soldats assurera à l'Empereur de ne jamais avoir à craindre à nouveau.;;;Con los recientes peligros de ser un Emperador de Oriente, se ha vuelto necesario proporcionar una mejor protección para su seguridad. Nombrados los Excubitores, este cuerpo de élite de soldados se asegurará de que el Emperador nunca más tenga miedo.;;;;;;;x
EVTOPTA_guard_31001;Long live the order!;Longue vie à l'ordre !;;;¡Larga vida a la orden!;;;;;;;x
EVTDESC_guard_31011;[From.GetFirstName], the Emperor of the East, has formed a new guard, the Excubitors to better protect imperial interests. This elite corps has the potential of granting great prestige and honor, and many young men are joining it.;[From.GetFirstName], l'empereur d'Orient, a formé un nouveau garde, les Excubites pour mieux protéger les intérêts impériaux. Ce corps d'élite a le potentiel d'accorder un grand prestige et honneur, ainsi que beaucoup de jeunes hommes qui se joindront à lui.;;;[From.GetFirstName], el Emperador de Oriente, ha formado una nueva guardia, los Excubitores para proteger mejor los intereses imperiales. Este cuerpo de élite tiene el potencial de otorgar gran prestigio y honor, y muchos jóvenes se unen a él.;;;;;;;x
EVTOPTA_guard_31011;Interesting developments...;Des développements intéressants...;;;Avances interesantes...;;;;;;;x
EVTOPTA_guard_31101;I won't allow it!;Je ne le permettrai pas !;;;¡No lo permitiré!;;;;;;;x
EVTDESC_guard_31101;Your son, [From.GetTitledFirstName], has decided that he wants to enlist in the nobles Excubites. There is a good chance of prestige and glory, but he may not come back alive.;Votre fils, [From.GetTitledFirstName], a décidé qu'il veut s'enrôler dans les nobles Excubites. Il y a des grandes chances de gagner du prestige et de la gloire, mais les nombreux dangers pourront lui coûter la vie.;;;Su hijo, [From.GetTitledFirstName], ha decidido que quiere alistarse en los nobles Excubitas. Hay una buena posibilidad de prestigio y gloria, pero es posible que no regrese vivo.;;;;;;;x
EVTOPTB_guard_31101;Let him go;Laissez le partir;;;Dejalo partir;;;;;;;x
EVTDESC_guard_31121;A grizzled old warrior having just returned from Greece arrived with a message from [From.GetTitledFirstName] today. Though he has left the Excubitors, your son has apparently found himself a Greek wife and decided to remain in Constantinople and build a new life there. It is doubtful whether you will ever see him again...;Un vieux guerrier grisonnant est revenu aujourd'hui de Grèce portant un message pour [From.GetTitledFirstName]. Bien qu'il ait quitté les Excubites, votre fils s'est apparemment trouvé une épouse grecque et a décidé de rester à Constantinople pour y refaire sa vie. Vous ne le reverrez probablement plus jamais...;;;Un viejo guerrero canoso que acaba de regresar de Grecia llegó hoy con un mensaje de [From.GetTitledFirstName]. Aunque dejó los Excubitores, su hijo aparentemente se encontró a sí mismo como una esposa griega y decidió quedarse en Constantinopla y construir una nueva vida allí. Es dudoso que alguna vez lo vuelvas a ver ...;;;;;;;x
EVTOPTA_guard_31121;My son....;Mon fils...;;;Mi hijo...;;;;;;;x
EVTDESC_guard_31131;After finishing his service with the Excubitors, [From.GetTitledFirstName] has married a local woman and decided to remain in Constantinople instead of returning home to the barbaric land he once came from. He has pledged his continued service to you.;Après avoir terminé son service dans les Excubites, [From.GetTitledFirstName] s'est marié à une femme du pays et a décidé de rester à Constantinople au lieu de retourner en terre natale barbare. Il s'est engagé à toujours vous servir.;;;Después de terminar su servicio con los Excubitores, [From.GetTitledFirstName] se casó con una mujer local y decidió quedarse en Constantinopla en lugar de regresar a casa a la tierra bárbara de la que una vez vino. Él ha prometido su continuo servicio a usted.;;;;;;;x
EVTOPTA_guard_31131;Very well...;Très bien...;;;Muy bien...;;;;;;;x
