#EVENTS;;;;;;;;;;;;;;x
VIETmisc.2016.desc;A new cosmetic popular among the noblewomen is made using the egg yolk of from quail eggs instead of the usual chicken eggs. But quail eggs are a rare luxury much more suited for gourmet food. Are these women truly vain?;Un nouveau cosmétique populaire parmi les femmes nobles est fait en utilisant le jaune d'oeuf des oeufs de caille au lieu des oeufs de poule habituels. Mais les oeufs de caille sont un luxe rare, beaucoup plus adapté à la gastronomie. Ces femmes sont-elles vraiment vaines ?;;;;;;;;;;x
VIETmisc.2016.a;A useless product!;Un produit inutile !;;;;;;;;;;;;x
VIETmisc.9008.desc;A Byzantine renegade - a former officer in the Byzantine army - has come to us, offering his services. Though his motives are questionable, his knowledge and skills may be of use to us.;Un renégat byzantin - ancien officier de l'armée byzantine - est venu nous rendre service. Bien que ses motivations soient discutables, ses connaissances et ses compétences peuvent nous être utiles.;;;;;;;;;;x
VIETmisc.9008.a;Let us welcome him then.;Accueillons-le.;;;;;;;;;;;;x
VIETmisc.9008.b;This fellow is suspicious. I want no business with him.;Ce type est suspect. Je ne veux pas faire affaire avec lui.;;;;;;;;;;;;x
VIETmisc.9009.desc;xxxxx;xxxxx;;;;;;;;;;x
VIETmisc.9009.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
VIETmisc.2513.desc;As you psyche yourself to begin your day and start receiving petitioners, an old man bursts through the front door and is quickly apprehended by the guards.;Alors que vous vous sentez prêt à commencer votre journée et à recevoir des pétitionnaires, un vieil homme passe par la porte d'entrée et est rapidement appréhendé par les gardes.;;;;;;;;;;;;x
VIETmisc.2513.a;Wait! I'd like to hear him out.;Attendez ! J'aimerais l'écouter.;;;;;;;;;;;;x
VIETmisc.2513.b;Another beggar? Do they grow on trees?;Un autre mendiant ? Est-ce qu'ils poussent sur les arbres ?;;;;;;;;;;;;x
VIETmisc.2514.name;Britannia Is In Peril!;La Bretagne est en danger !;;;;;;;;;;;;x
VIETmisc.2514.desc;The guards begin to drag him away until yo tell them to stop. After a minute, the old man finally catches his breath and falls to his knees before you.'Finally I have found the Avatar! The embodiment of the 7 virtues! The master of the codex of infinite wisdom! Savior of the world so many times! My Lord Avatar, the world of Britannia is in peril! You must come with me to save it or else all will be lost!';Les gardes commencent à le traîner jusqu' à ce que vous leur disiez d'arrêter. Au bout d'une minute, le vieillard reprend enfin son souffle et tombe à genoux devant vous.J'ai enfin trouvé l'Avatar ! L'incarnation des 7 vertus ! Le maître du codex de la sagesse infinie ! Sauveur du monde tant de fois ! Seigneur Avatar, le monde de Bretagne est en danger ! Tu dois venir avec moi pour le sauver, sinon tout sera perdu !";;;;;;;;;;;;x
VIETmisc.2514.a;Britannia is in peril? Fetch my questing clothes!;La Bretagne est en danger ? Allez chercher mes vêtements de quête !;;;;;;;;;;;;x
VIETmisc.2514.b;Ooook, I've heard enough. Out!;Ooook, j'en ai assez entendu. Dehors !;;;;;;;;;;;;x
VIETmisc.2515.desc;Without thinking twice you run outside with the old man to begin your quest. When you reach the courtyard he draws a piece of chalk and uses it to draw a game of hopscotch on the floor. 'Avatar! Before you lies a test of dexterity!';Sans y penser à deux fois, vous courez dehors avec le vieux pour commencer ta quête. Lorsque vous atteignez la cour, il prend un morceau de craie et s'en sert pour dessiner une partie de marelle sur le sol. "Avatar ! Avant de vous mentir, un test de dextérité !";;;;;;;;;;;;x
VIETmisc.2515.a;I'm the Avatar and I'm not afraid of some hops!;Je suis l'Avatar et je n'ai pas peur de sauter !;;;;;;;;;;;;x
VIETmisc.2515.b;A child's game? Goodbye old man...;Un jeu d'enfant? Adieu vieil homme...;;;;;;;;;;;;x
VIETmisc.2516.desc;You navigate the test of dexterity with the ease of a 5 year old and the old man is radiant. 'Well done Avatar! To the woods now, where destiny awaits!;Vous passez le test de dextérité avec la facilité d'un enfant de 5 ans et le vieillard est radieux. Bien joué Avatar! Dans les bois maintenant, où le destin nous attend !;;;;;;;;;;;;x
VIETmisc.2516.a;Destiny and the salvation of Britannia!;Le destin et le salut de la Bretagne !;;;;;;;;x
VIETmisc.2516.b;Going to the woods with your crazy self? Err... No.;Vous allez dans les bois avec ta folie? Euh... Non.;;;;;;;;;;;;x
VIETmisc.2517.desc;You enter the woods and your sidekick looks around frantically. 'I hope the path to Britannia is easier than last time, with the giant spiders, pirates and flesh eating monsters...';Vous entrez dans les bois et votre acolyte regarde autour de vous avec frénésie. "J'espère que le chemin vers la Bretagne est plus facile que la dernière fois, avec les araignées géantes, les pirates et les monstres mangeurs de chair...";;;;;;;;;;;;x
VIETmisc.2517.a;Me, the Avatar, shall protect you from evil!;Moi, l'Avatar, je vous protégerai du mal !;;;;;;;;;;;;x
VIETmisc.2517.b;The giant sp... I think someone's calling me!;Des araignées gé... Je crois que quelqu'un m'appelle !;;;;;;;;;;;;x
VIETmisc.2518.name;This Is Not Britannia...;On n'est pas en Bretagne...;;;;;;;;;;;;x
VIETmisc.2518.desc;Your guide is in the middle of telling you for the 9th time just how important your quest is when you two stumble upon a clearing in the forest. Suddenly the old man becomes alarmed and starts pacing back and forth as if looking for something on the ground or in the sky. You become alarmed that you may have been led to a trap as the man start muttering 'There was supposed to be a fortune teller... cards...skills... No! You are not the Avatar! I was wrong!' With this is runs away with unprecedented dexterity, leaving you to wonder what just happened...;Votre guide est en train de vous dire pour la neuvième fois à quel point votre quête est importante lorsque vous tombez sur une clairière dans la forêt. Soudain, le vieillard s'inquiète et se met à faire des allers et retours comme s'il cherchait quelque chose au sol ou dans le ciel. Vous vous inquiétez du fait que vous avez peut-être été conduit à un piège alors que l'homme se met à marmonner : "Il devait y avoir un voyant... des cartes... des compétences... Non ! Vous n'êtes pas l'Avatar ! J'avais tort !" Avec cela, c'est parti avec une dextérité sans précédent, vous laissant à vous demander ce qui vient de se passer...;;;;;;;;;;;;x
VIETmisc.2518.a;What is this I don't even...;Qu'est-ce que c'est que je...;;;;;;;;;;;;x
VIETmisc.2519.desc;It's been a while since you rushed outside ready to go on an adventure because an old men said you are some sort of 'Avatar', but clearly your courtiers haven't forgot and it's still a source of laughter now and then.;Cela fait longtemps que vous ne vous êtes pas précipité dehors pour partir à l'aventure parce qu'un vieil homme disait que vous étiez une sorte d'Avatar, mais clairement vos courtisans n'ont pas oublié et c'est encore une source de rire de temps en temps.;;;;;;;;;;;;x
VIETmisc.2519.a;May I remind you who rules this realm?;Puis-je vous rappeler qui gouverne ce royaume ?;;;;;;;;;;;;x
VIETmisc.2519.b;A mere mortal can dream, can't he...;Un simple mortel peut rêver, n'est-ce pas?;;;;;;;;;;;;x
ultima_silliness_screw_EA;All hail the 'Avatar';Tout le monde salue "l'Avatar";;;;;;;;;;;;x
ultima_silliness_screw_EA.desc;Very funny, but seriously, What's a Paladin?;Très drôle, mais sérieusement, c'est quoi un Paladin ?;;;;;;;;;;;;x
VIETmisc.2520.desc;'Remove the saxon remove the saxon! To our saxon cousins you may come to our country you may live in the farm! (...) Battle of Badon best day of my life, take a bath of death saxon hahahaha (...)' It seems the troupe of jesters performing to yuor court decided to try a rauchy song... Your briton courtiers are laughing, but your saxon ones... not so much.;"Enlevez le saxon, enlevez le saxon! Pour nos cousins saxons, vous pouvez venir dans notre pays, vous pouvez vivre dans la ferme! (...) La Bataille du mont Badon est meilleur jour de ma vie, prendre un bain de mort saxon hahahaha (...)" Il semblerait que la troupe de bouffons se produisant dans votre cour a décidé d'essayer une torride chanson... Vos courtisans britanniques rient, mais vos saxons... pas tant que ça.;;;;;;;;;;;;x
VIETmisc.2520.a;What a joyous and catchy tune!;Quel air joyeux et accrocheur !;;;;;;;;;;;;x
VIETmisc.2520.b;To the stocks with these jesters!;Aux stocks avec ces bouffons !;;;;;;;;;;;;x
remove_kebab_insult;A really bad joke;Une mauvaise blague.;;;;;;;;;;;;x
VIETmisc.2040.desc;Not again! While passing by some Chinese travelers at the local market today, I heard them commenting on the beauty of [Root.Culture.GetName] women. Why are these Chinese so obsessed with our women? Apparently they’ll call even the ugliest [Root.Culture.GetName] girl a “flower unlike any other”! Haha!;Pas encore une fois! En passant devant quelques voyageurs chinois au marché local aujourd'hui, je les ai entendus commenter la beauté des femmes [Root.Culture.GetName]. Pourquoi ces Chinois sont-ils si obsédés par nos femmes? Apparemment, ils appelleront même la fille [Root.Culture.GetName] la plus laide comme une "fleur pas comme les autres" ! Haha !;;;;;;;;;;x
VIETmisc.2040.a;The silly Chinese don’t know where to look for real [Root.Culture.GetName] beauties!;Ces stupides Chinois ne savent pas où chercher les vraies beautés [Root.Culture.GetName] !;;;;;;;;;;;;x
VIETmisc.2040.b;Admittedly I find the attention flattering…;Certes, je trouve l'attention flatteuse...;;;;;;;;;;;;x
VIETmisc.2040.c;Admittedly I find the attention creepy…;Certes, je trouve l'attention glauque...;;;;;;;;;;;;x
VIETmisc.2040.d;We DO have the most beautiful women in the world!;NOUS avons les plus belles femmes du monde !;;;;;;;;;;;;x
VIETmisc.2040.e;Beauty in the eye of the beholder, I suppose.;La beauté est dans l'oeil du spectateur, je suppose.;;;;;;;;;;;;x
VIETmisc.2040.f;I find their inability to judge beauty more amusing than infuriating.;Je trouve leur incapacité à juger la beauté plus amusante qu'exaspérante.;;;;;;;;;;;;x
VIETmisc.2041.desc;Today I’ve learned that our great Sogdian language provided the barbarian Turks with many important terms they did not have previously, such as debt.;Aujourd'hui, j'ai appris que notre grande langue sogdienne a donné aux Turcs barbares de nombreux termes importants qu'ils n'avaient pas auparavant, comme la dette.;;;;;;;;;;x
VIETmisc.2041.a;We have many great accomplishments, undoubtedly.;Nous avons sans aucun doute beaucoup de grandes réalisations.;;;;;;;;;;;;x
VIETmisc.2041.b;It’s thanks to us the Turks were able to do anything in the first place.;C'est grâce à nous que les Turcs ont pu faire n'importe quoi.;;;;;;;;;;;;x
VIETmisc.2042.desc;The old murals that decorate your palace are beginning to deteriorate - they were painted centuries ago, after all. Now is a good time to renovate these murals, perhaps even re-do them with completely new murals. Typically, Sogdian murals tend to focus on either of three things: the divine, heroes, or fables. What shall the new murals focus on?;Les anciennes fresques murales qui ornent votre palais commencent à se détériorer - elles ont été peintes il y a des siècles, après tout. C'est maintenant le bon moment pour rénover ces murales, peut-être même les refaire avec des peintures murales complètement nouvelles. Typiquement, les fresques murales de Sogdian ont tendance à se concentrer sur l'une ou l'autre de trois choses: le divin, les héros, ou les fables. Sur quoi les nouvelles fresques murales doivent-elles se concentrer ?;;;;;;;;;;x
VIETmisc.2042.a;The divine - gods and spirits.;Le divin - les dieux et les esprits.;;;;;;;;;;;;x
VIETmisc.2042.b;The heroes - brave men like Rostam.;Les héros - des hommes courageux comme Rostam.;;;;;;;;;;;;x
VIETmisc.2042.c;The fables - lessons we all should remember.;Les fables - des leçons dont nous devrions tous nous souvenir.;;;;;;;;;;;;x
VIETmisc.2042.d;I don’t want to waste money on this.;Je ne veux pas gaspiller de l'argent pour ça.;;;;;;;;;;;;x
VIETmisc.2043.desc;While passing by one of the local Sogdian villages, you happen to encounter a woman and her infant child. Feeling generous, you offer her child a bit of rock sugar, a traditional Sogdian gift for newborns and children. The sugar symbolizes the hope that when the child grows up that his words be sweet...;En passant par l'un des villages Sogdiens locaux, vous rencontrez une femme et son enfant en bas âge. Se sentant généreux, vous offrez à son enfant un peu de sucre de roche, un cadeau traditionnel Sogdien pour les nouveau-nés et les enfants. Le sucre symbolise l'espoir que lorsque l'enfant grandit que ses paroles soient douces...;;;;;;;;;;x
VIETmisc.2043.a;We Sogdians shall forever be the best traders and diplomats in the world!;Nous, les Sogdiens, nous serons à jamais les meilleurs commerçants et diplomates du monde !;;;;;;;;;;;;x
VIETmisc.2044.desc;Growing up as a Sogdian child has its disadvantages. Everybody expects you to do well in commerce one day. It’s as if all the adults can think about is money, ways to make money, ways to produce more money, money, money, money, money…;Grandir en tant qu'enfant Sogdien a ses inconvénients. Tout le monde s'attend à ce que tu réussisses dans le commerce un jour. C'est comme si tous les adultes ne pensaient qu'à l'argent, aux moyens de gagner de l'argent, de produire plus d'argent, d'argent, d'argent, d'argent, d'argent...;;;;;;;;;;x
VIETmisc.2044.a;Greed is good!;L'avidité, c'est bien !;;;;;;;;;;;;x
VIETmisc.2045.desc;A lesser nobleman in my realm gave me an hourglass as a gift. It should help me keep track of time.;Un noble de mon royaume m' a offert un sablier. Ça devrait m'aider à tenir compte du temps.;;;;;;;;;;x
VIETmisc.2045.a;Thank you!;Merci !;;;;;;;;;;;;x
VIET_efficient_time;Efficient Time;Temps efficace;;;;;;;;;;x
VIET_efficient_time_desc;This character efficiently keeps track of time in order to maximize productivity.;Ce personnage suit efficacement le temps afin de maximiser la productivité.;;;;;;;;;;x
VIETmisc.2046.desc;Oh no! I overslept and was late to this morning's meeting with my advisors!;Oh non ! J'ai trop dormi et j'étais en retard à la réunion de ce matin avec mes conseillers !;;;;;;;;;;x
VIETmisc.2046.a;Why didn't the servants wake me on time?;Pourquoi les domestiques ne m'ont-ils pas réveillé à l'heure ?;;;;;;;;;;;;x
VIETmisc.2047.desc;One of my newest personal servants is a diligent fellow, determined even. He always makes sure I do things on time - it pays to have a servant like him!;Un de mes nouveaux serviteurs personnels est un homme diligent, déterminé même. Il s'assure toujours que je fais les choses à temps - c'est payant d'avoir un serviteur comme lui !;;;;;;;;;;x
VIETmisc.2047.a;Indeed.;En effet.;;;;;;;;;;;;x
VIETmisc.2048.desc;A big fire broke out in a peasant village uncomfortably close to my residence. Thankfully the local temple had a water clock so large it had enough water to douse the flames.;Un gros incendie s'est déclaré dans un village de paysans mal à l'aise près de chez moi. Heureusement, le temple local avait une horloge à eau si grande qu'il y avait assez d'eau pour éteindre les flammes.;;;;;;;;;;x
VIETmisc.2048.a;Thank goodness everything’s fine.;Dieu merci, tout va bien.;;;;;;;;;;;;x
VIETmisc.2048.b;We must help those poor peasants!;Nous devons aider ces pauvres paysans !;;;;;;;;;;;;x
VIETmisc.2049.desc;The sun is high above - it’s noontime, isn’t it? And it is rather hot outside. You’ve been out for a bit too long doing whatever business you were doing, and you’re starting to feel a little light-headed.;Le soleil est tout en haut - il est midi, n'est-ce pas ? Et il fait plutôt chaud dehors. Ça fait un peu trop longtemps que vous faites ce que vous faites, et vous commencez à vous sentir un peu étourdi.;;;;;;;;;;x
VIETmisc.2049.a;Better retreat inside into the shade, maybe drink some water too.;Retraite à l'ombre, bois un peu d'eau aussi.;;;;;;;;;;;;x
VIETmisc.2049.b;I have some business to finish, unfortunately!;J'ai des affaires à finir, malheureusement !;;;;;;;;;;;;x
VIETmisc.2050.desc;Oh dear, it seems like I've misplaced one of my rings. Goodness gracious, what am I to do?;On dirait que j'ai égaré une de mes bagues. Bonté divine, que dois-je faire ?;;;;;;;;;;x
VIETmisc.2050.a;Oh well... hopefully we'll find it....;Oh, et bien... Espérons qu'on la trouvera...;;;;;;;;;;;;x
VIETmisc.2050.b;Why should I worry about it when there are more important things at stake?;Pourquoi m'inquiéter quand il y a des choses plus importantes en jeu ?;;;;;;;;;;;;x
VIETmisc.2051.desc;One of my courtiers seems to be sad. Why I asked why, I learned that their favorite horse was very ill, and unlikely to survive. I remember this steed was a fine specimen, worthy of honor and praise, who brought its master much prestige and joy.;Un de mes courtisans semble triste. J'ai alors demander pourquoi, j'ai appris que leur cheval préféré était très malade, et peu susceptible de survivre. Je me souviens que ce cheval était un beau spécimen, digne d'honneur et de louange, qui apporta à son maître beaucoup de prestige et de joie.;;;;;;;;;;x
VIETmisc.2051.a;Such is life, unfortunately!;C'est la vie, malheureusement !;;;;;;;;;;;;x
VIETmisc.2051.b;Why should I worry about it when there are more important things at stake?;Pourquoi m'inquiéter quand il y a des choses plus importantes en jeu ?;;;;;;;;;;;;x
VIETmisc.2052.desc;My life is terrible.;Ma vie est horrible.;;;;;;;;;;x
VIETmisc.2052.a;Why?;Pourquoi ?;;;;;;;;;;;;x
VIETmisc.2053.desc;I feel exhausted...;Je me sens épuisée...;;;;;;;;;;x
VIETmisc.2053.a;So exhausted...;Si épuisée...;;;;;;;;;;;;x
VIETmisc.2054.desc;I threw up on someone!;J'ai vomi sur quelqu'un !;;;;;;;;;;x
VIETmisc.2054.a;Heehee.;Héhé;;;;;;;;;;;;x
VIETmisc.2055.tooltip;Uh-oh...;Uh-oh...;;;;;;;;;;x
VIETmisc.2055.desc;That little brat [From.GetFirstName] threw up on me while we were dining.;Ce petit morveux, [From.GetFirstName], m' a vomi dessus pendant qu'on dînait.;;;;;;;;;;x
VIETmisc.2055.a;Ew.;Breuk.;;;;;;;;;;;;x
VIETmisc.2056.desc;Thankfully, I've discovered where I misplaced my ring. It was under my bed.;Heureusement, j'ai découvert où j'ai égaré ma bague. C'était sous mon lit.;;;;;;;;;;x
VIETmisc.2056.a;What good fortune.;Quelle chance !;;;;;;;;;;;;x
VIETmisc.2057.desc;While traveling to a nearby town on official business you come across a corpse on the side of the road. Upon further inspection, it appears to be a beggar who died of who knows what.;En voyageant dans une ville voisine pour affaires officielles, vous tombez sur un cadavre au bord de la route. Après une inspection plus poussée, il semble que ce soit un mendiant qui soit mort de qui sait quoi.;;;;;;;;;;x
VIETmisc.2057.a;Ignore the corpse and move on.;Ignorez le corps et passez à autre chose.;;;;;;;;;;;;x
VIETmisc.2057.b;Inspect it - maybe the beggar has something of use?;Inspectez-le - le mendiant a peut-être quelque chose d'utile ?;;;;;;;;;;;;x
VIET_beggar_corpse_inspect;“What?” you say as everyone looks at you, bewildered. “Beggars might carry useful things! I read it in a story once!”;"Quoi ?" dites vous quand tout le monde vous regarde, perplexe. "Les mendiants pourraient porter des choses utiles ! Je l'ai lu dans une histoire une fois !";;;;;;;;;;;;x
VIETmisc.2058.desc;As one of your guards approaches the beggar, the old man suddenly jumps up. Everyone shouts in surprise, and your guard nearly cuts down the man by accident. It seems like the beggar was actually just in deep sleep.;Alors qu'un de vos gardes s'approche du mendiant, le vieil homme saute soudainement. Tout le monde crie en surprise, et votre garde a failli abattre l'homme par accident. On dirait que le mendiant dormait profondément.;;;;;;;;;;x
VIETmisc.2058.a;Haha, what a fool.;Haha, quel idiot.;;;;;;;;;;;;x
VIETmisc.2058.b;Haha, have a coin, beggar, and [Root.Religion.GetRandomGodName] bless you.;Haha, tiens, une pièce de monnaie au mendiant et que [Root.Religion.GetRandomGodName] te bénis.;;;;;;;;;;x
VIETmisc.2058.c;Kill that bastard! He dares offend me!;Tuez ce salaud ! Il ose m'offenser !;;;;;;;;;;x
VIETmisc.2059.desc;The beggar has nothing useful. That's to be expected. Behind you, someone says, “What sort of [Root.GetTitle] goes around searching beggars, anyways?”;Le mendiant n' a rien d'utile. C'est à prévoir. Derrière vous, quelqu'un dit : "Quel genre de [Root.GetTitle] cherche des choses sur les mendiants, de toute façon ?";;;;;;;;;;x
VIETmisc.2059.a;I feel foolish.;Je me sens stupide.;;;;;;;;;;;;x
VIET_ridiculous_greed;Ridiculous Greed;Avidité ridicule;;;;;;;;;;;;x
VIET_ridiculous_greed_desc;The lengths this character would go to satisfy their greed are shocking.;Les efforts que ce personnage prendrait pour satisfaire son avidité sont choquantes.;;;;;;;;;;;;x
VIETmisc.2060.desc;The beggar seems to have a precious amulet of some sort - your suspicions were correct! Yet you can’t help but wonder. Why did he keep it, when he could have sold it for money? Did he steal it, and was unable to sell it? Or was it something so precious to him he couldn’t bear to part with it? Or was he just plain stupid?;Le mendiant semble avoir une sorte d'amulette précieuse - vos soupçons étaient justes! Pourtant, on ne peut s'empêcher de se demander. Pourquoi le garder, alors qu'il aurait pu le vendre pour de l'argent ? L' a-t-il volé et n' a-t-il pas pu le vendre ? Ou était-ce quelque chose de si précieux pour lui qu'il ne supportait pas de s'en séparer ? Ou était-il tout simplement stupide ?;;;;;;;;;;x
VIETmisc.2060.a;It’s mine now, at any rate. I probably can sell it.;C'est à moi maintenant, en tout cas. Je peux probablement le vendre.;;;;;;;;;;;;x
VIETmisc.2060.b;I don’t feel comfortable looting this beggar’s corpse.;Je ne me sens pas à l'aise pour piller le cadavre de ce mendiant.;;;;;;;;;;;;x
VIET_childlike_wonder;Childlike Wonder;Une merveille enfantine;;;;;;;;;;x
VIETmisc.2061.desc;Why does the sky have different colors when the sun rises and when the sun sets?;Pourquoi le ciel a-t-il des couleurs différentes au lever et au coucher du soleil ?;;;;;;;;;;x
VIETmisc.2061.a;So mysterious....;Si mystérieux...;;;;;;;;;;;;x
VIETmisc.2062.desc;What was that?;C'était quoi, ça ?;;;;;;;;;;x
VIETmisc.2062.a;Never mind. Must have been my imagination.;Peu importe. Ça devait être mon imagination.;;;;;;;;;;;;x
VIETmisc.2063.desc;Bwahahahahahahahahahaha! The suffering of others makes me feel so giddy inside. ;Bouahahahahahahahahahaha ! La souffrance des autres me rend si écervelé à l'intérieur.;;;;;;;;;;x
VIETmisc.2063.a;It's like music to my ears.;C'est comme de la musique pour mes oreilles.;;;;;;;;;;;;x
VIET_enjoys_others_suffering;Enjoys Others' Suffering;Aime la souffrance des autres;;;;;;;;;;x
VIET_enjoys_others_suffering_desc;This character is a terrible person who delighs in the pain of others.;Ce personnage est une personne terrible qui se délecte de la douleur des autres.;;;;;;;;;;x
VIET_sunset_watcher;Sunset Watcher;Observateur du crépuscule;;;;;;;;;;x
VIET_sunset_watcher_desc;This character often goes out late in the day to watch the sun set, as it brings them inner peace.;Ce personnage sort souvent tard dans la journée pour observer le coucher du soleil, car il cela lui apporte la paix intérieure.;;;;;;;;;;x
VIETmisc.2064.desc;Now and then, I like to sneak out at dusk and watch the sun as it sets in the sky.;De temps en temps, j'aime me faufiler au crépuscule et regarder le soleil se coucher dans le ciel.;;;;;;;;;;x
VIETmisc.2064.a;It's lovely, isn't it?;C'est charmant, n'est-ce pas ?;;;;;;;;;;;;x
VIETmisc.2065.desc;Today’s sunset is particularly beautiful. Words can’t describe it.;Le coucher de soleil d'aujourd'hui est particulièrement beau. Les mots ne peuvent pas le décrire.;;;;;;;;;;x
VIETmisc.2065.a;I’m loving it.;J'adore ça.;;;;;;;;;;;;x
opinion_sexy_times;Did naughty things with me recently;A fait des choses cochonnes avec moi récemment;;;;;;;;;;x
VIETmisc.2066.desc;Making love to my beloved during the sunset was a magical experience. My lover may not understand why sunsets appeal to me, but that’s fine.;Faire l'amour à ma bien-aimée pendant le coucher du soleil était une expérience magique. Mon amante ne comprend peut-être pas pourquoi les couchers de soleil m'attirent, mais c'est très bien.;;;;;;;;;;x
VIETmisc.2066.a;While the sun may set, something else rises...;Pendant que le soleil se couche, quelque chose d'autre se lève...;;;;;;;;;;;;x
VIETmisc.2067.desc;I’ve learned that one of my courtiers enjoys watching sunsets, just like me. Yesterday we watched the sunset together, and found that despite our differences, we both shared many things as well.;J'ai appris qu'un de mes courtisans aime regarder des couchers de soleil, tout comme moi. Hier, nous avons regardé le coucher du soleil ensemble, et nous avons constaté qu'en dépit de nos différences, nous partagions beaucoup de choses.;;;;;;;;;;x
VIETmisc.2067.a;My sunset-watching buddy!;Mon copain qui regarde le coucher du soleil !;;;;;;;;;;;;x
VIET_navel_gazing;Navel-Gazer;Nombriliste;;;;;;;;;;x
VIET_navel_gazing_desc;What's the meaning of life?;Quel est le sens de la vie ?;;;;;;;;;;x
VIETmisc.2068.desc;I feel as if my life was just a part of some bard's pathetic tale, and I'm just a character in it.;Je me sens comme si ma vie n'était qu'une partie de l'histoire pathétique d'un barde, et je n'en suis qu'un personnage.;;;;;;;;;;x
VIETmisc.2068.a;Who would care about my life, anyways?;Qui se soucierait de ma vie, de toute façon ?;;;;;;;;;;;;x
VIETmisc.2069.desc;This itch is really bothersome. I can't stop scratching it.;Cette démangeaison est vraiment gênante. Je n'arrête pas de me gratter.;;;;;;;;;;x
VIETmisc.2069.a;I look like a fool in front of my court!;Je ressemble à un imbécile devant ma cour !;;;;;;;;;;;;x
VIETmisc.2070.desc;A tree above me sways gently, its shadow caressing my face. Nearby, I hear the water quietly running down to the fountain below. Birds chirp, and insects buzz. Yes! When I sit in the garden to relax, I feel closer to [Root.Religion.GetRandomGodName], and feel his compassion, his mercy, the ingenuity of his designs. It’s as if I can see all of nature before me, from the desert warmth to the ocean breeze.;Un arbre au-dessus de moi se balance doucement, son ombre caresse mon visage. Tout près, j'entends l'eau couler doucement vers la fontaine en dessous. Les oiseaux gazouillent et les insectes bourdonnent. Oui! Quand je m'assois dans le jardin pour me détendre, je me sens plus proche de [Root.Religion.GetRandomGodName], et je ressens sa compassion, sa miséricorde, l'ingéniosité de ses dessins. C'est comme si je pouvais voir toute la nature devant moi, de la chaleur du désert à la brise de l'océan.;;;;;;;;;;x
VIETmisc.2070.a;Also, it's a good place to take a nice nap.;C'est aussi un bon endroit pour faire une bonne sieste.;;;;;;;;;;;;x
VIETmisc.2071.desc;Something smells funny....\n\nNever mind, the smell went away.;Quelque chose sent bizarre...\n\nÇa n'a pas d'importance, l'odeur est partie.;;;;;;;;;;x
VIETmisc.2071.a;Must’ve been my mind playing tricks on me.;Mon esprit à dû me jouer des tours.;;;;;;;;;;;;x
VIETmisc.2072.desc;In the middle of a conversation with a courtier, you pause, suddenly. You forgot what you were going to say next.;Au milieu d'une conversation avec un courtisan, vous vous arrêtez soudainement. Vous avez oublié ce que tu allais dire après.;;;;;;;;;;x
VIETmisc.2072.a;I hate it when that happens.;Je déteste quand ça arrive.;;;;;;;;;;;;x
VIETmisc.2073.desc;Some disgustingly horrific, vile thought just entered my mind. Try as I might, I can’t get rid of it!;J'ai pensé à une horrible pensée dégoûtante. Je ne peux pas m'en débarrasser !;;;;;;;;;;x
VIETmisc.2073.a;If I told my court, they’d think me a lunatic.;Si je le disais à ma cour, ils me prendraient pour un fou.;;;;;;;;;;;;x
VIETmisc.2073.b;Then again, this isn’t the weirdest thing I’ve thought of.;Encore une fois, ce n'est pas la chose la plus bizarre à laquelle j'ai pensé.;;;;;;;;;;;;x
VIETmisc.2074.desc;For the past few weeks, your court has been short on baklava. Thankfully, a new batch has just arrived from the local baklava merchants! Praise be to [Root.Religion.GetRandomGodName] indeed!;Depuis quelques semaines, votre cour est à court de baklava. Heureusement, un nouveau lot vient d'arriver des marchands locaux de baklava ! Louons à [Root.Religion.GetRandomGodName] en effet !;;;;;;;;;;x
VIETmisc.2074.a;Now out of my way, fools, I have baklava to eat!;Hors de mon chemin, imbéciles, j'ai du baklava à manger !;;;;;;;;;;;;x
VIETmisc.2075.desc;There is a large clump of dirt under one of my fingernails.;Il y a un gros tas de terre sous l'un de mes ongles.;;;;;;;;;;x
VIETmisc.2075.a;Who cares.;On s'en fout.;;;;;;;;;;;;x
VIETmisc.2075.b;Better remove it.;Il vaut mieux l'enlever.;;;;;;;;;;;;x
VIETmisc.2076.desc;The weather is unusually pleasant today.;Le temps est exceptionnellement agréable aujourd'hui.;;;;;;;;;;x
VIETmisc.2076.a;A good day!;Quelle belle journée !;;;;;;;;;;;;x
VIETmisc.2077.desc;Eerie, loud noises were heard at night in some of the nearby villages not too long ago. They were sometimes accompanied by strange colors in the sky. Investigation by our officials and soldiers could not determine as to what was the cause.;Il n' y a pas si longtemps, on entendait des bruits étranges et bruyants la nuit dans certains villages voisins. Ils étaient parfois accompagnés de couleurs étranges dans le ciel. L'enquête menée par nos fonctionnaires et nos soldats n'a pas permis de déterminer quelle en était la cause.;;;;;;;;;;x
VIETmisc.2077.a;Frightening!;Effrayant !;;;;;;;;;;;;x
