#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
BM_LITTLE_AUGUSTUS;Little Augustus;Petit Auguste;Kleiner Augustus;;El pequeño Augustulo;;;;;;;;x
BM_LITTLE_AUGUSTUS_ERA;Little Augustus;Petit Auguste;Kleiner Augustus;;El pequeño Augusto;;;;;;;x
ERA_CHAR_INFO_190215;Theodahad was an Ostrogothic king of Italy. His assassination of his cousin Queen Amalasuntha, daughter of King Theodoric, furnished a pretext for the Byzantine emperor Justinian I to invade Italy. The son of Theodoric’s sister, Theodahad was invited to share the throne with Amalasuntha in 534, after the death of her son. Theodahad accepted the title of king, but Amalasuntha, who opposed the Ostrogoth tribal faction and was friendly with the Eastern Roman Emperor, continued to rule as she had during her son’s minority. In 535 the queen was seized and carried off to an island in Lake Bolsena, near Orvieto and shortly thereafter she was strangled in her bath by assassins, with Theodahad’s complicity. Under the guise of championing the murdered queen, Justinian dispatched his general Belisarius, who took Sicily and Naples and marched on Rome late in 536. Theodahad, deposed by the threatened Gothic army assembled in the Pontine marshes and replaced by Witigis, fled toward Ravenna, but he was captured and killed by a Goth on the Via Flaminia.;Théodat était un roi d'Ostrogoth d'Italie. Son assassinat de sa cousine, la reine Amalasonte, fille du roi Théodoric, fournit un prétexte à l'invasion de l'Italie par l'empereur byzantin Justinien Ier. Le fils de la sœur de Théodoric, Théodat a été invité à partager le trône avec Amalasonte en 534, après la mort de son fils. Théodat a accepté le titre de roi, mais Amalasonte, qui était opposée à la faction ostrogothe et était ami avec l'empereur byzantin, a continué à régner comme elle avait pendant la minorité de son fils. En 535, la reine fut saisie et emmenée dans une île du lac de Bolsena, près d'Orvieto, et peu de temps après elle fut étranglée dans son bain par des assassins, avec la complicité de Théodat. Sous couvert de la défense de la reine assassinée, Justinien envoya son général Bélisaire, qui prit la Sicile et Naples et marcha sur Rome à la fin de l'année 536. Déposé par l'armée gothique menacée rassemblée dans les marais Pontins Théodat fut remplacée par Witigis, et s'est enfuit vers Ravenne, mais il a été capturé et tué par un Goth sur la Via Flaminia.;;;Theodahad fue un rey ostrogodo de Italia. El asesinato de su prima la reina Amalasuntha, hija del rey Teodorico, proporcionó un pretexto para que el emperador bizantino Justiniano I invadiera Italia. El hijo de la hermana de Teodorico, Teodato fue invitado a compartir el trono con Amalasuntha en 534, después de la muerte de su hijo. Teodato había aceptado el título de rey, pero Amalasuntha, que se oponía a la facción tribal ostrogótica y era amiga del emperador romano oriental, continuó gobernando como lo había hecho durante la minoría de su hijo. En 535 la reina fue secuestrada y llevada a una isla en el lago de Bolsena, cerca de Orvieto, y poco después fue estrangulada en su baño por asesinos, con la complicidad de Teodato. Bajo la apariencia de defender a la reina asesinada, Justiniano despachó a su general Belisario, que tomó Sicilia y Nápoles y marchó hacia Roma a finales del 536. Teodato, depuesto por el amenazante ejército gótico reunido en las marismas Pontinas y reemplazado por Witigis, huyó hacia Rávena, pero fue capturado y asesinado por un gótico en la Vía Flaminia.;;;;;;;;x
ERA_CHAR_NAME_31106;Faroald Farualding;Faroald Farualding;;;Faroald Farualding;;;;;;;x
ERA_CHAR_INFO_31106;Faroald ruled from Spoleto in the centre of the Italian peninsula, in a duchy which he established himself a few years earlier. This alone will probably not suffice to be elected king, and in order to survive, Faroald will have to expand his demesne, at the risk of loosing it all or falling victim to foreign invasion.;Faroald règne de Spolète au centre de la péninsule Italienne, dans un duché qu’il a établi lui-même quelques années plus tôt. Cela ne suffira néanmoins pas pour être élu roi, et pour survivre, Faroald va devoir étendre son domaine personnel, au risque de tout perdre ou d’être victime d’une invasion étrangère.;;;Faroald gobernó desde Spoleto en el centro de la península italiana, en un ducado que se estableció unos años antes. Esto solo probablemente no sea suficiente para ser elegido rey, y para poder sobrevivir, Faroald tendrá que expandir su dominio, a riesgo de perderlo todo o ser víctima de una invasión extranjera.;;;;;;x
ERA_CHAR_NAME_31089;Zaban Zabaning;Zaban Zabaning;;;Zaban Zabaning;;;;;;;x
ERA_CHAR_INFO_31089;Zaban was the duke of Pavia during the interregnum of the Rule of Dukes, and thus held the former Lombard capital. Yet even if Pavia might have given some supremacy over the other dukes and authority, Zaban would never be elected king by his fellow dukes.;Zaban était le duc de Pavie durant l’interrègne du Règne des ducs, et détient donc ainsi l’ancienne capitale des lombards. Cependant, même si Pavie a pu lui conférer une certaine suprématie par rapport aux autres ducs et de l’autorité, Zaban ne fut jamais élu roi par ses collègues ducs.;;;Zaban fue el duque de Pavía durante el interregno del Mandato de los Duques, y así ocupó la antigua capital lombarda. Sin embargo, incluso si Pavía hubiera otorgado algo de supremacía sobre los otros duques y la autoridad, Zaban nunca sería elegido rey por sus compañeros duques.;;;;;;;x
ERA_CHAR_NAME_80;Gunderit;Gunderit;Gunderit;;Gunderit;;;;;;;x
ERA_CHAR_INFO_80;When the Germanic peoples united to overthrow Hunnic rule once and for all, it was the Gepids who rose up and conquered all of Dacia. Their powerful state would dominate Pannonian politics, and the fantastically wealthy Gepid kings would make many attempts to destroy the Ostrogoths and add their lands to their growing Kingdom. Can they defeat both the Ostrogoths and Lombards and maintain a lasting Germanic presence in the Carpathian Basin?;Lorsque les peuples germaniques se sont unis pour renverser le gouvernement hun une fois pour toutes, ce sont les Gépides qui se sont soulevés et ont conquis toute la Dacie. Leur puissant État dominerait la politique pannonienne et les rois Gépides, extrêmement riches, feraient de nombreuses tentatives pour détruire les Ostrogoths et ajouter leurs terres à leur royaume grandissant. Peuvent-ils vaincre à la fois les Ostrogoths et les Lombards et maintenir une présence germanique durable dans le bassin des Carpates ?;;;;;;;;;;x
##### Unused;;;;;;;;;;;;x
BM_END_EMPIRE;The End of An Empire;La fin d'un empire;;;;;;;;;;x
BM_END_EMPIRE_DESC;The Roman Empire is falling, barbarians on all sides, heathens pour into the heart of civilization. Under Alaric 1, the Visigoths seek to raid Rome while the Ostrogoths seek more long term ownership. In the turmoil, the Vandal are taking southern Italy.;L'Empire romain tombe, les barbares de tous les côtés, les païens se déversent dans le cœur de la civilisation. Sous Alaric Ier, les Wisigoths cherchent à attaquer Rome alors que les Ostrogoths cherchent une propriété à plus long terme. Dans la tourmente, les Vandales prennent le sud de l'Italie.;;;;;;;;;;x
BM_THE_GREAT;The Great;Le grand;;;;;;;;;;x
BM_THE_GREAT_DESC;With the approval of Emperor Zeno, the mighty Theodoric the Great invades Italy seeking to dethrone the mighty Odoacer, who has since been less than loyal to the Eastern Empire.;Avec l'accord de l'empereur Zéonon, le puissant Théodoric le Grand envahit l'Italie pour détrôner le puissant, qui a depuis quelques années été moins loyal envers l'empire romain d'Orient. ;;;;;;;;;;x
