#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
######Constantinople...;;;;;;;;;;;;x;;
ca_sacred_palace;Sacred Palace;Grand Palais;;;Palacio Sagrado;;;;;;;;;x
ct_dioclet_desc;Diocletian's Palace is an ancient palace built by the Roman emperor Diocletian at the turn of the fourth century AD, that forms the center of the city of Split.;Le palais de Dioclétien est la résidence impériale fortifiée construite par l'empereur Dioclétien sur la côte dalmate pour s'y retirer après son abdication volontaire en 305.;Der Diokletianpalast ist ein antiker Baukomplex, der als Alterssitz für den römischen Kaiser Diokletian diente, welcher als einziger römischer Kaiser 305 n. Chr. freiwillig aus dem Amt schied, gemeinsam mit seinem Mitkaiser Maximian. ;;El Palacio de Diocleciano es un monumento construido en la ciudad de Split, Croacia, por encargo del emperador Diocleciano entre los siglos III y IV d.C.;;;;;;;;;x
tp_jeru_zion;Mount Zion;Mont Sion;Berg Zion;;Monte de Sion;;;;;;;;;x
tp_jeru_zion_desc;Mount Zion is a hill in Jerusalem just outside the walls of the City. It was the site of the Jebusite fortress called the "stronghold of Zion" that was conquered by King David, becoming his palace and the City of David.;Le mont Sion est une des collines de Jérusalem, située au Sud-Ouest de la vieille ville.;Mount Zion Mount Zion is a hill or south-west of the old city walls of Jerusalem.;;Monte Sion es el nombre de una colina en Jerusalén en las afueras de la Ciudad Vieja. El término Sion se convirtió desde tiempos antiguos en un sinécdoque referida a la ciudad entera de Jerusalén y a la Tierra de Israel.;;;;;;;;;x
tp_jeru_wall1;Western Wall;Le Mur des Lamentations;Klagemauer;;Muro de las Lamentaciones;;;;;;;;;x
tp_jeru_wall2;Third Temple;Troisième temple;Tempel Ezechiels;;Tercer templo de Jerusalén;;;;;;;;;x
tp_jeru_wall1_desc;The Western Wall, Wailing Wall or Kotel is located in the City of Jerusalem at the foot of the western side of the area known as the Noble Sanctuary and the Temple Mount.;est un mur de soutènement de l'esplanade du Temple de Jérusalem situé dans le quartier juif de la vieille ville de Jérusalem datant du Ier siècle av. J.-C.;Die Klagemauer in der Altstadt von Jerusalem ist eine religiöse Stätte des Judentums.;;El Muro de los Lamentos, Muro de las Lamentaciones o Kotel se encuentra en la ciudad de Jerusalén, a los pies de la parte occidental de la zona conocida como el Noble Santuario y el Monte del Templo.;;;;;;;;;x
tp_jeru_wall2_desc;The Third Temple, or Ezekiel's Temple, is a Jewish Holy Temple architecturally described and prophesied in the Book of Ezekiel, a house of prayer for all people with a sacrificial service.;Le Troisième Temple est un projet visant à reconstruire le Temple de Jérusalem.;Der Tempel Ezechiels oder der dritte Tempel Jerusalems ist im Buch Ezechiel des Alten Testaments die Vision des Jerusalemer Tempels nach der Zerstörung des ersten Tempels durch Nebukadnezar II.;; A pesar de seguir sin construirse, la idea y el deseo de un tercer templo es sagrada para el judaísmo, sobre todo para el judaísmo ortodoxo, como un lugar de culto no realizado. ;;;;;;;;;x
tp_rome_panth;Pantheon;Panthéon;Pantheon;; Panteón de Roma;;;;;;;;;x
tp_rome_panth_desc;The Pantheon is a building in Rome, Italy, commissioned by Marcus Agrippa during the reign of Augustus. It is one of the best-preserved of all Ancient Roman buildings.; À l’origine, le Panthéon était un temple dédié à toutes les divinités de la religion antique. Il fut converti en église chrétienne au VIIe siècle. C’est le plus grand monument romain antique qui nous soit parvenu en état pratiquement intact, du fait de son utilisation ininterrompue jusqu'à nos jours.;Das unter Kaiser Hadrian etwa 119/125 n. Chr. fertiggestellte Pantheon besaß für mehr als 1700 Jahre die größte Kuppel der Welt, gemessen am Innendurchmesser, und gilt allgemein als am besten erhaltenes Bauwerk der römischen Antike.;;El Panteón de Agripa o Panteón de Roma (en italiano: Il Pantheon) es un templo de planta circular erigido en Roma por Adriano, entre los años 118 y 125 d.C. completamente construido sobre las ruinas del templo erigido en el 27 a. C.;;;;;;;;;x
tp_rome_angel;Castel Sant'Angelo;Château Saint-Ange;Engelsburg;;Castillo Sant'Angelo;;;;;;;;;x
tp_rome_angel_desc;The Castel Sant'Angelo is a towering cylindrical building in Rome. It was initially commissioned by the Roman Emperor Hadrian as a mausoleum for himself and his family. The Castel Sant'Angelo is a refuge for the Pope in times of danger.;Le château Saint-Ange est un monument romain, situé sur la rive droite du Tibre, face au pons AElius, à Rome, non loin du Vatican.;Die Engelsburg in Rom wurde ursprünglich als Mausoleum für den römischen Kaiser Hadrian und seine Nachfolger errichtet und später von verschiedenen Päpsten zur Burg umgebaut.;;Iniciado por el emperador Adriano en el año 135 para ser su mausoleo personal y familiar, fue terminado por Antonino Pío en el 139. El monumento, levantado con piedra de travertino, estaba engalanado por una cuadriga en bronce guiada por el emperador Adriano.;;;;;;;;;x
tp_memphis_necropolis;Necropolis of Memphis;Saqqarah;Sakkara;;Saqqara;;;;;;;;;x
tp_memphis_necropolis_desc;This complex of ancient monuments includes the three pyramid complexes known as the Great Pyramids and the massive sculpture known as the Great Sphinx.;Saqqarah est une vaste nécropole de la région de Memphis.;Sakkara ist eine bedeutende altägyptische Nekropole am westlichen Nilufer.;;Saqqara es el emplazamiento de la necrópolis principal de la ciudad de Menfis, en la ribera occidental del Nilo.;;;;;;;;;x 
ca_buddhas;Buddhas of Bamiyan;Bouddhas de Bâmiyân;Buddha-Statuen von Bamiyan;;Budas de Bamiyan;;;;;;;;;x
ca_buddhas_desc;The Buddhas of Bamiyan are two monumental statues of standing buddha carved into the side of a cliff in the Bamwam valley.  Bamiyan was the site of several Buddhist monasteries, and a thriving center for religion, philosophy, and art.;Les Bouddhas de Bâmiyân sont trois statues monumentales en haut-relief de bouddhas debout, excavées dans la paroi d'une falaise située dans la vallée de Bâmiyân.;Die Buddha-Statuen von Bamiyan waren einst die größten stehenden Buddha-Statuen der Welt.;;Los Budas de Bamiyan fueron dos monumentales estatuas de Buda talladas a los lados de un acantilado en el valle de Bamiyan.;;;;;;;;;x
ca_zeus_0;Ruined Temple of Zeus;Ruines du Temple de Zeus;Ruinen der Tempel des Zeus;; Ruinas del templo de Zeus;;;;;;;;;x
ca_zeus_1;Restored Temple of Zeus;Temple de Zeus;Tempel des Zeus;;Templo de Zeus;;;;;;;;;x
ca_zeus_desc;The Temple of Zeus was dedicated to the god Zeus. It housed the renowned statue of Zeus, which was one of the Seven Wonders of the Ancient World.;Le temple colossal de Zeus Olympien, de style dorique, fut érigé entre 470 et 456 av. J.-C.;Der Tempel des Zeus war dem Gott Zeus gewidmet. Es beherbergt das berühmte Statue des Zeus, das eines der Sieben Weltwunder der Antike war.;;El Templo de Zeus fue dedicado al dios Zeus. Albergaba la famosa estatua de Zeus, que era una de las Siete Maravillas del Mundo Antiguo.;;;;;;;;;x
