#West African Stuff ;;;;;;;;;;;;;;x
EVTNAME1000109211;The Rise of the Songhai Empire;L'essor de l'empire Songhai;;;;;;;;;;;;x
wafrica.24.desc;“The lad Ouati was a clever genius despite his laziness, always impressing the excitable, ever-curious lass Kadi with his mind,” your Griot sings, as he begins his performance. “Today, if you wish, I will tell of the two. Today, I will tell of how they and their friends solved another mystery in their village, the mystery of the iced cream...”\n\n”No, no,” one of your audience members interrupt, as is typical custom, “Tell us the one when the sorceress Nemiss tricked Ouati into doing her bidding!” Yet another member of your court, a scholarly sort, speaks his opinion, “I want to hear the one where Ouati and his friends debate about the mysteries of anger.” One more person speaks out, saying, “Those stories aren’t as exciting as the one with the Persian siblings and the bristle toothbrush!”;"Le garçon Ouati était un génie intelligent malgré sa paresse, impressionnant toujours l'excitable et toujours curieux Kadi avec son esprit", chante votre Griot, alors qu'il commence sa performance. "Aujourd'hui, si vous le souhaitez, je parlerai des deux. Aujourd'hui, je raconterai comment eux et leurs amis ont résolu un autre mystère dans leur village, le mystère de la crème glacée..."\n\n”Non, non,"un de vos spectateurs interrompt, comme d'habitude, "Raconte-nous celui où la sorcière Nemiss a piégé Ouati pour qu'elle obéisse ses ordres !" Un autre membre de votre cour, de type savant, exprime son opinion : "Je veux entendre celle où Ouati et ses amis débattent des mystères de la colère". Une autre personne s'exprime en disant : "Ces histoires ne sont pas aussi excitantes que celle avec les frères et soeurs persans et la brosse à dents en soie !;;;;;;;;;;;;x
wafrica.24.name;Ouati and Kadi;Ouati et Kadi;;;;;;;;;;;;x
wafrica.24.a;So many choices. Good thing my Griot can tell them all!;Tant de choix. Heureusement que mon Griot peut tout leur raconter !;;;;;;;;;;;;x
wafrica.25.desc;“‘I’m curious at what you’re thinking,’ said the lass Kadi, as the lad Ouati tried to figure out a way to escape the trap,” your Griot tells, continuing the story. “‘How will we escape these lions?’” You don’t know how, but in your heart you know the lazy genius Ouati always figures out a way out of the situation!;"'Je suis curieux de savoir ce que vous pensez', dit le jeune Kadi, alors que le garçon Ouati essayait de trouver un moyen d'échapper au piège," raconte votre Griot, en poursuivant l'histoire. "Comment échapperons-nous à ces lions ?" Vous ne savez pas comment, mais dans votre cœur, vous savez que le génie paresseux Ouati trouve toujours un moyen de sortir de la situation !;;;;;;;;;;;;x
wafrica.25.a;I’m curious too! What’s his ingenious solution this time?;Je suis curieux aussi ! Quelle est sa solution ingénieuse cette fois ?;;;;;;;;;;;;x
wafrica.25.b;Ha, I’ve already figured this one, Ouati will use Kadi’s headscarf to...;Ha, j'ai déjà pensé qu'Ouati utilisera le foulard de Kadi pour...;;;;;;;;;;;;x
wafrica.26.desc;“‘...where my evil is law. Now the fool seeks to return to the past and undo the future that is Abubakari!’” your Griot sings in the melodramatic voice of the evil, shapeshifting sorcerer-king Abubakari. Indeed, you wonder, how will the warrior Soumaoro Yaqub undo Abubakari’s evil rule? Surely, the great villain Abu - as everyone calls him - is more than a mere sorcerer - he is a god, in a way.\nAs your Griot continues playing the song of Soumaoro Yaqub on his kora harp, you and your audience can’t wait to hear more of Soumaoro Yaqub’s endless quest to defeat the evil Abu. You’ve heard most of the stories about Soumaoro Yaqub, but you always enjoy hearing them again. Will your Griot tell of when the monkeys taught Yaqub learned to jump well? Or when Yaqub assisted the 300 Greek warriors against the Cattle-men?;"... où mon mal est la loi. Maintenant l'imbécile cherche à remonter dans le temps et à défaire l'avenir qu'est Abubakari!" chante votre Griot dans un ton mélodramatique du méchant Abubakari, un roi-sorcier aux formes changeantes. En effet, vous vous demandez, comment le guerrier Soumaoro Yaqub défait-il le pouvoir maléfique d'Abubakari ? Certes, le grand méchant Abu - comme tout le monde l'appelle - est plus qu'un simple sorcier - c'est un dieu, en quelque sorte.\nAlors que votre Griot continue à jouer la chanson de Soumaoro Yaqub sur sa harpe kora, vous et votre public sont impatients d'en savoir plus sur la quête sans fin de Soumaoro Yaqub pour vaincre le maléfique Abu. Vous avez entendu la plupart des histoires sur Soumaoro Yaqub, mais vous aimez toujours les entendre à nouveau. Est-ce que votre Griot vous dira quand les singes apprennent à Yaqub comment bien sauter ? Ou quand Yaqub a aidé les 300 guerriers grecs contre les hommes-bovins ?;;;;;;;;;;;;x
wafrica.26.name;The Evil that is Abu;Le mal qu'est Abu;;;;;;;;;;;;x
wafrica.26.a;How about the one when Yaqub lost all his clothes?;Et celle où Yaqub a perdu tous ses vêtements ?;;;;;;;;;;;;x
wafrica.27.desc;The audience roars with laughter as your Griot mimics your style of speech and movement during his performance. You can only grimace or do a weak laugh, for you know that the Griots have the right to mock and insult anyone, including their patron, even if that patron is a powerful [Root.GetTitle] like yourself.;Le public hurle de rire alors que votre Griot imite votre style de parole et de mouvement pendant sa performance. Vous ne pouvez que faire la grimace ou un rire faible, car vous savez que les Griots ont le droit de se moquer et d'insulter n'importe qui, y compris leur protecteur, même si ce protecteur est un puissant [Root.GetTitle] comme vous.;;;;;;;;;;;;x
wafrica.27.a;Ah, well, it’s not that bad.;Ah, eh bien, ce n'est pas si mal.;;;;;;;;;;;;x
wafrica.27.b;Fools! You’ll all pay for this... somehow...;Imbéciles ! Vous allez tous payer pour ça... d'une façon ou d'une autre...;;;;;;;;;;;;x
wafrica.27.c;Oh no, let me show you how you should do it!;Oh non, laissez-moi vous montrer comment faire !;;;;;;;;;;;;x
wafrica.28.desc;“There lies a fabled land far, far away,” your Griot says in a low-tone, powerful and suspenseful. “This is a fearsome, barren land, where the fabled one-legged, one-eyed men live, they who are heathen cannibals! Today, the warrior Soumaoro Yaqub, in his quest to defeat the evil Abubakari, travels there...”;"C'est là que se trouve une terre légendaire, très, très lointaine ", dit votre Griot dans un ton grave, puissant et plein de suspense. "C'est une terre effrayante et stérile, où vivent les légendaires hommes unijambistes et borgnes, ceux qui sont des cannibales païens ! Aujourd'hui, le guerrier Soumaoro Yaqub, dans sa quête pour vaincre le maléfique Abubakari, y voyage...";;;;;;;;;;;;x
wafrica.28.a;Will Soumaoro Yaqub undo Abubakari’s evil again?;Soumaoro Yaqub défait-il encore une fois le mal d'Abubakari ?;;;;;;;;;;;;x
wafrica.28.b;Any scholar knows one-legged men live south of us, and they aren’t cannibals!;N'importe quel érudit sait que les hommes unijambistes vivent au sud de nous, et qu'ils ne sont pas des cannibales !;;;;;;;;;;;;x
wafrica.29.desc;Today your Griot tells one of the comedic adventures of the perverted youth, Ali-Ali, who is always a lecher around pretty girls. But Ali-Ali also possesses some magical powers, being a sorcerer-in-training, so he always has to fight strange monstrosities terrorizing his village.;Aujourd'hui, votre Griot raconte l'une des aventures comiques de la jeunesse pervertie, Ali-Ali, qui est toujours un débauché autour des jolies filles. Mais Ali-Ali possède aussi des pouvoirs magiques, étant un sorcier en formation, il doit toujours combattre d'étranges monstruosités qui terrorisent son village.;;;;;;;;;;;;x
wafrica.29.a;Is he facing the evil crab again?;Est-il à nouveau confronté au crabe maléfique ?;;;;;;;;;;;;x
wafrica.30.desc;“There once was a bandit named Ridwan the Red,” your Griot sings, beginning his performance for the day, “who came riding to Oualata from old Timbuktu, and the braggart did swagger and brandish his spear, as he told of bold battles and gold he had stole...”;"Il était une fois, un bandit nommé Ridwan le Rouge", chante votre Griot, commençant sa performance pour la journée, "qui est venu à cheval de Oualata du vieux Tombouctou, et le fanfaron s'est vanté et a brandit sa lance, comme il a raconté des batailles audacieuses et de l'or qu'il avait volé...";;;;;;;;;;;;x
wafrica.30.a;Who’s going to humiliate that braggart this time?;Qui va humilier cette vantardise cette fois ?;;;;;;;;;;;;x
wafrica.31.desc;“There was a land far, far away, that was once threatened by a flying menace,” your Griot says, as he recounts yet another tale. “The flying monsters were great and many, like a swarm of locusts - who would, who could, kill them all? None, until came the once-imprisoned, saintly Kibu’u...”;"Il y avait une terre très lointaine, très lointaine, qui était autrefois menacée par une menace volante ", dit votre Griot, alors qu'il raconte une autre histoire. "Les monstres volants étaient grands et nombreux, comme un essaim de sauterelles - qui voudrait, qui pourrait les tuer tous ? Aucun, jusqu'à ce que vienne le saint Kibu'u, autrefois emprisonné, saint Kibu'u...";;;;;;;;;;;;x
wafrica.31.a;Tell us more.;Racontez-nous en plus.;;;;;;;;;;;;x
wafrica.31.b;Bah, I’ve heard other Griots sing the same.;Bah, j'ai entendu d'autres Griots chanter la même chose.;;;;;;;;;;;;x
wafrica.32.desc;“You’ve solved this mystery and helped me much,’ the sorceress Namiss said, congratulating the lad Ouati, that lazy genius,” as your Griot continues his tale. But your audience is incredulous. One of your courtiers says, confused, “That makes no sense, that can’t be the ending, and Ouati... isn’t Namiss - “;ous avez résolu ce mystère et m'avez beaucoup aidé ", dit la sorcière Namiss, félicitant le garçon Ouati, ce génie paresseux ", alors que votre Griot poursuit son histoire. Mais votre public est incrédule. Un de vos courtisans dit, confus, "Ça n'a pas de sens, ça ne peut pas être la fin, et Ouati.... n'est pas Namiss - ";;;;;;;;;;;;x
wafrica.32.a;Something is not right here... this story might not be over just yet...;Quelque chose ne va pas ici.... cette histoire n'est peut-être pas encore terminée...;;;;;;;;;;;;x
wafrica.32.b;Wait, I’ve heard this one before - the fools don’t see a plot twist coming!;Attendez, j'ai déjà entendu ça avant - les imbéciles ne voient pas venir le rebondissement !;;;;;;;;;;;;x
wafrica.35.desc;What comedic adventures will Ali-Ali go through today? You listen eagerly as your Griot begins to tell another tale of the perverted young sorcerer, Ali-Ali.\n“The clever little snail goddess, Nana, greeted our hero the lusty Ali-Ali. ‘I greet you, Ali-Ali-Ali!’ she said mischievously to her friend,” your Griot sings. “‘My name is not Ali-Ali-Ali!’ said Ali-Ali, ‘It is Ali-Ali!’ To which Nana replied, ‘Sorry, I stuttered!’ And Ali-Ali said, ‘Do you mean it wasn’t on purpose? You! You silly snail! Don’t make me do something nasty!”;Quelles aventures comiques Ali-Ali vivra-t-il aujourd'hui ? Vous écoutez attentivement quand votre Griot commence à raconter une autre histoire du jeune sorcier pervers, Ali-Ali.\n "La petite déesse escargot intelligente, Nana, a salué notre héros le luxuriant Ali-Ali. "Je te salue, Ali-Ali-Ali !" dit elle malicieusement à son amie," chante votre Griot. "Mon nom n'est pas Ali-Ali-Ali" a dit Ali-Ali, "C'est Ali-Ali !" Ce à quoi Nana répondit : "Désolé, j'ai bégayé !" Et Ali-Ali a dit : " Vous voulez dire que ce n'était pas intentionnellement ? Toi ! Espèce d'escargot ! Ne m'oblige pas à faire quelque chose de méchant !";;;;;;;;;;;;x
wafrica.35.name;Ali-Ali? Or Ali-Ali-Ali?;Ali-Ali? Ou Ali-Ali-Ali?;;;;;;;;;;;;x
wafrica.35.a;Wait, is it Arabi-Ali... Al-Hajj-Ali... Ali-Ali-Ali-Ali?;Wait, c'est Arabi-Ali... Al-Hajj-Ali... Ali-Ali-Ali-Ali ?;;;;;;;;;;;;x
wafrica.35.b;I’d like to eat some snail now that my Griot mentions it.;J'aimerais manger des escargots maintenant que mon Griot en parle.;;;;;;;;;;;;x
wafrica.35.c;I definitely know what Ali-Ali means by “nasty.”;Je sais très bien ce qu'Ali-Ali veut dire par "méchant".;;;;;;;;;;;;x
wafrica.36.desc;“[Root.GetTitledFirstName] is just , is [Root.GetSheHe] not? [Root.GetTitledFirstName] is kind, is [Root.GetSheHe] not? [Root.GetTitledFirstName] is mighty, is [Root.GetSheHe] not?” Your Griot sings as he plays his kora harp, the audience watching with rapt attention. “Indeed our [Root.GetTitle] is great, is [Root.GetSheHe] not?”;"[Root.GetTitledFirstName] est juste, n'est-ce pas ? [Root.GetTitledFirstName] est gentil, n'est-ce pas ? [Root.GetTitledFirstName] est puissant, n'est-ce pas ?" chante votre Griot pendant qu'il joue de sa harpe kora, le public qui regarde avec une attention particulière. "En effet, notre [Root.GetTitle] est génial, n'est-ce pas ?;;;;;;;;;;;;x
wafrica.36.a;Very good, very good.;Très bien, très bien.;;;;;;;;;;;;x
wafrica.36.b;No, this praise is too much...  I have faults too!;Non, cet éloge est trop...  J'ai aussi des défauts !;;;;;;;;;;;;x
wafrica.36.c;This is not enough praise - speak of my other strengths!;Ce n'est pas assez d'éloges - parlez de mes autres forces !;;;;;;;;;;;;x
wafrica.36.d;I can’t believe the audience listens to and believes this nonsense about me.;Je n'arrive pas à croire que le public écoute et croit ces bêtises à mon sujet.;;;;;;;;;;;;x
wafrica.37.desc;As part of his performance, your Griot steps back and forth solemnly as he chants praises to the ancestors of your clan. There is something dignified yet eerie about him as he marches around. “In the beginning was the Word,” your Griot once told you, “And then Music. Like smiths who learned to create and destroy through tools, so too did we Griots learn to create and destroy through Word, and through Music.”\n\nSuddenly, a child in your court runs out towards the Griot. You grab the boy and pull him back. “Be careful!” you whisper in a harsh tone. “Do you know who that is? Did your parents tell you nothing? If you cross the path of the Griots, you may die! If they touch you, and they wish it, you may die!” This is no superstition - in your heart, you know this to be true. The Griot is truly a fearsome being who possesses great power.;Dans le cadre de sa performance, votre Griot fait un va-et-vient solennel alors qu'il chante les louanges aux ancêtres de votre clan. Il y a quelque chose de digne et d'étrange chez lui alors qu'il marche dans tous les sens. "Au début, c'était la Parole", vous a dit un jour votre Griot, "Et puis la musique. Comme les forgerons qui ont appris à créer et à détruire à l'aide d'outils, nous aussi, les Griots, nous avons appris à créer et à détruire à l'aide de la Parole et de la Musique."\n\nSoudain, un enfant de votre cours court vers le Griot. Vous attrapez le garçon et vous le tirez en arrière. "Attention !" vous chuchotez d'un ton dur. "Savez-vous qui c'est ? Tes parents ne t'ont rien dit ? Si tu croises le chemin des Griots, tu peux mourir ! S'ils te touchent, et si ils le souhaitent, tu peux mourir !" Ce n'est pas une superstition - dans votre cœur, vous savez que c'est vrai. Le Griot est vraiment un être redoutable qui possède un grand pouvoir.;;;;;;;;;;;;x
wafrica.37.name;The Griot's Power;Le pouvoir du Griot;;;;;;;;;;;;x
wafrica.37.a;Even a [Root.GetTitle] such as myself must be careful.;Même un [Root.GetTitle] comme moi doit être prudent.;;;;;;;;;;;;x
wafrica.37.b;Even for all my skepticism, I cannot be skeptical of the Griot’s power.;Même si je suis sceptique, je ne peux pas être sceptique quant au pouvoir du Griot.;;;;;;;;;;;;x
wafrica.38.desc;Today, your Griot will take some time to tell fanciful tales to the children at your court. As you stand nearby, you can’t help but smile a bit as you recall your own childhood, and how your father’s Griot used to tell you exciting tales about the gods and heroes of your people.\n“What story should I tell?” your Griot asks, speaking to his audience, mostly children. “What of the trickster, Anansi the spider, who taught people how to weave cloth? Or how about the clever but lazy Ouati, who can solve any problem? Or what of the great warrior Soumaoro Yaqub, who seeks to undo the evil that is Abubakari?” The children all shout in chaotic disunion, as they demand to hear their favorite stories. You laugh a bit - you were once like that too, no?;Aujourd'hui, votre Griot prendra le temps de raconter des histoires fantaisistes aux enfants de votre cour. Tandis que vous vous tenez à proximité, vous ne pouvez pas vous empêcher de sourire un peu en vous souvenant de votre enfance et de la façon dont le Griot de votre père vous racontait des histoires passionnantes sur les dieux et les héros de votre peuple.\n"Quelle histoire dois-je raconter ?" demande votre Griot, s'adressant à son auditoire, surtout des enfants. "Qu'en est-il de l'escroc, Anansi l'araignée, qui a enseigné aux gens comment tisser le tissu ? Ou pourquoi pas l'intelligent mais paresseux Ouati, qui peut résoudre n'importe quel problème ? Ou qu'en est-il du grand guerrier Soumaoro Yaqub, qui cherche à défaire le mal qui est Abubakari ?" Les enfants crient tous en désunion chaotique, alors qu'ils exigent d'entendre leurs histoires préférées. Vous riez un peu - vous étiez comme ça aussi, non ?;;;;;;;;;;;;x
wafrica.38.name;Children's Stories;Histoires pour enfants;;;;;;;;;;;;x
wafrica.38.a;As long as my Griot doesn't sing about Ali-Ali the lusty sorcerer.;Tant que mon Griot ne chante pas sur Ali-Ali, le sorcier lubrique.;;;;;;;;;;;;x
wafrica.40.desc;As your Griot finishes yet another performance, the memory of all he has told us these past few days still rings fresh in your mind. Who knew the young sorcerer Ali-Ali could be so lustful, to scavenge after the dirty clothes of young maidens? Who knew my grandfather actually wrestled with five elephants? Who knew how the lazy genius Ouati got out of trouble yet again? And who knew I had so many good qualities?\nYour Griot knew all this. He once said, “My word is pure and free of untruth. It is the word of my father, his father, and his father, and so on as far back as anyone can remember.”\nYes. It must be so. It must have been since time immemorial. So you remember your Griot’s words, “Griots do not know what lying is.”;Alors que votre Griot termine une autre performance, le souvenir de tout ce qu'il nous a raconté ces derniers jours résonne encore dans votre esprit. Qui aurait cru que le jeune sorcier Ali-Ali pouvait être si lascif, à la recherche des vêtements sales des jeunes filles ? Qui aurait cru que mon grand-père s'est battu avec cinq éléphants ? Qui savait comment le génie paresseux Ouati s'est encore une fois tiré d'affaire ? Et qui savait que j'avais tant de bonnes qualités ?\nVotre Griot savait tout ça. Il a dit un jour : "Ma parole est pure et exempte de contrevérité. C'est la parole de mon père, de son père et de son père, et ainsi de suite aussi loin qu'on s'en souvienne. "Oui. Il doit en être ainsi. Ça doit être depuis des temps immémoriaux. Vous vous souvenez donc des mots de votre Griot : "Les Griots ne savent pas ce qu'est le mensonge.";;;;;;;;;;;;x
wafrica.40.name;Knowing Everything;Tout savoir;;;;;;;;;;;;x
wafrica.40.a;But for now, I should pay full attention to my Griot.;Mais pour l'instant, je devrais accorder toute mon attention à mon Griot.;;;;;;;;;;;;x
wafrica.41.desc;The trickster spirits are always a good topic for the Griots to talk about. Their stories are always full of mischievousness, perfect for all audiences. And so it is that your Griot tells about one such trickster today.\n”One day the trickster Takoi wore a hat, white on one side and red the other,” your Griot sings. “As he walked down the road, some people said his hat was white, but others said it was red. The people began to bicker about the color. White! Red! Red! White! They got so angry, they began to fight and hurt each other. Seeing this, Takoi laughed, exclaiming, ‘People will fight over anything!’”;Les esprits rusés sont toujours un bon sujet de conversation pour les Griots. Leurs histoires sont toujours pleines de malice, parfaites pour tous les publics. Et c'est ainsi que votre Griot parle aujourd'hui d'un tel escrocs.\n"Un jour, l'escroc Takoi portait un chapeau, blanc d'un côté et rouge de l'autre," chante votre Griot. "Alors qu'il marchait sur la route, certains disaient que son chapeau était blanc, mais d'autres disaient qu'il était rouge. Les gens ont commencé à se chamailler au sujet de la couleur. Blanc ! Rouge ! Rouge ! Blanc ! Ils se sont tellement mis en colère qu'ils ont commencé à se battre et à se faire du mal l'un à l'autre. En voyant cela, Takoi a ri, s'exclamant : 'Les gens se battront pour n'importe quoi !'";;;;;;;;;;;;x
wafrica.41.name;The Trickster;L'escroc;;;;;;;;;;;;x
wafrica.41.a;Ha, what silly people.;Ha, quelles personnes idiotes.;;;;;;;;;;;;x
wafrica.41.b;People tend to be like this all the time.;Les gens ont tendance à être comme ça tout le temps.;;;;;;;;;;;;x
wafrica.42.desc;Your Griot continues, “The hero Soumaoro Yaqub came across a strange man from Frangistan, a one-legged warrior wielding a large sword - “\n”The man shouldn’t be from Frangistan,” one of your courtiers interrupts. He suggests something else, as is custom, “I think he should be a Persian!”\n “Make him a Roman! From Constantinople! Romans are amazing,” says another member of the audience.\n”Whoever likes the decadent Romans are imbeciles,” cuts in another person, “The warrior should be from mystical Cathay!”\nAs the audience continues arguing, you see your Griot looks rather confused.;Votre Griot continue, "Le héros Soumaoro Yaqub est tombé sur un homme étrange du Frangistan, un guerrier unijambiste portant une grande épée - "\n"L'homme ne devrait pas être du Frangistan", interrompt l'un de vos courtisans. Il suggère quelque chose d'autre, comme c'est la coutume, "Je pense qu'il devrait être perse !"\nFais-en un Romain ! De Constantinople ! Les Romains sont incroyables," dit un autre membre du public.\n"Celui qui aime les Romains décadents sont des imbéciles," coupe dans une autre personne, "Le guerrier devrait être de la mystique Cathay !"\nPendant que le public continue à se disputer, vous voyez que votre Griot a l'air plutôt confus.;;;;;;;;;;;;x
wafrica.42.name;From Where?;D'où ?;;;;;;;;;;;;x
wafrica.42.a;Ignore the fools, choose whatever you want.;Ignorez les imbéciles, choisissez ce que vous voulez.;;;;;;;;;;;;x
wafrica.42.b;I think the warrior should come from...;Je pense que le guerrier devrait venir de...;;;;;;;;;;;;x
wafrica.43.desc;“And you,” your Griot sings, looking at one of your courtiers, “the people say you eat too much, and your feces are of many colors - yellow, blue, red, green, purple!”\nThe audience laughs as your gluttonous courtier blushes in embarrassment. “And you,” the Griot sings, continuing his tirade of mockery, “You there, the people say you are a lech, like the young sorcerer Ali-Ali was - but you are three times his age. What are you doing, chasing your granddaughter’s friends, dirty old man?”\nAnd now the Griot turns to yet another person. “And you, ah, you. The people say...”;"Et vous," chante votre Griot, en regardant l'un de vos courtisans, "les gens disent que vous mangez trop, et vos excréments sont de plusieurs couleurs - jaune, bleu, rouge, vert, violet !"\nLe public rit pendant que votre courtisan gloutonne rougit dans l'embarras. "Et vous," chante le Griot, poursuivant sa tirade de moquerie, Vous là, les gens disent que vous êtes un lubrique, comme l'était le jeune sorcier Ali-Ali - mais vous avez trois fois son âge. Qu'est-ce que vous faites, à courir après les amis de votre petite-fille, vieux cochon ?"Et maintenant le Griot se tourne vers une autre personne. "Et vous, ah, vous, vous. Les gens disent...";;;;;;;;;;;;x
wafrica.43.name;And You, And You;Et vous, et vous;;;;;;;;;;;;x
wafrica.43.a;Don’t you dare insult me.;Ne vous avisez pas de m'insulter.;;;;;;;;;;;;x
wafrica.43.b;My Griot, talk about my flaws too.;Mon Griot, parlez aussi de mes défauts.;;;;;;;;;;;;x
wafrica.43.c;Talk of my children, that they learn from their flaws.;Parler de mes enfants, qu'ils apprennent de leurs défauts.;;;;;;;;;;;;x
wafrica.44.desc;“Of whose ancestors should I speak?” your Griot shouts, “Should I speak of your lineage of leatherworkers, Bonga? For I knew your grandfather well, he was a hard-working man. Or, perhaps, I should tell of your mighty lineage of hunters, Kassa?”\nA few members of the audience make their suggestions, before your Griot decides. “Very well! Listen then to my word, for I will tell you of the ancestors of the jeweler Sakoura. They are brave men, this lineage, who show their strength not through force of arms like warriors or hunters, but through their craft and through their shrewdness. Let me tell of how Sakoura’s great-grandfather Fodi foiled the evil Tuareg chief Ilyas with his wits, with nothing but some Greek pastries and some silver rings...”;"De quels ancêtres devrais-je parler ?" votre Griot crie : "Dois-je parler de votre lignée de maroquiniers, Bonga ? Car je connaissais bien votre grand-père, c'était un homme travailleur. Ou peut-être devrais-je parler de votre puissante lignée de chasseurs, Kassa ?"\nQuelques membres de l'auditoire font leurs suggestions, avant que votre Griot ne décide. "Très bien ! Écoutez donc ma parole, car je vous parlerai des ancêtres du joaillier Sakoura. Ce sont des hommes courageux, cette lignée, qui montrent leur force non pas par la force des armes comme les guerriers ou les chasseurs, mais par leur métier et par leur finesse. Laissez-moi vous raconter comment l'arrière-grand-père de Sakoura, Fodi, a déjoué le méchant chef Touareg Ilyas avec son esprit, avec rien d'autre que des pâtisseries grecques et des bagues en argent...";;;;;;;;;;;;x
wafrica.44.name;Whose Ancestor?;L'ancêtre de qui ?;;;;;;;;;;;;x
wafrica.44.a;Now this sounds like a good story...;Ça a l'air d'être une bonne histoire...;;;;;;;;;;;;x
wafrica.45.tooltip;Preparations for the performance are made - everybody can't wait!;Les préparatifs pour la performance sont faits - tout le monde ne peut pas attendre !;;;;;;;;;;;;x
wafrica.45.desc;The day of the performance has dawned. Your Griot, dressed in his finest attire, holds in his hand a kora harp - the sweet, delicate, yet powerful instrument of the griots - as he presents himself before the community. What sort of stories will he tell? What sort of people will he mock? What ancestors will he honor? For the next few days, you and the community will bear witness to these, and more, perhaps for hours on end.\n\nIt is custom among the peoples of the savanna that the audience can make suggestions (or even constructive criticisms) to the Griot throughout his performance. Since you are the highest-ranked member of the community present, your Griot allows you to make a suggestion first. “What would I like to hear?” you think to yourself. There are so many things to hear of - too many, for the Griots know much. So many choices indeed!;Le jour de la performance est arrivé. Votre Griot, vêtu de ses plus beaux atours, tient dans sa main une harpe kora - l'instrument doux, délicat mais puissant des griots - telle qu'il se présente devant la communauté. Quel genre d'histoires racontera-t-il ? De quel genre de personnes se moque-t-il ? Quels ancêtres honorera-t-il ? Pour les prochains jours, vous et la communauté en témoignerez, et peut-être même pendant des heures. Il est d'usage parmi les peuples de la savane que le public puisse faire des suggestions (ou même des critiques constructives) au Griot tout au long de son spectacle. Comme vous êtes le membre le mieux classé de la communauté présent, votre Griot vous permet de faire une suggestion en premier. "Qu'est-ce que j'aimerais entendre ?" pensez vous. Il y a tellement de choses à entendre - trop de choses, car les Griots en savent beaucoup. Autant de choix en effet !;;;;;;;;;;;;x
wafrica.45.name;The Show Begins!;Le spectacle commence !;;;;;;;;;;;;x
wafrica.45.a;I think we should start with the story about...;Je pense que nous devrions commencer par l'histoire de...;;;;;;;;;;;;x
wafrica.100.name;A Comedy of Errors;Une comédie d'erreurs;;;;;;;;;;;;x
wafrica.100.desc;The audience roars with laughter as your griot recalls a tale of blunders. In this one, a poor woman, due to her stupidity, ends up marrying two men by accident! It doesn't help that her two husbands are also buffoons as well.\n\nEven the most serious-faced of your courtiers have a hard time suppressing their laughter when your griot acts out each of the characters, their ridiculous mannerisms and the slapstick comedy they get themselves into.\n\nHow will these idiots ever solve their dilemma? Will the woman be able to settle with one of her husbands?;Le public hurle de rire quand votre griot se souvient d'une histoire de gaffes. Dans celle-ci, une pauvre femme, à cause de sa stupidité, finit par épouser deux hommes par accident ! Cela n'aide pas que ses deux maris soient aussi des bouffons. Même les plus sérieux de vos courtisans ont du mal à supprimer leur rire quand votre griot joue chacun des personnages, leurs manières ridicules et la comédie d'esclavage dans laquelle ils s'embarquent. Comment ces idiots résoudraient-ils jamais leur dilemme ? La femme pourra-t-elle s'installer avec l'un de ses maris ?;;;;;;;;;;;;x
wafrica.100.a;You laugh and laugh again.;Vous riez et riez encore.;;;;;;;;;;;;x
wafrica.101.name;Fables for the Children;Fables pour les enfants;;;;;;;;;;;;x
wafrica.101.desc;Today your griot is spending time telling stories aimed at the children. These are simpler fare, without the darker themes or more complex plots and characters found in tales meant for adults. Oftentimes, these stories have a moral of some sort. To you, as an adult, such morals are obvious - "obey your parents," or "be kind to one another," or "do not be too greedy" for instance - but to the children, who don't know any better, they are simply mesmerized by the rivalry between the lion and the elephant, or the amusing antics of the rabbit, or the cunning of the shepherd boy.;Aujourd'hui, votre griot passe du temps à raconter des histoires destinées aux enfants. Il s'agit d'une histoire plus simple, sans les thèmes plus sombres ou les intrigues et les personnages plus complexes que l'on retrouve dans les contes destinés aux adultes. Souvent, ces histoires ont une sorte de morale. Pour vous, en tant qu'adulte, de telles morales sont évidentes - "obéissez à vos parents", ou "soyez bons les uns envers les autres", ou "ne soyez pas trop gourmands" par exemple - mais pour les enfants, qui ne savent pas mieux, ils sont simplement hypnotisés par la rivalité entre le lion et l'éléphant, ou les amusantes bouffonneries du lapin, ou la ruse du garçon berger.;;;;;;;;;;;;x
wafrica.101.a;These are good, wholesome stories, I suppose.;Ce sont de bonnes histoires saines, je suppose.;;;;;;;;;;;;x
wafrica.102.name;Koi-Koi the Fake;Koi-Koi le faux;;;;;;;;;;;;x
