#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
drunken_tournament;Drunken Fool;Imbécile ivre;Drunken Fool;;Bufón beodo;;;;;;;;;x
EVTDESC70079;Here lists all living medal winners of the Grand Tourneys of Europe, where all Knights and Lords of the realm are invited.;Ici sont inscrites toutes les personnes vivantes ayant remporté une médaille les Grands Tournois de Europa, où tous les chevaliers et les seigneurs sont invités.;Here lists all living medal winners of the Grand Tourneys of Europe, where all Knights and Lords of the realm are invited.;;Aquí una lista de todos los ganadores vivos de medallas en los grandes torneos de Europa, en los que se invita a todos los caballeros y señores del reino.;;;;;;;;;x
EVTDESC70080;Here lists all living medal winners of the Tourneys in your region.;Ici sont inscrites toutes les personnes vivantes ayant remporté une médialle dans les Grands Tournois de votre région.;Here lists all living medal winners of the Tourneys in your region.;;Aquí una lista de todos los ganadores vivos de medallas de torneos en tu región.;;;;;;;;;x
EVTDESC70081;Here lists all living medal winners of the local Tourneys;Ici sont inscrites toutes les personnes ayant remporté une médaille dans les Tournois locaux.;Here lists all living medal winners of the local Tourneys;;Aquí una lista de todos los ganadores vivos de medallas de torneos locales.;;;;;;;;;x
EVTDESC70082;You stumble out to the tourney grounds in a haze of ale, ready to face your next joust. You try to mount your horse, but trip and fall from the saddle. You begin to notice the eyes of the tourney-goers on you, and realize to your horror that you've forgotten to don your armor and most of your clothes.;Vous vous sentez prêt à participez à votre prochaine joute. Vous empestez le vin et c'est en titubant que vous entrez sur le terrain. Vous essayez de monter sur votre cheval mais perdez l'équilibre avant de tomber de votre selle. Vous remarquez les regards de la foule et réalisez avec horreur que vous avez oublié de mettre votre armure et la plupart de vos vêtements.;You stumble out to the tourney grounds in a haze of ale, ready to face your next joust. You try to mount your horse, but trip and fall from the saddle. You begin to notice the eyes of the tourney-goers on you, and realize to your horror that you've forgotten to don your armor and most of your clothes.;;Tropiezas por el campo del torneo bajo los efectos de la cerveza, preparado para enfrentar tu siguiente justa. Intentas subir al caballo, pero pierdes el equilibrio y caes de la silla. Empiezas a notar los ojos de los asistentes del torneo puestos en ti, y te das cuenta con horror de que has olvidado ponerte la armadura y buena parte de la ropa.;;;;;;;;;x
EVTDESC70083;It is [From.GetBestName]'s turn to joust, but to the crowd's shock, [From.GetSheHe] stumbles out to the tourney field late and clearly drunk, with none of [From.GetHerHis] armor and only slightly more of [From.GetHerHis] clothing. [From.GetSheHeCap] tries to mount [From.GetHerHis] horse, but trips and falls comically to the ground, unable even to ride.;C'est au tour de [From.GetBestName] d'entrer en lice, mais la foule est choquée. [From.GetSheHe] arrive en titubant sur le terrain et est clairement ivre. [From.GetSheHe] ne porte pas d'armure et a oublié de mettre la plupart de ses vêtements. [From.GetSheHeCap] essaye de monter sur son cheval, mais tombe immédiatement de selle.;It is [From.GetBestName]'s turn to joust, but to the crowd's shock, [From.GetSheHe] stumbles out to the tourney field late and clearly drunk, with none of [From.GetHerHis] armor and only slightly more of [From.GetHerHis] clothing. [From.GetSheHeCap] tries to mount [From.GetHerHis] horse, but trips and falls comically to the ground, unable even to ride.;;Es el turno de [From.GetBestName] en la justa, pero para sorpresa de la multitud, tarde y evidentemente beodo, va tropezando por el campo del torneo, sin la armadura y escaso de ropa. Intenta subir al caballo, pero pierde el equilibrio y cae cómicamente de la silla, incapaz de montar.;;;;;;;;;x
EVTDESC70084;[From.GetBestName] was furious at your disrespect, and demanded that you be thrown out of the tournament!;[From.GetBestName] était furieux(se) de votre manque de respect et a demandé à ce que vous soyez mis à la porte du tournoi !;[From.GetBestName] was furious at your disrespect, and demanded that you be thrown out of the tournament!;;[From.GetBestName] estaba furioso por tu falta de respeto y ¡ordena que te expulsen del torneo!;;;;;;;;;x
EVTDESC70085;Fortunately, [From.GetBestName] found your drunken antics more amusing than insulting. You still had to drop out of the tournament, but [From.GetHerHis] approval softens the blow to your reputation, somewhat.;Heureusement, [From.GetBestName] a trouvé vos cabrioles d'ivrogne plus amusantes qu'insultantes. Vous avez dû quitter le tournoi, mais son approbation a quelque peu atténué l'impact de cette frasque sur votre réputation.;Fortunately, [From.GetBestName] found your drunken antics more amusing than insulting. You still had to drop out of the tournament, but [From.GetHerHis] approval softens the blow to your reputation, somewhat.;;Afortunadamente, [From.GetBestName] encontró tus payasadas de borracho más divertidas que ofensivas. Debes abandonar igualmente el torneo, pero su aprobación disminuye algo la mancha en tu reputación.;;;;;;;;;x
EVTDESC70086;[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], I hereby invite you to attend the tourney of [From.Capital.GetName], where you shall see Knights and Lords test their mettle.\n\n Regards,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], par la présente je vous invite à assister au tournoi de [From.Capital.GetName], où Chevaliers et Seigneurs mettront à l'épreuve leur courage.\n\n Cordialement,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName].;[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], I hereby invite you to attend the tourney of [From.Capital.GetName], where you shall see Knights and Lords test their mettle.\n\n Regards,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];;[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], por la presente te invito a asistir al torneo de [From.Capital.GetName], donde caballeros y señores de todo el reino probarán su valía.\n\n Atentamente,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;x
EVTDESC70087;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed second in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a obtenu la seconde place du tournoi de  [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed second in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] quedó segundo en el torneo del(a) [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;;;;;;;;;x
EVTDESC70088;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed third in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a obtenu la troisième place du tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed third in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] quedó tercero en el torneo del(a) [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;;;;;;;;;x
EVTDESC70089;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been tragically killed during [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a tragiquement trouvé la mort lors du tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been tragically killed during [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] ha muerto trágicamente durante el torneo del(a) [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;;;;;;;;;x
EVTDESC70090;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been horrifically maimed jousting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a été horiblement mutilé lors d'une joute au tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been horrifically maimed jousting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] ha sido terriblemente mutilado en el torneo del(a) [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;;;;;;;;;x
EVTDESC70091;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been badly wounded fighting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a été sévèrement blessé lors d'un combat au tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been badly wounded fighting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] ha sido malherido en el torneo del(a) [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;;;;;;;;;x
EVTDESC70092;After much food, wine, jousting and combat, [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s Tourney has finally ended.;Après de nombreux festins, beuveries, joutes et combats, le Tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] a finalement pris fin.;After much food, wine, jousting and combat, [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s Tourney has finally ended.;;Después de mucho vino y comida, justas y lides, el torneo del(a) [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] ha terminado al fin.;;;;;;;;;x
EVTDESC70095;My [GetFromRelation] [From.GetTitledFirstName] has shown time and time again their skill at arms during the Tourney. Despite not winning, [From.GetSheHe] prevailed against many knights in the lists, covering [From.GetHerHim]self in glory.;Mon(a) [GetFromRelation] [From.GetTitledFirstName] a montré à de nombreuses reprises sa maîtrise des armes durant le Tournoi. Même s'[From.GetSheHe] n'a pas gagné, [From.GetSheHe] a battu de nombreux chevaliers dans les lices, se couvrant de gloire.;My [GetFromRelation] [From.GetTitledFirstName] has shown time and time again their skill at arms during the Tourney. Despite not winning, [From.GetSheHe] prevailed against many knights in the lists, covering [From.GetHerHim]self in glory.;;Tu [GetFromRelation] [From.GetTitledFirstName] ha mostrado su habilidad una y otra vez durante el torneo. A pesar de no haber ganado, prevaleció contra muchos caballeros en la competición, y logró cubrirse de gloria.;;;;;;;;;x
EVTDESC70096;My [GetFromRelation] [From.GetTitledFirstName] may not have won any of the melee events in the Tourney but [From.GetHerHis] prowess in the lists did not go unnoticed.;Mon(a) [GetFromRelation] [From.GetTitledFirstName] n'a peut-être pas remporté de mélée lors du Tournoi, mais ses prouesses dans les lices ne sont pas passées inaperçues.;My [GetFromRelation] [From.GetTitledFirstName] may not have won any of the melee events in the Tourney but [From.GetHerHis] prowess in the lists did not go unnoticed.;;Tu [GetFromRelation] [From.GetTitledFirstName] no ha logrado vencer en ninguna de las pruebas del torneo, pero su habilidad en la competición no ha pasado desapercibida.;;;;;;;;;x
EVTDESC70097;My [GetFromRelation] [From.GetTitledFirstName] failed to display their full prowess during the Tourney. [From.GetSheHeCap] won a handful of tilts against lesser men, but was soundly beaten in the later lists.;Mon(a) [GetFromRelation] [From.GetTitledFirstName] n'a pas réussi à montrer toute sa valeur durant le Tournoi. [From.GetSheHeCap] a remporté une poignée de victoires contre des hommes de moindre valeur, mais a été sèchement vaincu dans les dernières lices.;My [GetFromRelation] [From.GetTitledFirstName] failed to display their full prowess during the Tourney. [From.GetSheHeCap] won a handful of tilts against lesser men, but was soundly beaten in the later lists.;;Tu [GetFromRelation] [From.GetTitledFirstName] no logró mostrar auténtica habilidad en el torneo. Venció en las primeras lides, pero fue ampliamente derrotado en las últimas rondas.;;;;;;;;;x
EVTDESC70098;My [GetFromRelation] [From.GetTitledFirstName] was vanquished in the early rounds of the Tourney. We can still hear the scorn of the crowd, after [From.GetSheHe] was unhorsed time after time.;Mon(a) [GetFromRelation] [From.GetTitledFirstName] a été vaincu dans les premiers tours du Tournoi. Nous pouvons encore entendre le mépris et les railleries de la foule à chaque fois qu'[From.GetSheHe] était désarçonné(e).;My [GetFromRelation] [From.GetTitledFirstName] was vanquished in the early rounds of the Tourney. We can still hear the scorn of the crowd, after [From.GetSheHe] was unhorsed time after time.;;Tu [GetFromRelation] [From.GetTitledFirstName] fue derrotado en las primeras rondas del torneo. Aún puedes oír el desprecio de la multitud mientras le derribaban del caballo una y otra vez.;;;;;;;;;x
EVTDESCjoust.0;It is time to prove you know how to joust, your name has come up in the tournament roster.;It is time to prove you know how to joust, your name has come up in the tournament roster.;It is time to prove you know how to joust, your name has come up in the tournament roster.;;Es hora de que demuestres que sabes justar, tu nombre aparece en el tablón del torneo.;;;;;;;;;x
EVTDESCjoust.10;The joust is over, and both participants have managed to avoid any injuries.;The joust is over, and both participants have managed to avoid any injuries.;The joust is over, and both participants have managed to avoid any injuries.;;La justa ha acabado, y ambos contendientes consiguieron evitar resultar heridos.;;;;;;;;;x
EVTDESCjoust.11;The joust is over, and the loser was wounded!;The joust is over, and the loser was wounded!;The joust is over, and the loser was wounded!;;La justa ha acabado, ¡y el perdedor resultó herido!;;;;;;;;;x
EVTDESCjoust.12;The joust is over, and the loser was maimed!;The joust is over, and the loser was maimed!;The joust is over, and the loser was maimed!;;La justa ha acabado, ¡y el perdedor ha sufrido una mutilación!;;;;;;;;;x
EVTDESCjoust.13;The joust is over, and the loser was killed!;The joust is over, and the loser was killed!;The joust is over, and the loser was killed!;;La justa ha acabado, ¡y el perdedor ha perdido la vida!;;;;;;;;;x
EVTDESCjoust.1;You are facing your next opponent in the joust. You climb your horse and your squire hands you your lance and shield. This is your chance to prove your worth!;You are facing your next opponent in the joust. You climb your horse and your squire hands you your lance and shield. This is your chance to prove your worth!;You are facing your next opponent in the joust. You climb your horse and your squire hands you your lance and shield. This is your chance to prove your worth!;;Te enfrentas al siguiente oponente de la justa. Subes al caballo y tu escudero te entrega tu escudo y tu lanza. ¡Esta es la ocasión de probar tu valía!;;;;;;;;;x
EVTDESCjoust.20;The duel is fought, and honor is satisfied even if no blood was shed.;The duel is fought, and honor is satisfied even if no blood was shed.;The duel is fought, and honor is satisfied even if no blood was shed.;;Ha tenido lugar el duelo, y se ha satisfecho el honor incluso sin que se haya derramado sangre.;;;;;;;;;x
EVTDESCjoust.21;The duel is fought, and the loser is lying on the ground, not moving. Honor is satisfied.;The duel is fought, and the loser is lying on the ground, not moving. Honor is satisfied.;The duel is fought, and the loser is lying on the ground, not moving. Honor is satisfied.;;Ha tenido lugar el duelo, y el perdedor yace en el suelo, inmóvil. El honor ha sido satisfecho.;;;;;;;;;x
EVTDESCjoust.2;Both knights are prepared for the event. Their lances are shining in the sun while the crowd looks on expectantly.;Both knights are prepared for the event. Their lances are shining in the sun while the crowd looks on expectantly.;Both knights are prepared for the event. Their lances are shining in the sun while the crowd looks on expectantly.;;Ambos caballeros están preparados para el evento. Sus lanzas brillan al sol mientras la multitud aguarda expectante.;;;;;;;;;x
EVTDESCjoust.3;Your opponent [From.GetTitledFirstName] stands down from the jousts, and will no longer participate in this part of the tournament.;Your opponent [From.GetTitledFirstName] stands down from the jousts, and will no longer participate in this part of the tournament.;Your opponent [From.GetTitledFirstName] stands down from the jousts, and will no longer participate in this part of the tournament.;;Tu oponente [From.GetTitledFirstName] se ha retirado de la justa, y no volverá a participar en esta modalidad del torneo.;;;;;;;;;x
EVTOPTA70000;A chance to prove my worth;Une chance de prouver ma valeur;A chance to prove my worth;;La ocasión de probar mi valía;;;;;;;;;x
EVTOPTA70008;Hopefully they feel the same way;Hopefully they feel the same way;Hopefully they feel the same way;;Con suerte ellos sentirán lo mismo;;;;;;;;;x
EVTOPTA70031;I am more diplomatic than I thought.;Je suis plus diplomate que je le pensais.;I am more diplomatic than I thought.;;Soy más diplomático de lo que pensaba;;;;;;;;;x
EVTOPTA70050;I feel the same way;I feel the same way;I feel the same way;;Siento lo mismo;;;;;;;;;x
EVTOPTA70051;I am so happy!;I am so happy!;I am so happy!;;¡Soy tan feliz!;;;;;;;;;x
EVTOPTA70052;[FromFrom.GetSheHeCap] truly deserves it!;[FromFrom.GetSheHeCap] le mérite vraiment !;[FromFrom.GetSheHeCap] truly deserves it!;;¡Realmente se lo ha merecido!;;;;;;;;;x
EVTOPTA70053;She is truely a beauty;Elle est réellement une beauté.;She is truely a beauty;;Ella es una auténtica belleza.;;;;;;;;;x
EVTOPTA70054;Hedge Knights don't belong here;Les Chevaliers Errants n'ont rien à faire ici.;Hedge Knights don't belong here;;Aquí no hay sitio para caballeros errantes.;;;;;;;;;x
EVTOPTA70057;How wonderful!;Que c'est merveilleux !;How wonderful!;;¡Qué maravilla!;;;;;;;;;x
EVTOPTA70058;A good choice;Un bon choix.;A good choice;;Buena elección;;;;;;;;;x
EVTOPTA70060;Do I really care now?;Je m'en fiche désormais.;Do I really care now?;;¿Y qué me importa?;;;;;;;;;x
EVTOPTA70061;He merely jests;Ce n'était que de simples plaisanteries.;He merely jests;;Tan sólo bromea;;;;;;;;;x
EVTOPTA70062;I will dominate him;Je vais le battre.;I will dominate him;;Se va a enterar;;;;;;;;;x
EVTOPTA70063;I apologise profusely;Je lui présente mes excuses.;I apologise profusely;;Le ofrezco mil disculpas;;;;;;;;;x
EVTOPTA70064;Good;Bien;Good;;Bien;;;;;;;;;x
EVTOPTA70065;My honour is restored;Mon honneur est lavé…;My honour is restored;;He recuperado mi honor...;;;;;;;;;x
EVTOPTA70066;Until the next time...;Jusqu'à la prochaine fois…;Until the next time...;;Hasta la próxima...;;;;;;;;;x
EVTOPTA70067;The humiliation...;Quelle humiliation…;The humiliation...;;¡Qué humillación... !;;;;;;;;;x
EVTOPTA70068;The humiliation...;Quelle humiliation…;The humiliation...;;¡Qué humillación... !;;;;;;;;;x
EVTOPTA70071;How exciting!;Que c'est excitant !;How exciting!;;¡Qué emocionante!;;;;;;;;;x
EVTOPTA70074;I shall pursue her;Je vais lui faire des avances.;I shall pursue her;;Iré tras ella.;;;;;;;;;x
EVTOPTA70075;Embrace the passion;Embrassez la passion;Embrace the passion;;Abrazar la pasión;;;;;;;;;x
EVTOPTA70076;Great!;Génial !;Great!;;¡Genial!;;;;;;;;;x
EVTOPTA70077;I'll have to find some wench then;Je devrai chercher une autre jouvencelle dans ce cas.;I'll have to find some wench then;;En ese caso me buscaré una moza.;;;;;;;;;x
EVTOPTA70078;Grand Tourney;Grand Tournoi;Grand Tourney;;Gran Torneo;;;;;;;;;x
EVTOPTA70079;Winners;Vainqueurs;Winners;;Vencedores;;;;;;;;;x
EVTOPTA70082;Gods be good, what was I thinking...;Que les Dieux soient bons, à quoi pensais-je…;Gods be good, what was I thinking...;;Dios bendito, ¿en qué estaría yo pensando...?;;;;;;;;;x
EVTOPTA70083;Ha! Now there's a [From.GetManWoman] who knows how to celebrate!;Ha ! Voilà un(e) [From.GetManWoman] qui sait faire la fête !;Ha! Now there's a [From.GetManWoman] who knows how to celebrate!;;¡Ja! ¡Aquí hay un(a) [From.GetManWoman] que sabe cómo divertirse!;;;;;;;;;x
EVTOPTA70084;There'll be no glory for me this year.;Il n'y aura pas de gloire pour moi cette année.;There'll be no glory for me this year.;;No hay gloria para mí este año.;;;;;;;;;x
EVTOPTA70085;There'll be no glory for me this year.;Il n'y aura pas de gloire pour moi cette année.;There'll be no glory for me this year.;;No hay gloria para mí este año.;;;;;;;;;x
EVTOPTA70086;I will attend, It shall be entertaining!;Je serai présent, ce sera amusant !;I will attend, It shall be entertaining!;;Asistiré, ¡será divertido!;;;;;;;;;x
EVTOPTA70087;A worthy runner up;Un digne second.;A worthy runner up;;Un digno finalista;;;;;;;;;x
EVTOPTA70088;[FromFrom.GetSheHeCap] fought well;[FromFrom.GetSheHeCap] s'est bien battu !;[FromFrom.GetSheHeCap] fought well;;[FromFrom.GetSheHeCap] ha luchado bien;;;;;;;;;x
EVTOPTA70089;How unfortunate;Quel malheur !;How unfortunate;;De lo más desafortunado;;;;;;;;;x
EVTOPTA70092;It was a fine spectacle!;Ce fut un beau spectacle !;It was a fine spectacle!;;¡Fue un hermoso espectáculo!;;;;;;;;;x
EVTOPTAjoust.1;Time to prove my worth.;Time to prove my worth.;Time to prove my worth.;;Hora de probar mi valía;;;;;;;;;x
EVTOPTAjoust.2;I'm ready, time to prove my worth.;I'm ready, time to prove my worth.;I'm ready, time to prove my worth.;;Estoy listo, es hora de probar mi valía.;;;;;;;;;x
EVTOPTB70003;My squire deserves some credit;Mon écuyer mérite un certain crédit.;My squire deserves some credit;;Mi escudero merece parte de la honra.;;;;;;;;;x
EVTOPTB70005;Personally I blame my squire;Personnellement, je blâme mon écuyer.;Personally I blame my squire;;Pienso que es culpa de mi escudero;;;;;;;;;x
EVTOPTB70050;It was fun, but let's end it here.;It was fun, but let's end it here.;It was fun, but let's end it here.;;Fue divertido, pero vamos a dejarlo aquí;;;;;;;;;x
EVTOPTB70053;She is of a great family;Elle est d'une grande famille.;She is of a great family;;Ella es de una gran familia;;;;;;;;;x
EVTOPTB70054;I shall welcome him;Je l'accueillerai.;I shall welcome him;;Le daré la bienvenida;;;;;;;;;x
EVTOPTB70059;This is a great honour for our house;C'est un grand honneur pour notre Maison.;This is a great honour for our house;;Este es un gran honor para nuestra casa;;;;;;;;;x
EVTOPTB70061;I will show him;Je vais lui montrer.;I will show him;;Se va a enterar;;;;;;;;;x
EVTOPTB70063;I accept!;J'accepte !;I accept!;;¡Acepto!;;;;;;;;;x
EVTOPTB70074;She's not for me;Elle n'est pas pour moi.;She's not for me;;Ella no es para mí.;;;;;;;;;x
EVTOPTB70075;No thanks;Non merci.;No thanks;;No, gracias.;;;;;;;;;x
EVTOPTB70078;Regional Tourney;Tournoi Régional;Regional Tourney;;Torneo regional;;;;;;;;;x
EVTOPTB70079;Runners-up;Seconde place;Runners-up;;Finalistas;;;;;;;;;x
EVTOPTB70083;This is an outrage!;C'est un outrage !;This is an outrage!;;¡Esto es un escándalo!;;;;;;;;;x
EVTOPTB70086;I have better things to do than watch jousting;J'ai des choses plus importantes à faire qu'à regarder des joutes.;I have better things to do than watch jousting;;Tengo mejores cosas que hacer que admirar las justas.;;;;;;;;;x
EVTOPTB70087;[FromFrom.GetSheHeCap] brought honour to House [Root.GetOnlyDynastyName];[FromFrom.GetSheHeCap] a fait honneur à la Maison [Root.GetOnlyDynastyName].;[FromFrom.GetSheHeCap] brought honour to House [Root.GetOnlyDynastyName];;[FromFrom.GetSheHeCap] logró prestigio para la casa [Root.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTBjoust.1;Oh my… I really don't want to go through with this!;Oh my… I really don't want to go through with this!;Oh my… I really don't want to go through with this!;;¡Cielos... en realidad no quiero pasar por esto!;;;;;;;;;x
EVTOPTC70000;This is below me;C'est au-dessous de mon niveau.;This is below me;;No me llega a la suela del zapato;;;;;;;;;x
EVTOPTC70053;She is my love;C'est mon amour.;She is my love;;Ella es mi amor;;;;;;;;;x
EVTOPTC70061;That's it! I challenge you to single combat!;Très bien ! Je vous défie en combat singulier !;That's it! I challenge you to single combat!;;¡Eso es! ¡Os desafío a combate singular!;;;;;;;;;x
EVTOPTC70078;Local Tourney;Tournoi Local;Local Tourney;;Torneo local;;;;;;;;;x
EVTOPTC70079;Third Place;Troisième place;Third Place;;Tercer puesto;;;;;;;;;x
EVTOPTC70087;Glory to House [Root.GetOnlyDynastyName]!;Gloire à la Maison [Root.GetOnlyDynastyName] !;Glory to House [Root.GetOnlyDynastyName]!;;¡Gloria para la casa [Root.GetOnlyDynastyName]!;;;;;;;;;x
EVTOPTC70095;This reflects well on me and House [Root.GetOnlyDynastyName];Cela rejaillit sur moi et sur la Maison [Root.GetOnlyDynastyName].;This reflects well on me and House [Root.GetOnlyDynastyName];;Esto pinta bien para mí y la casa [Root.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTC70096;A good showing for House [Root.GetOnlyDynastyName];Une belle démonstration pour la Maison [Root.GetOnlyDynastyName].;A good showing for House [Root.GetOnlyDynastyName];;Una buena actuación de la casa [Root.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTC70097;A poor showing for House [Root.GetOnlyDynastyName];Une bien piètre démonstration pour la Maison [Root.GetOnlyDynastyName].;A poor showing for House [Root.GetOnlyDynastyName];;Una mala actuación de la casa [Root.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTC70098;[From.GetSheHeCap] brings shame to House [Root.GetOnlyDynastyName];[From.GetSheHeCap] a couvert de honte la Maison [Root.GetOnlyDynastyName].;[From.GetSheHeCap] brings shame to House [Root.GetOnlyDynastyName];;[From.GetSheHeCap] avergonzó a la casa [Root.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTD70000;No, don't bother me about tourneys again!;Non, ne me dérangez pas à nouveau à propos de tournois !;No, don't bother me about tourneys again!;;¡No, no me molestes de nuevo con los torneos!;;;;;;;;;x
EVTOPTD70053;Hmm, she will do;Hmm, cela ira.;Hmm, she will do;;Hmm, servirá;;;;;;;;;x
EVTOPTE70000;Don't ask me about these small tournies again!;Ne me dérangez plus à propos de ces petits tournois !;Don't ask me about these small tournies again!;;¡No me molestes de nuevo con estos torneos de poca monta!;;;;;;;;;x
EVTOPTF70000;Don't ask me about these type of tournies again!;Ne me dérangez plus à propos de ce type de tournois !;Don't ask me about these type of tournies again!;;¡No vuelvas a preguntarme por este tipo de torneos!;;;;;;;;;x
EVTTOOLTIP70057;will be most pleased;sera enchantée;will be most pleased;;estará encantado(a);;;;;;;;;x
EVTTOOLTIP70062;will become your rival;va devenir votre rival;will become your rival;;será tu rival;;;;;;;;;x
EVTTOOLTIP70063;will be challenged to a duel;va être défié en duel;will be challenged to a duel;;será desafiado a un duelo;;;;;;;;;x
EVTTOOLTIP70064;You apologize to [From.GetTitledFirstName] [From.GetOnlyDynastyName];You apologize to [From.GetTitledFirstName] [From.GetOnlyDynastyName];You apologize to [From.GetTitledFirstName] [From.GetOnlyDynastyName];;Ofreces disculpas a [From.GetTitledFirstName] [From.GetOnlyDynastyName];;;;;;;;;x
EVTTOOLTIP70069;The duel will end inconclusively;Le duel ne sera pas concluant.;The duel will end inconclusively;;El duelo terminará sin ganadores;;;;;;;;;x
EVTTOOLTIP70075;will respond to your advances;va répondre à vos avances;will respond to your advances;;responderá a tus insinuaciones;;;;;;;;;x
EVTTOOLTIP70076;will be thrilled;va être ravi;will be thrilled;;estará emocionado(a);;;;;;;;;x
EVTTOOLTIP70077;will be disappointed;va être déçu;will be disappointed;;estará decepcionado(a);;;;;;;;;x
EVTTOOLTIPjoust.2;will be your opponent in the joust.;will be your opponent in the joust.;will be your opponent in the joust.;;será tu oponente en la justa;;;;;;;;;x
grand_tourny_1st_1;Grand tourney wins: 1;Victoires Grand Tournoi: 1;Grand tourney wins: 1;;Primer puesto en Gran Torneo: 1;;;;;;;;;x
grand_tourny_1st_2;Grand tourney wins: 2;Victoires Grand Tournoi: 2;Grand tourney wins: 2;;Primer puesto en Gran Torneo: 2;;;;;;;;;x
grand_tourny_1st_3;Grand tourney wins: 3;Victoires Grand Tournoi: 3;Grand tourney wins: 3;;Primer puesto en Gran Torneo: 3;;;;;;;;;x
grand_tourny_1st_4;Grand tourney wins: 4;Victoires Grand Tournoi: 4;Grand tourney wins: 4;;Primer puesto en Gran Torneo: 4;;;;;;;;;x
grand_tourny_1st_5;Grand tourney wins: 5+;Victoires Grand Tournoi: 5+;Grand tourney wins: 5+;;Primer puesto en Gran Torneo: 5+;;;;;;;;;x
